"","Latitude","Longitude","CES","SOC..mg.cm.3.","Country","Source"
"363",-22.23,166.49,"CT",47.23,"New Caledonia","Marchand et al. 2011"
"364",26.09,-81.77,"ET",30.94,"French Guiana","Marchio et al. 2016"
"365",26.09,-81.77,"ET",9.1,"French Guiana","Marchio et al. 2016"
"366",26.09,-81.78,"ET",31.46,"French Guiana","Marchio et al. 2016"
"367",26.09,-81.78,"ET",53.36,"French Guiana","Marchio et al. 2016"
"368",-18.42,146.2,"ET",40.31,"Australia","Matsui 1998"
"369",-18.42,146.2,"ET",31.71,"Australia","Matsui 1998"
"370",-18.42,146.2,"ET",34.76,"Australia","Matsui 1998"
"371",-18.42,146.2,"ET",28.82,"Australia","Matsui 1998"
"372",-18.42,146.2,"ET",29.69,"Australia","Matsui 1998"
"373",-18.42,146.2,"ET",21.37,"Australia","Matsui 1998"
"374",-18.42,146.2,"ET",27.48,"Australia","Matsui 1998"
"375",-18.42,146.2,"ET",25.47,"Australia","Matsui 1998"
"376",-18.42,146.2,"ET",30.34,"Australia","Matsui 1998"
"377",-18.42,146.2,"ET",29.89,"Australia","Matsui 1998"
"378",-18.42,146.2,"ET",24.24,"Australia","Matsui 1998"
"379",-18.42,146.2,"ET",38.81,"Australia","Matsui 1998"
"380",-18.42,146.2,"ET",23.99,"Australia","Matsui 1998"
"381",-18.42,146.2,"ET",24.43,"Australia","Matsui 1998"
"382",-18.42,146.2,"ET",38.72,"Australia","Matsui 1998"
"383",-18.42,146.2,"ET",36.74,"Australia","Matsui 1998"
"384",-18.42,146.2,"ET",35.76,"Australia","Matsui 1998"
"385",-18.42,146.2,"ET",34.22,"Australia","Matsui 1998"
"386",-18.42,146.2,"ET",35.19,"Australia","Matsui 1998"
"387",-18.42,146.2,"ET",36.77,"Australia","Matsui 1998"
"388",-18.42,146.2,"ET",33.59,"Australia","Matsui 1998"
"389",-0.93,-46.7,"DT",11.67,"Brazil","Mehling et al. 2010"
"390",-0.89,-46.66,"DT",19.53,"Brazil","Mehling et al. 2010"
"391",-0.84,-46.64,"DT",13.38,"Brazil","Mehling et al. 2010"
"392",-4.42,39.52,"ET",26.11,"Kenya","Middleburg et al. 1996"
"393",-4.42,39.52,"ET",29.94,"Kenya","Middleburg et al. 1996"
"394",-4.42,39.52,"ET",8.1,"Kenya","Middleburg et al. 1996"
"395",-4.42,39.52,"ET",10.38,"Kenya","Middleburg et al. 1996"
"396",-4.42,39.52,"ET",7.87,"Kenya","Middleburg et al. 1996"
"397",-4.42,39.52,"ET",15.23,"Kenya","Middleburg et al. 1996"
"398",-4.42,39.52,"ET",23.94,"Kenya","Middleburg et al. 1996"
"399",-4.42,39.52,"ET",34.1,"Kenya","Middleburg et al. 1996"
"400",-4.42,39.52,"ET",41.63,"Kenya","Middleburg et al. 1996"
"401",-4.42,39.52,"ET",29.45,"Kenya","Middleburg et al. 1996"
"402",-4.42,39.52,"ET",30.68,"Kenya","Middleburg et al. 1996"
"403",-4.42,39.52,"ET",45.31,"Kenya","Middleburg et al. 1996"
"404",-4.42,39.52,"ET",11.53,"Kenya","Middleburg et al. 1996"
"405",-4.42,39.52,"ET",16.82,"Kenya","Middleburg et al. 1996"
"406",-4.42,39.52,"ET",20.84,"Kenya","Middleburg et al. 1996"
"407",-4.42,39.52,"ET",26.69,"Kenya","Middleburg et al. 1996"
"408",10.48,106.94,"DT",28.03,"Vietnam","Nam et al. 2016"
"409",8.65,105.11,"DT",27.78,"Vietnam","Nam et al. 2016"
"410",-2.84,-40.14,"ET",28.85,"Brazil","Nóbrega et al. 2013"
"411",-2.84,-40.14,"ET",27.71,"Brazil","Nóbrega et al. 2013"
"412",-2.84,-40.14,"ET",16.15,"Brazil","Nóbrega et al. 2013"
"413",-2.84,-40.14,"ET",18.77,"Brazil","Nóbrega et al. 2013"
"414",-4.44,-37.78,"ET",21.06,"Brazil","Nóbrega et al. 2016"
"415",-3.78,-38.44,"ET",20.82,"Brazil","Nóbrega et al. 2016"
"416",-2.95,-41.25,"ET",37.37,"Brazil","Nóbrega et al. 2016"
"417",4.04,9.63,"ET",36.39,"Cameroon","Ntyam 2014"
"418",3.56,10.13,"ET",27.65,"Cameroon","Ntyam 2014"
"419",3.56,10.13,"ET",22.66,"Cameroon","Ntyam 2014"
"420",5.81,0.62,"DT",20.21,"Ghana","Ntyam 2014"
"421",5.81,0.62,"DT",28.03,"Ghana","Ntyam 2014"
"422",5.81,0.62,"DT",25.37,"Ghana","Ntyam 2014"
"423",6.88,158.33,"CT",54.24,"Fed. States of Micronesia","Ono et al. 2015"
"424",27.75,-82.45,"ET",25.6,"USA","Osland et al. 2012"
"425",-25.08,-47.94,"ET",18.53,"Brazil","Otero et al. 2014"
"426",4.95,115.22,"DT",16.24,"Malaysia","Pazi et al. 2016"
"427",4.95,115.22,"DT",18.08,"Malaysia","Pazi et al. 2016"
"428",4.95,115.22,"DT",20.06,"Malaysia","Pazi et al. 2016"
"429",4.95,115.22,"DT",25.97,"Malaysia","Pazi et al. 2016"
"430",4.95,115.22,"DT",18.71,"Malaysia","Pazi et al. 2016"
"431",4.95,115.22,"DT",18.6,"Malaysia","Pazi et al. 2016"
"432",8.3,79.84,"DT",83.61,"Sri Lanka","Perera & Amarasinghe 2016"
"433",1.41,103.96,"ET",32.97,"Singapore","Phang et al. 2015"
"434",21.95,89.41,"DT",13.61,"Bangladesh","Rahman et al. 2015"
"435",21.95,89.41,"DT",12.5,"Bangladesh","Rahman et al. 2015"
"436",21.95,89.41,"DT",13.06,"Bangladesh","Rahman et al. 2015"
"437",21.95,89.41,"DT",12.78,"Bangladesh","Rahman et al. 2015"
"438",21.95,89.41,"DT",9.17,"Bangladesh","Rahman et al. 2015"
"439",21.95,89.41,"DT",10.83,"Bangladesh","Rahman et al. 2015"
"440",21.95,89.41,"DT",12.78,"Bangladesh","Rahman et al. 2015"
"441",21.95,89.41,"DT",7.22,"Bangladesh","Rahman et al. 2015"
"442",21.95,89.41,"DT",9.17,"Bangladesh","Rahman et al. 2015"
"443",11.38,79.75,"DT",15.57,"India","Ranjan et al. 2010"
"444",11.38,79.75,"DT",14.1,"India","Ranjan et al. 2010"
"445",11.38,79.75,"DT",16.87,"India","Ranjan et al. 2010"
"446",11.38,79.75,"DT",15.63,"India","Ranjan et al. 2011"
"447",11.38,79.75,"DT",13.78,"India","Ranjan et al. 2011"
"448",11.38,79.75,"DT",17.35,"India","Ranjan et al. 2011"
"449",21.68,88.33,"DT",16.23,"India","Ray et al. 2011"
"450",21.68,88.33,"DT",16.35,"India","Ray et al. 2011"
"451",21.68,88.33,"DT",12.85,"India","Ray et al. 2011"
"452",9.34,-75.88,"DT",21.16,"Colombia","Ruiz-Fernandez et al. 2011"
"453",20.39,86.76,"DT",18.1,"India","Sahu et al. 2016"
"454",14.49,-17.08,"ET",8.9,"Senegal","Sakho et al. 2015"
"455",14.49,-17.08,"ET",18.89,"Senegal","Sakho et al. 2015"
"456",-25.3,-48.39,"ET",42.95,"Brazil","Sanders et al. 2008"
"457",-8.68,-35.11,"ET",68.13,"Brazil","Sanders et al. 2010a"
"458",-8.68,-35.11,"ET",54.2,"Brazil","Sanders et al. 2010a"
"459",-25.3,-48.39,"ET",32,"Brazil","Sanders et al. 2010b"
"460",-25.3,-48.39,"ET",29.79,"Brazil","Sanders et al. 2010b"
"461",-27.35,153.1,"ET",21.24,"Australia","Sanders et al. 2016"
"462",-21.71,165.82,"ET",22.02,"Australia","Sanders et al. 2016"
"463",-20.18,34.75,"DT",16,"Mozambique","Sitoe et al. 2014"
"464",26.03,-81.75,"CT",40.33,"USA","Steyer 1988"
"465",26.03,-81.75,"CT",42.99,"USA","Steyer 1988"
"466",-18.83,36.26,"DT",14.84,"Mozambique","Stringer et al. 2015"
"467",-18.83,36.26,"DT",15.25,"Mozambique","Stringer et al. 2015"
"468",-18.83,36.26,"DT",15.32,"Mozambique","Stringer et al. 2015"
"469",-18.83,36.26,"DT",15.73,"Mozambique","Stringer et al. 2015"
"470",-18.83,36.26,"DT",16.5,"Mozambique","Stringer et al. 2015"
"471",19.95,106.01,"DT",14.64,"Vietnam","Tateda et al. 2005"
"472",24.4,124.15,"CT",31.93,"Japan","Tateda et al. 2005"
"473",12.2,102.55,"ET",9.75,"Thailand","Tateda et al. 2005"
"474",11.82,122.15,"DT",24.06,"Philippines","Thompson et al. 2014"
"475",11.82,122.15,"DT",23.61,"Philippines","Thompson et al. 2014"
"476",11.82,122.15,"DT",11.84,"Philippines","Thompson et al. 2014"
"477",11.07,122.96,"ET",9.01,"Philippines","Thompson et al. 2014"
"478",11.07,122.96,"ET",9.23,"Philippines","Thompson et al. 2014"
"479",11.07,122.96,"ET",9.93,"Philippines","Thompson et al. 2014"
"480",8.7,104.83,"DT",15.75,"Vietnam","Tue et al. 2014"
"481",8.7,104.83,"DT",20.91,"Vietnam","Tue et al. 2014"
"482",8.7,104.83,"DT",17.95,"Vietnam","Tue et al. 2014"
"483",26.03,-81.75,"CT",50.23,"USA","Twilley et al. 1986"
"484",26.03,-81.75,"CT",55.27,"USA","Twilley et al. 1986"
"485",-2.45,-79.69,"ET",28.78,"Ecuador","Twilley et al. 1997"
"486",-2.44,-79.69,"ET",26.29,"Ecuador","Twilley et al. 1997"
"487",-2.43,-79.69,"ET",36.91,"Ecuador","Twilley et al. 1997"
"488",4.94,8.27,"ET",42.92,"Nigeria","Ukpong 1995, 2000"
"489",4.94,8.27,"ET",72.98,"Nigeria","Ukpong 1995, 2000"
"490",4.94,8.27,"ET",48.24,"Nigeria","Ukpong 1995, 2000"
"491",4.94,8.27,"ET",48.97,"Nigeria","Ukpong 1995, 2000"
"492",4.94,8.27,"ET",34.2,"Nigeria","Ukpong 1995, 2000"
"493",4.94,8.27,"ET",82.8,"Nigeria","Ukpong 1995, 2000"
"494",12.29,-16.25,"DT",27.25,"Guinea-Bissau","Vasconcelos et al. 2015"
"495",9.8107,-61.79,"DT",42.67,"Venezuela","Vegas-Vilarrubia et al. 2010"
"496",21.57,109.75,"ET",13.16,"China","Wang et al. 2013"
"497",21.56,109.75,"ET",23.79,"China","Wang et al. 2013"
"498",21.57,109.76,"ET",22.9,"China","Wang et al. 2013"
"499",21.55,109.77,"ET",26.68,"China","Wang et al. 2013"
"500",21.54,109.78,"ET",23.6,"China","Wang et al. 2013"
"501",-23.01,-43.61,"LG",19.68,"Brazil","Wasserman et al. 2001"
"502",-23.01,-43.61,"LG",26.09,"Brazil","Wasserman et al. 2001"
"503",-7.68,108.79,"ET",7.38,"Indonesia","Weiss et al. 2016"
"504",-7.71,108.89,"ET",9.24,"Indonesia","Weiss et al. 2016"
"505",2.12,117.63,"DT",38.3,"Indonesia","Weiss et al. 2016"
"506",2.05,117.81,"DT",14.03,"Indonesia","Weiss et al. 2016"
"507",2.17,117.93,"DT",10.25,"Indonesia","Weiss et al. 2016"
"508",-0.39,122.05,"CT",61.8,"Indonesia","Weiss et al. 2016"
"509",-0.39,122.06,"CT",51.82,"Indonesia","Weiss et al. 2016"
"510",-0.39,122.06,"CT",33.9,"Indonesia","Weiss et al. 2016"
"511",-0.39,122.06,"CT",32.79,"Indonesia","Weiss et al. 2016"
"512",29.14,-83.03,"ET",13.7,"USA","Yando et al. 2016"
"513",29.11,-90.2,"DT",24.3,"USA","Yando et al. 2016"
"514",27.86,-97.07,"ET",29,"USA","Yando et al. 2016"
"515",-36.88,174.69,"BR",8.2,"New Zealand","Yang et al. 2013"
"516",-36.88,174.69,"BR",9.94,"New Zealand","Yang et al. 2013"
"517",-36.88,174.69,"BR",15.1,"New Zealand","Yang et al. 2013"
"518",-36.88,174.69,"BR",9.82,"New Zealand","Yang et al. 2013"
"519",-36.88,174.69,"BR",29.03,"New Zealand","Yang et al. 2013"
"520",-36.88,174.69,"BR",27.1,"New Zealand","Yang et al. 2013"
"521",-36.88,174.69,"BR",24.23,"New Zealand","Yang et al. 2013"
"522",-36.88,174.69,"BR",24.85,"New Zealand","Yang et al. 2013"
"523",-36.88,174.69,"BR",26.86,"New Zealand","Yang et al. 2013"
"524",-36.88,174.69,"BR",30.31,"New Zealand","Yang et al. 2013"
"525",-36.88,174.69,"BR",23.86,"New Zealand","Yang et al. 2013"
"526",-36.88,174.69,"BR",25.25,"New Zealand","Yang et al. 2013"
"527",-36.88,174.69,"BR",24.88,"New Zealand","Yang et al. 2013"
"528",-36.88,174.69,"BR",29.55,"New Zealand","Yang et al. 2013"
"529",-36.88,174.69,"BR",24.51,"New Zealand","Yang et al. 2013"
"530",-36.88,174.69,"BR",23.46,"New Zealand","Yang et al. 2013"
"531",-36.88,174.69,"BR",23.39,"New Zealand","Yang et al. 2013"
"532",-36.88,174.69,"BR",30.47,"New Zealand","Yang et al. 2013"
"533",-36.88,174.69,"BR",24.06,"New Zealand","Yang et al. 2013"
"534",-36.88,174.69,"BR",23.6,"New Zealand","Yang et al. 2013"
"535",-36.88,174.69,"BR",21.6,"New Zealand","Yang et al. 2013"
"536",-36.88,174.69,"BR",22.92,"New Zealand","Yang et al. 2013"
"537",-36.88,174.69,"BR",19.95,"New Zealand","Yang et al. 2013"
"538",-36.88,174.69,"BR",22.33,"New Zealand","Yang et al. 2013"
"539",-36.88,174.69,"BR",21.24,"New Zealand","Yang et al. 2013"
"540",-36.88,174.69,"BR",19.92,"New Zealand","Yang et al. 2013"
"541",-36.88,174.69,"BR",22.34,"New Zealand","Yang et al. 2013"
"542",-36.88,174.69,"BR",22.05,"New Zealand","Yang et al. 2013"
"543",-36.88,174.69,"BR",20.71,"New Zealand","Yang et al. 2013"
"544",-36.88,174.69,"BR",19.02,"New Zealand","Yang et al. 2013"
"545",-36.88,174.69,"BR",18.85,"New Zealand","Yang et al. 2013"
"546",-36.88,174.69,"BR",17.71,"New Zealand","Yang et al. 2013"
"547",-36.88,174.69,"BR",18.34,"New Zealand","Yang et al. 2013"
"548",-36.88,174.69,"BR",25.5,"New Zealand","Yang et al. 2013"
"549",-36.88,174.69,"BR",25.07,"New Zealand","Yang et al. 2013"
"550",-36.88,174.69,"BR",27.33,"New Zealand","Yang et al. 2013"
"551",-36.88,174.69,"BR",23.35,"New Zealand","Yang et al. 2013"
