"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_carbon","cs137_activity","cs137_activity_se","cs137_unit","excess_pb210_activity","excess_pb210_activity_se","total_pb210_activity","total_pb210_activity_se","pb210_unit","ra226_activity","ra226_activity_se","ra226_unit","delta_c13","be7_activity","be7_activity_se","be7_unit","age","age_min","age_max","depth_interval_notes"
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",19,21,2.357,0.039015,0,0,"disintegrationsPerMinutePerGram",1.0996,0.2754,1.5228,0.2743,"disintegrationsPerMinutePerGram",0.4232,0.0248,"disintegrationsPerMinutePerGram",-27.191,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",21,23,1.5534,0.029235,0,0,"disintegrationsPerMinutePerGram",1.5865,0.4499,2.0634,0.4486,"disintegrationsPerMinutePerGram",0.477,0.0347,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",23,25,1.579,0.027139000000000003,0,0,"disintegrationsPerMinutePerGram",0.4307,0.2002,0.8891,0.1989,"disintegrationsPerMinutePerGram",0.4584,0.0226,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",25,27,2.0115,0.028874,0,0,"disintegrationsPerMinutePerGram",0.5323,0.242,1.169,0.2398,"disintegrationsPerMinutePerGram",0.6367,0.0326,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",27,29,1.3618,0.023256000000000002,0,0,"disintegrationsPerMinutePerGram",0.0384,0.0206,0.0892,0.0205,"disintegrationsPerMinutePerGram",0.0509,0.0021,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",29,31,1.8007,0.011033,0,0,"disintegrationsPerMinutePerGram",0.4885,0.2385,1.0236,0.2377,"disintegrationsPerMinutePerGram",0.5351,0.0199,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",31,33,2.2477,0.011573,0,0,"disintegrationsPerMinutePerGram",0.4704,0.2028,0.8703,0.2019,"disintegrationsPerMinutePerGram",0.3999,0.0192,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",33,35,1.0882,NA,0,0,"disintegrationsPerMinutePerGram",0.114,0.156,0.61,0.1552,"disintegrationsPerMinutePerGram",0.4959,0.0163,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",0,1,0.0853,0.3089,0,0,"disintegrationsPerMinutePerGram",8.2254,1.0607,10.5694,1.0517,"disintegrationsPerMinutePerGram",2.344,0.1378,"disintegrationsPerMinutePerGram",-28.453,0,0,"disintegrationsPerMinutePerGram",2016,2016,2016,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",1,2,0.0833,0.306538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.7554,NA,NA,NA,2012,2009,2014,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",2,3,0.1143,0.28228200000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.363,NA,NA,NA,2008,2003,2011,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",3,5,0.2352,0.25292000000000003,0,0,"disintegrationsPerMinutePerGram",8.1912,0.5533,9.1757,0.5496,"disintegrationsPerMinutePerGram",0.9845,0.0637,"disintegrationsPerMinutePerGram",-28.3576,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",5,7,0.1681,0.272354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.2971,NA,NA,NA,NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",7,9,0.2472,0.256344,0.3834,0.0506,"disintegrationsPerMinutePerGram",4.2088,0.4914,4.9723,0.4883,"disintegrationsPerMinutePerGram",0.7635,0.0549,"disintegrationsPerMinutePerGram",-27.8027,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",9,11,0.0607,0.253915,0.3664,0.0163,"disintegrationsPerMinutePerGram",3.2161,0.3584,4.1815,0.3558,"disintegrationsPerMinutePerGram",0.9654,0.0429,"disintegrationsPerMinutePerGram",-27.7538,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",11,13,0.2631,0.256223,0.2943,0.0505,"disintegrationsPerMinutePerGram",3.5141,0.5114,4.3052,0.5085,"disintegrationsPerMinutePerGram",0.7911,0.0544,"disintegrationsPerMinutePerGram",-27.9278,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",13,15,0.1101,0.26372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.7475,NA,NA,NA,NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",15,17,0.1952,0.295505,0.3587,0.0434,"disintegrationsPerMinutePerGram",1.0146,0.3503,1.7659,0.3482,"disintegrationsPerMinutePerGram",0.7513,0.0383,"disintegrationsPerMinutePerGram",-27.8466,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",17,19,0.1789,0.28194800000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.9056,NA,NA,NA,NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",19,21,0.0708,0.319391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.6274,NA,NA,NA,NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",21,23,0.1081,0.33513800000000005,0,0,"disintegrationsPerMinutePerGram",0,0,0,0,"disintegrationsPerMinutePerGram",1.1854,0.1046,"disintegrationsPerMinutePerGram",-28.6366,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",25,27,0.1046,0.310107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",27,29,0.1148,0.316551,0.4631,0.0942,"disintegrationsPerMinutePerGram",1.4402,0.6451,2.6052,0.6396,"disintegrationsPerMinutePerGram",1.165,0.0846,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",33,35,NA,NA,0.9264,0.0969,"disintegrationsPerMinutePerGram",1.3267,0.5629,2.4126,0.5539,"disintegrationsPerMinutePerGram",1.0859,0.1001,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","San José Lagoon","SJ1","single set of methods",35,37,NA,NA,0,0,"disintegrationsPerMinutePerGram",-2.37,1.5377,2.2998,1.4951,"disintegrationsPerMinutePerGram",4.6698,0.3596,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",0,1,0.0853,0.31578700000000004,0,0,"disintegrationsPerMinutePerGram",2.5041,0.9659,4.8295,0.9451,"disintegrationsPerMinutePerGram",2.3254,0.1991,"disintegrationsPerMinutePerGram",-28.5069,0,0,"disintegrationsPerMinutePerGram",2016,2016,2016,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",1,2,0.0833,0.32153,0,0,"disintegrationsPerMinutePerGram",3.9862,0.938,6.39,0.9291,"disintegrationsPerMinutePerGram",2.4038,0.1291,"disintegrationsPerMinutePerGram",-28.9316,0,0,"disintegrationsPerMinutePerGram",2014,2012,2015,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",2,3,0.0833,0.305643,0,0,"disintegrationsPerMinutePerGram",6.4727,0.7918,7.9587,0.7847,"disintegrationsPerMinutePerGram",1.486,0.1052,"disintegrationsPerMinutePerGram",-29.1948,0,0,"disintegrationsPerMinutePerGram",2011,2009,2013,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",3,5,0.1143,0.314687,0,0,"disintegrationsPerMinutePerGram",7.3842,0.2725,8.0812,0.2699,"disintegrationsPerMinutePerGram",0.697,0.0375,"disintegrationsPerMinutePerGram",-29.213,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",5,7,0.2352,0.297186,0,0,"disintegrationsPerMinutePerGram",6.7173,0.5815,7.5348,0.5787,"disintegrationsPerMinutePerGram",0.8175,0.0573,"disintegrationsPerMinutePerGram",-28.9578,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",7,9,0.1681,0.319237,0,0,"disintegrationsPerMinutePerGram",5.3596,0.6997,6.4665,0.6939,"disintegrationsPerMinutePerGram",1.1069,0.0899,"disintegrationsPerMinutePerGram",-28.2903,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",9,11,0.2472,0.338275,0,0,"disintegrationsPerMinutePerGram",4.9644,0.6431,5.8326,0.6387,"disintegrationsPerMinutePerGram",0.8682,0.0757,"disintegrationsPerMinutePerGram",-27.5014,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",11,13,0.0607,0.329175,0,0,"disintegrationsPerMinutePerGram",3.5157,0.6748,4.5929,0.6687,"disintegrationsPerMinutePerGram",1.0772,0.0907,"disintegrationsPerMinutePerGram",-28.2719,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",13,15,0.2631,0.31537400000000004,0,0,"disintegrationsPerMinutePerGram",1.153,0.5661,2.5288,0.5606,"disintegrationsPerMinutePerGram",1.3758,0.0784,"disintegrationsPerMinutePerGram",-28.9576,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",15,17,0.1101,0.35585900000000004,0,0,"disintegrationsPerMinutePerGram",1.7069,0.6233,2.9289,0.6104,"disintegrationsPerMinutePerGram",1.222,0.1264,"disintegrationsPerMinutePerGram",-29.2365,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",17,19,0.1952,0.32755,0,0,"disintegrationsPerMinutePerGram",1.6362,0.6549,2.6564,0.6487,"disintegrationsPerMinutePerGram",1.0202,0.0896,"disintegrationsPerMinutePerGram",-29.18,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",19,21,0.1789,0.326222,0,0,"disintegrationsPerMinutePerGram",2.5776,0.5587,3.4282,0.5543,"disintegrationsPerMinutePerGram",0.8505,0.0696,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",21,23,0.0708,0.33509900000000004,0,0,"disintegrationsPerMinutePerGram",0.9984,0.4514,1.8899,0.4453,"disintegrationsPerMinutePerGram",0.8915,0.074,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",23,25,0.1081,0.338818,0,0,"disintegrationsPerMinutePerGram",0,0,0,0,"disintegrationsPerMinutePerGram",1.0647,0.1022,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",25,27,0.1046,0.298936,0,0,"disintegrationsPerMinutePerGram",0,0,0,0,"disintegrationsPerMinutePerGram",1.046,0.1224,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",27,29,0.1148,0.308938,0.3484,0.0715,"disintegrationsPerMinutePerGram",0.6275,0.4346,1.5475,0.4267,"disintegrationsPerMinutePerGram",0.92,0.0825,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",29,31,0.0855,NA,0.39,0.0708,"disintegrationsPerMinutePerGram",0,0,0,0,"disintegrationsPerMinutePerGram",0.918,0.0792,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",31,33,0.0682,NA,0,0,"disintegrationsPerMinutePerGram",-1.0236,0.1027,0,0,"disintegrationsPerMinutePerGram",1.0236,0.1027,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",33,35,0.0663,NA,0,0,"disintegrationsPerMinutePerGram",-1.4215,0.1503,0,0,"disintegrationsPerMinutePerGram",1.4215,0.1503,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","San José Lagoon","SJ2","single set of methods",35,37,0.0587,NA,0,0,"disintegrationsPerMinutePerGram",-3.4577,0.3637,0,0,"disintegrationsPerMinutePerGram",3.4577,0.3637,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,"only one of the two replicates from the San José lagoon was processed for DBD due to human error, so DBD values from one SJ core were used in calculations of C storage and sequestration for both replicates from this site."
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",0,1,0.804,0.058422,0.86240000000000006,0.0974,"disintegrationsPerMinutePerGram",8.7439,0.7963,10.1676,0.789,"disintegrationsPerMinutePerGram",1.4237,0.1076,"disintegrationsPerMinutePerGram",-25.788,0,0,"disintegrationsPerMinutePerGram",2016,2016,2016,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",1,2,2.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2005,2015,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",2,3,0.9386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2001,2013,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",3,5,0.9342,0.054715,0.9528,0.0612,"disintegrationsPerMinutePerGram",8.1315,0.4665,8.9687,0.4637,"disintegrationsPerMinutePerGram",0.8373,0.0512,"disintegrationsPerMinutePerGram",-25.3959,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",5,7,0.9657,0.058599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.5913,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",7,9,0.6662,0.069001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.1097,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",9,11,0.4514,0.059184,0.7787,0.0389,"disintegrationsPerMinutePerGram",8.8273,0.4016,9.4443,0.4004,"disintegrationsPerMinutePerGram",0.6171,0.0303,"disintegrationsPerMinutePerGram",-25.4462,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",11,13,0.7092,0.064474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.9831,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",13,15,0.6132,0.058337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.7127,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",15,17,0.4055,0.049475,0.6545,0.0536,"disintegrationsPerMinutePerGram",7.7663,0.5962,8.3625,0.5946,"disintegrationsPerMinutePerGram",0.5963,0.0433,"disintegrationsPerMinutePerGram",-24.8046,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",17,19,1.902,0.056098999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.2498,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",19,21,0.4269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",21,23,0.6694,0.04678,0.6127,0.0344,"disintegrationsPerMinutePerGram",7.6091,0.4266,8.0636,0.4258,"disintegrationsPerMinutePerGram",0.4545,0.0267,"disintegrationsPerMinutePerGram",-25.0294,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",23,25,0.64,0.053037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.7432,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",25,27,0.4421,0.050782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.8365,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",27,29,0.5833,0.036400999999999996,0.2487,0.031,"disintegrationsPerMinutePerGram",3.0556,0.3574,3.5714,0.3561,"disintegrationsPerMinutePerGram",0.5157,0.0308,"disintegrationsPerMinutePerGram",-25.5143,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",29,31,0.3877,0.065707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.3751,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",31,33,0.9153,0.070644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",33,35,0.7375,0.058057,0.4203,0.0278,"disintegrationsPerMinutePerGram",2.9793,0.2999,3.4212,0.299,"disintegrationsPerMinutePerGram",0.4419,0.0234,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",35,37,0.3845,0.072905,0.9624,0.0528,"disintegrationsPerMinutePerGram",4.6626,0.4071,5.3305,0.4051,"disintegrationsPerMinutePerGram",0.6679,0.0403,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",37,39,0.3068,0.077062,1.0983,0.0677,"disintegrationsPerMinutePerGram",4.9305,0.4923,5.7412,0.4892,"disintegrationsPerMinutePerGram",0.8107,0.0555,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN1","single set of methods",39,41,0.2794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",0,1,0.4425,0.080635,0.7957,0.0993,"disintegrationsPerMinutePerGram",12.0472,0.826,13.5233,0.8195,"disintegrationsPerMinutePerGram",1.4761,0.1032,"disintegrationsPerMinutePerGram",-26.4299,0,0,"disintegrationsPerMinutePerGram",2016,2016,2016,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",1,2,0.4231,0.059851999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.9877,NA,NA,NA,2013,2006,2015,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",2,3,0.4101,0.074188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.2598,NA,NA,NA,2011,2003,2014,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",3,5,0.467,0.06808399999999999,0.9145,0.0716,"disintegrationsPerMinutePerGram",10.8674,0.6738,11.7043,0.6707,"disintegrationsPerMinutePerGram",0.8369,0.0647,"disintegrationsPerMinutePerGram",-25.89,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",5,7,0.6833,0.055494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.1685,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",7,9,0.4487,0.067993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.8705,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",9,11,0.5971,0.055861999999999995,0.9594,0.0671,"disintegrationsPerMinutePerGram",11.814,0.599,12.5415,0.597,"disintegrationsPerMinutePerGram",0.7276,0.0493,"disintegrationsPerMinutePerGram",-26.4386,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",11,13,0.6033,0.048693999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.5714,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",13,15,0.4413,0.052897999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.2946,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",15,17,0.6236,0.055313,0.8144,0.0413,"disintegrationsPerMinutePerGram",8.7111,0.4022,9.2755,0.4007,"disintegrationsPerMinutePerGram",0.5643,0.0341,"disintegrationsPerMinutePerGram",-25.3829,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",17,19,0.5657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Piñones","PIN2","single set of methods",19,21,0.3926,0.054325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.3995,NA,NA,NA,NA,NA,NA,NA
