study_id,core_id,sample_id,depth_min,depth_max,c14_age,c14_age_se,c14_material,age,dry_bulk_density,fraction_organic_matter,fraction_carbon,method_id,site_id
Drexler_et_al_2009,BACHI,NA,536,538,NA,NA,NA,NA,0.110871983,0.684,0.350014,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,538,540,NA,NA,NA,NA,0.103691857,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,540,542,NA,NA,NA,NA,0.105199006,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,542,544,NA,NA,NA,NA,0.09917041,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,544,546,NA,NA,NA,NA,0.090370738,0.8508,0.4419208,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D6-25B,546,548,4005,30,Wood,4479,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,546,548,NA,NA,NA,NA,0.090632581,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,548,550,NA,NA,NA,NA,0.08804316,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,550,552,NA,NA,NA,NA,0.106440131,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,552,554,NA,NA,NA,NA,0.088137534,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,554,556,NA,NA,NA,NA,0.092260946,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,556,558,NA,NA,NA,NA,0.098540444,0.8316,0.4313416,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,558,560,NA,NA,NA,NA,0.10002364,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,560,562,NA,NA,NA,NA,0.101006276,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,562,564,NA,NA,NA,NA,0.123607801,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,564,566,NA,NA,NA,NA,0.130979188,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,566,568,NA,NA,NA,NA,0.115082432,0.7784,0.4020284,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,568,570,NA,NA,NA,NA,0.093347057,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,570,572,NA,NA,NA,NA,0.100444453,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,572,574,NA,NA,NA,NA,0.097766608,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,574,576,NA,NA,NA,NA,0.090879779,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,576,578,NA,NA,NA,NA,0.081501323,0.9084,0.4736584,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,578,580,NA,NA,NA,NA,0.085450925,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,580,582,NA,NA,NA,NA,0.088922718,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,582,584,NA,NA,NA,NA,0.079189289,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,584,586,NA,NA,NA,NA,0.085057026,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,586,588,NA,NA,NA,NA,0.084961807,0.8702,0.4526102,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,588,590,NA,NA,NA,NA,0.101466604,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,590,592,NA,NA,NA,NA,0.094326129,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,592,594,NA,NA,NA,NA,0.092687195,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,594,596,NA,NA,NA,NA,0.097008727,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,596,598,NA,NA,NA,NA,0.087584646,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D7-4B,604,606,4350,40,Charcoal,4921,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,604,606,NA,NA,NA,NA,0.118699318,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D7-5A,606,608,4420,35,Achenes,5003,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,606,608,NA,NA,NA,NA,0.109583933,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,608,610,NA,NA,NA,NA,0.098294514,0.872,0.453602,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,610,612,NA,NA,NA,NA,0.090946706,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,612,614,NA,NA,NA,NA,0.076754158,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,614,616,NA,NA,NA,NA,0.073843632,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,616,618,NA,NA,NA,NA,0.080171447,0.842,0.437072,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,618,620,NA,NA,NA,NA,0.077467463,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,620,622,NA,NA,NA,NA,0.082772628,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,622,624,NA,NA,NA,NA,0.082438684,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,624,626,NA,NA,NA,NA,0.087417326,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,626,628,NA,NA,NA,NA,0.091720404,0.8132,0.4212032,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,628,630,NA,NA,NA,NA,0.086238401,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,630,632,NA,NA,NA,NA,0.078516439,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,632,634,NA,NA,NA,NA,0.08307414,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,634,636,NA,NA,NA,NA,0.078690755,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,636,638,NA,NA,NA,NA,0.095312108,0.8108,0.4198808,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,638,640,NA,NA,NA,NA,0.084340063,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,640,642,NA,NA,NA,NA,0.093081527,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,642,644,NA,NA,NA,NA,0.103330141,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,644,646,NA,NA,NA,NA,0.122139362,0.5956,0.3013056,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D7-25A,646,648,4450,35,Achenes,5103,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,646,648,NA,NA,NA,NA,0.101340704,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,648,650,NA,NA,NA,NA,0.097783832,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,650,652,NA,NA,NA,NA,0.094407819,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,652,654,NA,NA,NA,NA,0.10140099,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,654,656,NA,NA,NA,NA,0.100556987,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,656,658,NA,NA,NA,NA,0.082626417,0.792,0.409522,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,658,660,NA,NA,NA,NA,0.104355712,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,660,662,NA,NA,NA,NA,0.117724133,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,662,664,NA,NA,NA,NA,0.125451543,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,664,666,NA,NA,NA,NA,0.150373981,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,666,668,NA,NA,NA,NA,0.208770291,0.432,0.211162,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,668,670,NA,NA,NA,NA,0.164460108,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,670,672,NA,NA,NA,NA,0.116526384,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,672,674,NA,NA,NA,NA,0.124545059,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,674,676,NA,NA,NA,NA,0.19211593,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,676,678,NA,NA,NA,NA,0.232734786,0.3204,0.1496704,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,678,680,NA,NA,NA,NA,0.251106996,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,680,682,NA,NA,NA,NA,0.228973199,0.3672,0.1754572,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,682,684,NA,NA,NA,NA,0.137527124,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,684,686,NA,NA,NA,NA,0.129051217,0.654,0.333484,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,686,688,NA,NA,NA,NA,0.203852481,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,688,690,NA,NA,NA,NA,0.19498345,0.3904,0.1882404,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D7-47A,690,692,4890,35,Achenes,5625,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,690,692,NA,NA,NA,NA,0.157872157,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,692,694,NA,NA,NA,NA,0.136427135,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,694,696,NA,NA,NA,NA,0.11797963,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,696,698,NA,NA,NA,NA,0.127939641,0.5076,0.2528176,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,700,702,NA,NA,NA,NA,0.146420657,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,702,704,NA,NA,NA,NA,0.171355866,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D8-4B,704,706,4955,35,Charcoal,5681,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,704,706,NA,NA,NA,NA,0.160759803,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D8-5A,706,708,4935,35,Achenes,5656,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,706,708,NA,NA,NA,NA,0.124677077,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,708,710,NA,NA,NA,NA,0.117642746,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,710,712,NA,NA,NA,NA,0.124861593,0.5592,0.2812492,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,712,714,NA,NA,NA,NA,0.141319755,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,714,716,NA,NA,NA,NA,0.196313672,0.398,0.192428,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,716,718,NA,NA,NA,NA,0.211544386,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,718,720,NA,NA,NA,NA,0.139604847,0.5604,0.2819104,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,720,722,NA,NA,NA,NA,0.15068173,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,722,724,NA,NA,NA,NA,0.177952534,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D8-14A,724,726,5085,40,Achenes,5818,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,724,726,NA,NA,NA,NA,0.232102362,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,726,728,NA,NA,NA,NA,0.274059473,0.2928,0.1344628,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,728,730,NA,NA,NA,NA,0.261582257,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,730,732,NA,NA,NA,NA,0.303246617,0.2744,0.1243244,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,732,734,NA,NA,NA,NA,0.263097325,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,734,736,NA,NA,NA,NA,0.357944648,0.256,0.114186,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,736,738,NA,NA,NA,NA,0.406248759,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,738,740,NA,NA,NA,NA,0.400454373,0.262,0.117492,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,740,742,NA,NA,NA,NA,0.451329912,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,742,744,NA,NA,NA,NA,0.717302487,0.1308,0.0452008,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,744,746,NA,NA,NA,NA,0.779085551,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,746,748,NA,NA,NA,NA,0.85728147,0.1084,0.0328584,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,748,750,NA,NA,NA,NA,0.951724455,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,750,752,NA,NA,NA,NA,1.089290516,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,752,754,NA,NA,NA,NA,1.154885147,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,754,756,NA,NA,NA,NA,1.258670958,0.0564,0.0042064,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,756,758,NA,NA,NA,NA,1.260695041,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,758,760,NA,NA,NA,NA,1.273184283,0.0524,0.0020024,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,760,762,NA,NA,NA,NA,1.224885178,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,762,764,NA,NA,NA,NA,1.239584906,0.0564,0.0042064,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,764,766,NA,NA,NA,NA,1.2461611,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,766,768,NA,NA,NA,NA,1.255168827,0.0576,0.0048676,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,768,770,NA,NA,NA,NA,1.245000595,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,770,772,NA,NA,NA,NA,1.268431739,0.0564,0.0042064,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,772,774,NA,NA,NA,NA,1.161942772,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,774,776,NA,NA,NA,NA,1.192871942,0.0644,0.0086144,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,776,778,NA,NA,NA,NA,1.162846967,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,778,780,NA,NA,NA,NA,1.221542407,0.0628,0.0077328,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,780,782,NA,NA,NA,NA,1.180794227,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,782,784,NA,NA,NA,NA,1.207809179,0.0604,0.0064104,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,784,786,NA,NA,NA,NA,1.20006287,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,786,788,NA,NA,NA,NA,1.269087677,0.0628,0.0077328,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,788,790,NA,NA,NA,NA,1.273412539,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,790,792,NA,NA,NA,NA,1.2820046,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,792,794,NA,NA,NA,NA,1.286906111,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,794,796,NA,NA,NA,NA,1.337571648,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,796,798,NA,NA,NA,NA,NA,0.058,0.005088,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,800,802,NA,NA,NA,NA,1.068570296,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,802,804,NA,NA,NA,NA,1.186777962,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,804,806,NA,NA,NA,NA,1.185568196,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,806,808,NA,NA,NA,NA,1.251503032,0.058,0.005088,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,808,810,NA,NA,NA,NA,1.164311467,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,810,812,NA,NA,NA,NA,1.188375361,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,812,814,NA,NA,NA,NA,1.098162118,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,814,816,NA,NA,NA,NA,1.198825611,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,816,818,NA,NA,NA,NA,1.087156628,0.0584,0.0053084,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,818,820,NA,NA,NA,NA,1.091818968,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,820,822,NA,NA,NA,NA,1.057527111,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,822,824,NA,NA,NA,NA,1.070287076,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,824,826,NA,NA,NA,NA,0.914381625,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,826,828,NA,NA,NA,NA,0.858678812,0.0916,0.0236016,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,828,830,NA,NA,NA,NA,1.003812963,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,830,832,NA,NA,NA,NA,1.007170505,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,832,834,NA,NA,NA,NA,1.081155159,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,834,836,NA,NA,NA,NA,0.994278015,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,836,838,NA,NA,NA,NA,1.091606242,0.0584,0.0053084,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,838,840,NA,NA,NA,NA,1.025955659,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,840,842,NA,NA,NA,NA,0.968485437,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,842,844,NA,NA,NA,NA,0.693707958,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,844,846,NA,NA,NA,NA,0.649940349,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,846,848,NA,NA,NA,NA,0.665052461,0.1156,0.0368256,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,848,850,NA,NA,NA,NA,0.868906127,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,850,852,NA,NA,NA,NA,0.923718286,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,852,854,NA,NA,NA,NA,0.922777865,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,854,856,NA,NA,NA,NA,0.831068022,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,856,858,NA,NA,NA,NA,0.829650403,0.1072,0.0321972,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,858,860,NA,NA,NA,NA,0.877768676,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,860,862,NA,NA,NA,NA,0.937618068,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,862,864,NA,NA,NA,NA,0.859381141,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,864,866,NA,NA,NA,NA,0.731007496,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,866,868,NA,NA,NA,NA,0.67386645,0.1424,0.0515924,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,868,870,NA,NA,NA,NA,0.670747843,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,870,872,NA,NA,NA,NA,0.64246628,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,872,874,NA,NA,NA,NA,0.554262691,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,874,876,NA,NA,NA,NA,0.565616304,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,876,878,NA,NA,NA,NA,0.603666588,0.1396,0.0500496,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,878,880,NA,NA,NA,NA,0.595101092,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,880,882,NA,NA,NA,NA,0.597889713,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,882,884,NA,NA,NA,NA,0.716885913,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,884,886,NA,NA,NA,NA,0.727904625,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,886,888,NA,NA,NA,NA,0.715957572,0.1256,0.0423356,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,888,890,NA,NA,NA,NA,0.85077791,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,890,892,NA,NA,NA,NA,0.917787467,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,892,894,NA,NA,NA,NA,1.112788516,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,FW,NA,2,4,NA,NA,NA,NA,0.23,0.474103586,0.234361076,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,4,6,NA,NA,NA,NA,0.216,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,6,8,NA,NA,NA,NA,0.245,0.397590361,0.192202289,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,8,10,NA,NA,NA,NA,0.233,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,10,12,NA,NA,NA,NA,0.223,0.444,0.217774,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,12,14,NA,NA,NA,NA,0.26,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,14,16,NA,NA,NA,NA,0.357,0.258964143,0.115819243,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,16,18,NA,NA,NA,NA,0.404,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,18,20,NA,NA,NA,NA,0.402,0.22310757,0.096062271,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,20,22,NA,NA,NA,NA,0.352,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,22,24,NA,NA,NA,NA,0.266,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,24,26,NA,NA,NA,NA,0.462,0.196,0.081126,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,26,28,NA,NA,NA,NA,0.412,0.228,0.098758,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,28,30,NA,NA,NA,NA,0.325,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,30,32,NA,NA,NA,NA,0.284,0.196,0.081126,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,32,34,NA,NA,NA,NA,0.443,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,34,36,NA,NA,NA,NA,0.37,0.204,0.085534,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,36,38,NA,NA,NA,NA,0.366,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,38,40,NA,NA,NA,NA,0.338,0.22,0.09435,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,40,42,NA,NA,NA,NA,0.27,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,42,44,NA,NA,NA,NA,0.231,0.276,0.125206,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,44,46,NA,NA,NA,NA,0.244,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,46,48,NA,NA,NA,NA,0.308,0.268,0.120798,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,48,50,NA,NA,NA,NA,0.244,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D1-25A,48.00000000000001,50,140,30,Achenes,142,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D1-26A,50,52,215,35,Plant fragment,184,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,50,52,NA,NA,NA,NA,0.221,0.328,0.153858,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,52,54,NA,NA,NA,NA,0.213,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,54,56,NA,NA,NA,NA,0.208,0.356,0.169286,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,56,58,NA,NA,NA,NA,0.178,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,58,60,NA,NA,NA,NA,0.138,0.468,0.230998,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,60,62,NA,NA,NA,NA,0.183,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,62,64,NA,NA,NA,NA,0.23,0.228,0.098758,single set of methods,Franks Wetland
