study_id,bibliography_id,publication_type,key,bibtype,doi,url,year,month,publisher,volume,number,author,title,journal,school,pages,keywords,editor,booktitle,institution,copyright,language
Chen_et_al_2012,Chen_et_al_2012,Article,Chen_2012,Article,10.1016/j.soilbio.2012.01.029,https://doi.org/10.1016/j.soilbio.2012.01.029,2012,may,Elsevier {BV},48,NA,Guang C. Chen and Nora F.Y. Tam and Yong Ye,Spatial and seasonal variations of atmospheric N2O and {CO}2 fluxes from a subtropical mangrove swamp and their relationships with soil characteristics,Soil Biology and Biochemistry,NA,175--181,NA,NA,NA,NA,NA,NA
Keuskamp_et_al_2013,Keuskamp_et_al_2013,Article,Keuskamp_2013,Article,10.1016/j.soilbio.2012.08.007,https://doi.org/10.1016/j.soilbio.2012.08.007,2013,feb,Elsevier {BV},57,NA,Joost A. Keuskamp and Heike Schmitt and Hendrikus J. Laanbroek and Jos T.A. Verhoeven and Mariet M. Hefting,Nutrient amendment does not increase mineralisation of sequestered carbon during incubation of a nitrogen limited mangrove soil,Soil Biology and Biochemistry,NA,822--829,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Alongi_et_al_2001,Article,Alongi_2001,Article,10.1016/s0025-3227(01)00195-5,https://doi.org/10.1016/s0025-3227(01)00195-5,2001,sep,Elsevier {BV},179,NA,D.M Alongi and G Wattayakorn and J Pfitzner and F Tirendi and I Zagorskis and G.J Brunskill and A Davidson and B.F Clough,Organic carbon accumulation and metabolic pathways in sediments of mangrove forests in southern Thailand,Marine Geology,NA,85--103,NA,NA,NA,NA,NA,NA
Lallier-Verges_et_al_1998,Lallier-Verges_et_al_1998,Article,Lallier_Verges_1998,Article,10.1016/s0146-6380(98)00179-x,https://doi.org/10.1016/s0146-6380(98)00179-x,1998,nov,Elsevier {BV},29,NA,Elisabeth Lallier-Verges and Benoit P Perrussel and Jean-Robert Disnar and Frederic Baltzer,"Relationships between environmental conditions and the diagenetic evolution of organic matter derived from higher plants in a modern mangrove swamp system (Guadeloupe, French West Indies)",Organic Geochemistry,NA,1663--1686,NA,NA,NA,NA,NA,NA
Marchand_et_al_2003,Marchand_et_al_2003,Article,Marchand_2003,Article,10.1016/s0272-7714(02)00134-8,https://doi.org/10.1016/s0272-7714(02)00134-8,2003,jan,Elsevier {BV},56,1,C Marchand and E Lallier-VergÃ¨s and F Baltzer,The composition of sedimentary organic matter in relation to the dynamic features of a mangrove-fringed coast in French Guiana,"Estuarine, Coastal and Shelf Science",NA,119--130,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Alongi_et_al_2000,Article,Alongi_2000,Article,10.1016/s0304-3770(00)00110-8,https://doi.org/10.1016/s0304-3770(00)00110-8,2000,oct,Elsevier {BV},68,2,D.M Alongi and F Tirendi and B.F Clough,Below-ground decomposition of organic matter in forests of the mangroves Rhizophora stylosa and Avicennia marina along the arid coast of Western Australia,Aquatic Botany,NA,97--122,NA,NA,NA,NA,NA,NA
Zhang_et_al_2012,Zhang_et_al_2012,Article,ZHANG_2012,Article,10.1016/s1002-0160(11)60191-4,https://doi.org/10.1016/s1002-0160(11)60191-4,2012,feb,Elsevier {BV},22,1,Jin-Ping ZHANG and Cheng-De SHEN and Hai REN and Jun WANG and Wei-Dong HAN,Estimating Change in Sedimentary Organic Carbon Content During Mangrove Restoration in Southern China Using Carbon Isotopic Measurements,Pedosphere,NA,58--66,NA,NA,NA,NA,NA,NA
Chmura_et_al_2003,Chmura_et_al_2003,Article,Chmura_2003,Article,10.1029/2002gb001917,https://doi.org/10.1029/2002gb001917,2003,dec,American Geophysical Union ({AGU}),17,4,Gail L. Chmura and Shimon C. Anisfeld and Donald R. Cahoon and James C. Lynch,"Global carbon sequestration in tidal, saline wetland soils",Global Biogeochemical Cycles,NA,n/a--n/a,NA,NA,NA,NA,NA,NA
Murdiyarso_et_al_2015,Murdiyarso_et_al_2015,Article,Murdiyarso_2015,Article,10.1038/nclimate2734,https://doi.org/10.1038/nclimate2734,2015,jul,Springer Science and Business Media {LLC},5,12,Daniel Murdiyarso and Joko Purbopuspito and J. Boone Kauffman and Matthew W. Warren and Sigit D. Sasmito and Daniel C. Donato and Solichin Manuri and Haruni Krisnawati and Sartji Taberima and Sofyan Kurnianto,The potential of Indonesian mangrove forests for global climate change mitigation,Nature Climate Change,NA,1089--1092,NA,NA,NA,NA,NA,NA
Donato_et_al_2011,Donato_et_al_2011,Article,Donato_2011,Article,10.1038/ngeo1123,https://doi.org/10.1038/ngeo1123,2011,apr,Springer Science and Business Media {LLC},4,5,Daniel C. Donato and J. Boone Kauffman and Daniel Murdiyarso and Sofyan Kurnianto and Melanie Stidham and Markku Kanninen,Mangroves among the most carbon-rich forests in the tropics,Nature Geoscience,NA,293--297,NA,NA,NA,NA,NA,NA
Fujimoto_et_al_1999,Fujimoto_et_al_1999,Article,Fujimoto_1999,Article,10.1046/j.1440-1703.1999.00313.x,https://doi.org/10.1046/j.1440-1703.1999.00313.x,1999,dec,Wiley,14,4,Kiyoshi Fujimoto and Akihiro Imaya and Ryuichi Tabuchi and Shigeo Kuramoto and Hajime Utsugi and Tamon Murofushi,Belowground carbon storage of Micronesian mangrove forests,Ecological Research,NA,409--413,NA,NA,NA,NA,NA,NA
Ezcurra_et_al_2016,Ezcurra_et_al_2016,Article,Ezcurra_2016,Article,10.1073/pnas.1519774113,https://doi.org/10.1073/pnas.1519774113,2016,mar,Proceedings of the National Academy of Sciences,113,16,Paula Ezcurra and Exequiel Ezcurra and Pedro P. GarcillÃ¡n and Matthew T. Costa and Octavio Aburto-Oropeza,Coastal landforms and accumulation of mangrove peat increase carbon sequestration and storage,Proceedings of the National Academy of Sciences,NA,4404--4409,NA,NA,NA,NA,NA,NA
Yando_et_al_2016,Yando_et_al_2016,Article,Yando_2016,Article,10.1111/1365-2745.12571,https://doi.org/10.1111/1365-2745.12571,2016,apr,Wiley,104,4,Erik S. Yando and Michael J. Osland and Jonathan M. Willis and Richard H. Day and Ken W. Krauss and Mark W. Hester,Salt marsh-mangrove ecotones: using structural gradients to investigate the effects of woody plant encroachment on plant-soil interactions and ecosystem carbon pools,Journal of Ecology,NA,1020--1031,NA,Rebecca McCulley,NA,NA,NA,NA
Cardona_and_Botero_1998,Cardona_and_Botero_1998,Article,Cardona_1998,Article,10.1111/j.1744-7429.1998.tb00366.x,https://doi.org/10.1111/j.1744-7429.1998.tb00366.x,1998,mar,Wiley,30,1,Pablo Cardona and Leonor Botero,Soil Characteristics and Vegetation Structure in a Heavily Deteriorated Mangrove Forest in the Caribbean Coast of Colombia,Biotropica,NA,24--34,NA,NA,NA,NA,NA,NA
Gleason_and_Ewel_2002,Gleason_and_Ewel_2002,Article,Gleason_2002,Article,10.1111/j.1744-7429.2002.tb00530.x,https://doi.org/10.1111/j.1744-7429.2002.tb00530.x,2002,jun,Wiley,34,2,Sean M. Gleason and Katherine C. Ewel,Organic Matter Dynamics on the Forest Floor of a Micronesian Mangrove Forest: An Investigation of Species Composition Shifts1,Biotropica,NA,190--198,NA,NA,NA,NA,NA,NA
Dissanayake_and_Chandrasekara_2014,Dissanayake_and_Chandrasekara_2014,Article,Dissanayake_2014,Article,10.1155/2014/564056,https://doi.org/10.1155/2014/564056,2014,NA,Hindawi Limited,2014,NA,Navodha Dissanayake and Upali Chandrasekara,"Effects of Mangrove Zonation and the Physicochemical Parameters of Soil on the Distribution of Macrobenthic Fauna in Kadolkele Mangrove Forest, a Tropical Mangrove Forest in Sri Lanka",Advances in Ecology,NA,1--13,NA,NA,NA,NA,NA,NA
Alongi_1996,Alongi_1996,Article,Alongi_1996,Article,10.1357/0022240963213475,https://doi.org/10.1357/0022240963213475,1996,jan,Journal of Marine Research/Yale,54,1,Daniel M. Alongi,The dynamics of benthic nutrient pools and fluxes in tropical mangrove forests,Journal of Marine Research,NA,123--148,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Adame_et_al_2013,Article,Adame_2013,Article,10.1371/journal.pone.0056569,https://doi.org/10.1371/journal.pone.0056569,2013,feb,Public Library of Science ({PLoS}),8,2,Maria Fernanda Adame and J. Boone Kauffman and Israel Medina and Julieta N. Gamboa and Olmo Torres and Juan P. Caamal and Miriam Reza and Jorge A. Herrera-Silveira,Carbon Stocks of Tropical Coastal Wetlands within the Karstic Landscape of the Mexican Caribbean,{PLoS} {ONE},NA,e56569,NA,Han Y. H. Chen,NA,NA,NA,NA
Lang'at_et_al_2014,Lang'at_et_al_2014,Article,Lang_at_2014,Article,10.1371/journal.pone.0107868,https://doi.org/10.1371/journal.pone.0107868,2014,sep,Public Library of Science ({PLoS}),9,9,Joseph Kipkorir Sigi Lang\textquotesingleat and James G. Kairo and Maurizio Mencuccini and Steven Bouillon and Martin W. Skov and Susan Waldron and Mark Huxham,Rapid Losses of Surface Elevation following Tree Girdling and Cutting in Tropical Mangroves,{PLoS} {ONE},NA,e107868,NA,Vanesa Magar,NA,NA,NA,NA
Bukoski_et_al_2017,Bukoski_et_al_2017,Article,Bukoski_2017,Article,10.1371/journal.pone.0169096,https://doi.org/10.1371/journal.pone.0169096,2017,jan,Public Library of Science ({PLoS}),12,1,Jacob J. Bukoski and Jeremy S. Broadhead and Daniel C. Donato and Daniel Murdiyarso and Timothy G. Gregoire,The Use of Mixed Effects Models for Obtaining Low-Cost Ecosystem Carbon Stock Estimates in Mangroves of the Asia-Pacific,{PLOS} {ONE},NA,e0169096,NA,Shing Yip Lee,NA,NA,NA,NA
Vasconcelos_et_al_2014,Vasconcelos_et_al_2014,Article,Vasconcelos_2014,Article,10.18393/ejss.76445,https://doi.org/10.18393/ejss.76445,2014,sep,Eurasian Journal of Soil Sciences,3,3,Renata Wilma Vasconcelos and Vanessa {dos Santos Gomes} and Diego Rodrigues {de Lucena} and Orione Alvares {da Silva} and Anaonio Cicero Sousa and Alexandre Fonseca D\textquotesingleAndrea,"Soil organic matter and soil acidity in Mangrove areas in the river Paraiba Estuary, Cabedelo, Paraiba, Brazil",{EURASIAN} {JOURNAL} {OF} {SOIL} {SCIENCE} ({EJSS}),NA,157,NA,NA,NA,NA,NA,NA
Sahu_et_al_2016,Sahu_et_al_2016,Article,Sahu_2016,Article,10.18520/cs/v110/i12/2253-2260,https://doi.org/10.18520/cs/v110/i12/2253-2260,2016,jun,Current Science Association,110,12,S. C. Sahu and Manish Kumar and N. H. Ravindranath,"Carbon Stocks in Natural and Planted Mangrove forests of Mahanadi Mangrove Wetland, East Coast of India",Current Science,NA,2253,NA,NA,NA,NA,NA,NA
Sanders_et_al_2008,Sanders_et_al_2008,Article,Sanders_2008,Article,10.2112/07-0872.1,https://doi.org/10.2112/07-0872.1,2008,mar,Coastal Education and Research Foundation,242,NA,Christian J. Sanders and Joseph M. Smoak and A. Sathy Naidu and Sambasiva R. Patchineelam,"Recent Sediment Accumulation in a Mangrove Forest and Its Relevance to Local Sea-Level Rise (Ilha Grande, Brazil)",Journal of Coastal Research,NA,533--536,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,Alongi_et_al_2008,Article,Alongi_2008,Article,10.3354/meps07661,https://doi.org/10.3354/meps07661,2008,oct,Inter-Research Science Center,375,NA,DM Alongi and LA Trott and {Rachmansyah} and F Tirendi and AD McKinnon and MC Undu,"Growth and development of mangrove forests overlying smothered coral reefs, Sulawesi and Sumatra, Indonesia",Marine Ecology Progress Series,NA,97--109,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Alongi_et_al_2000,Article,Alongi_2000:1,Article,10.3354/meps194087,https://doi.org/10.3354/meps194087,2000,NA,Inter-Research Science Center,194,NA,DM Alongi and F Tirendi and LA Trott and TT Xuan,"Benthic decomposition rates and pathways in plantations of the mangrove Rhizophora apiculata in the Mekong delta, Vietnam",Marine Ecology Progress Series,NA,87--101,NA,NA,NA,NA,NA,NA
Bulmer_et_al_2016,Bulmer_et_al_2016,Article,Bulmer_2016,Article,10.3389/fmars.2016.00150,https://doi.org/10.3389/fmars.2016.00150,2016,aug,Frontiers Media {SA},3,NA,Richard H. Bulmer and Luitgard Schwendenmann and Carolyn J. Lundquist,Carbon and Nitrogen Stocks and Below-Ground Allometry in Temperate Mangroves,Frontiers in Marine Science,NA,NA,NA,NA,NA,NA,NA,NA
Marchio_et_al_2016,Marchio_et_al_2016,Article,Marchio_2016,Article,10.3390/f7060116,https://doi.org/10.3390/f7060116,2016,may,{MDPI} {AG},7,12,Daniel Marchio and Michael Savarese and Brian Bovard and William Mitsch,Carbon Sequestration and Sedimentation in Mangrove Swamps Influenced by Hydrogeomorphic Conditions and Urbanization in Southwest Florida,Forests,NA,116,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Adame_et_al_2015,Article,Adame_2015,Article,10.5194/bg-12-3805-2015,https://doi.org/10.5194/bg-12-3805-2015,2015,jun,Copernicus {GmbH},12,12,M. F. Adame and N. S. Santini and C. Tovilla and A. VÃ¡zquez-Lule and L. Castro and M. Guevara,Carbon stocks and soil sequestration rates of tropical riverine wetlands,Biogeosciences,NA,3805--3818,NA,NA,NA,NA,NA,NA
Chen_et_al_2016,Chen_et_al_2016,Article,Chen_2016,Article,10.5194/bg-2015-662,https://doi.org/10.5194/bg-2015-662,2016,feb,Copernicus {GmbH},NA,NA,Guangcheng Chen and Bin Chen and Dan Yu and Yong Ye and Nora F. Y. Tam and Shunyang Chen,Soil greenhouse gases emissions reduce the benefit of mangrove plant to mitigating atmospheric warming effect,Biogeosciences Discussions,NA,1--22,NA,NA,NA,NA,NA,NA
Nsombo_et_al_2016,Nsombo_et_al_2016,Article,NDEMA_2016,Article,10.5897/ajest2015.1956,https://doi.org/10.5897/ajest2015.1956,2016,mar,Academic Journals,10,3,NSOMBO Eugene NDEMA and BENGONO Fr {eacute d eacute ric AKO} and Jacques ETAME and DIN NDONGO and Gordon AJONINA and BILONG Paul,"Effects of vegetations degradation on carbon stock, morphological, physical and chemical characteristics of soils within the mangrove forest of the Rio del Rey Estuary: Case study Bamusso (South-West Cameroon)",African Journal of Environmental Science and Technology,NA,58--66,NA,NA,NA,NA,NA,NA
Gomes_et_al_2016,Gomes_et_al_2016,Article,Gomes_2016,Article,10.5935/1806-6690.20160072,https://doi.org/10.5935/1806-6690.20160072,2016,NA,{GN}1 Genesis Network,47,NA,Felipe Haenel Gomes and JoÃ£o Carlos Ker and Tiago OsÃ³rio Ferreira and Ana Maria Souza {dos Santos Moreau} and Maur\'\icio Santana Moreau,"Characterization and pedogenesis of mangrove soils from Ilh{\'{e}}us - {BA}, Brazil",{REVISTA} {CI}{\^{E}}{NCIA} {AGRON}{\^{O}}{MICA},NA,NA,NA,NA,NA,NA,NA,NA
DelVecchia_et_al_2014,DelVecchia_et_al_2014,Article,DelVecchia_2014,Article,10.7717/peerj.388,https://doi.org/10.7717/peerj.388,2014,may,{PeerJ},2,NA,Amanda G. DelVecchia and John F. Bruno and Larry Benninger and Marc Alperin and Ovik Banerjee and Juan {de Dios Morales},Organic carbon inventories in natural and restored Ecuadorian mangrove forests,{PeerJ},NA,e388,NA,NA,NA,NA,NA,NA
Matsui_1998,Matsui_1998,Article,Matsui_1998,Article,NA,NA,1998,NA,NA,4,2,"Matsui, Naohiro","Estimated stocks of organic carbon in mangrove roots and sediments in Hinchinbrook Channel, Australia",Mangroves and Salt Marshes,NA,NA,NA,NA,NA,NA,NA,NA
Wooller_et_al_2003,Wooller_et_al_2003,Article,Wooller_et_al_2003,Article,NA,NA,2003,NA,NA,499,NA,"Wooller, Matthew and Smallwood, Barbara and Jacobson, Myrna and Fogel, Marilyn",Carbon and nitrogen stable isotopic variation in Laguncularia racemosa (L.)(white mangrove) from Florida and Belize: implications for trophic level studies,Hydrobiologia,NA,NA,NA,NA,NA,NA,NA,NA
Bouillon_et_al_2003,Bouillon_et_al_2003,Article,Bouillon_et_al_2003,Article,NA,NA,2003,NA,NA,495,NA,"Bouillon, Steven and Dahdouh-Guebas, Farid and Rao, AVVS and Koedam, Nico and Dehairs, Frank",Sources of organic carbon in mangrove sediments: variability and possible ecological implications,Hydrobiologia,NA,NA,NA,NA,NA,NA,NA,NA
Cahoon_and_Lynch_1997,Cahoon_and_Lynch_1997,Article,Cahoon_and_Lynch_1997,Article,NA,NA,1997,NA,NA,1,3,"Cahoon, Donald R and Lynch, James C","Vertical accretion and shallow subsidence in a mangrove forest of southwestern Florida, USA",Mangroves and Salt Marshes,NA,NA,NA,NA,NA,NA,NA,NA
Tam_and_Wong_1998,Tam_and_Wong_1998,Article,Tam_and_Wong_1998,Article,NA,NA,1998,NA,NA,103,NA,"Tam, NFY and Wong, YS",Variations of soil nutrient and organic matter content in a subtropical mangrove ecosystem,"Water, Air, and Soil Pollution",NA,NA,NA,NA,NA,NA,NA,NA
Abino_et_al_2014,Abino_et_al_2014,Article,Abino_et_al_2014,Article,NA,NA,2014,NA,NA,46,6,"Abino, Azyleah C and CaPak. J. Botstillo, Jose Alan A and Lee, Young Jin","Species diversity, biomass, and carbon stock assessments of a natural mangrove forest in Palawan, Philippines",Pak. J. Bot,NA,NA,NA,NA,NA,NA,NA,NA
Banerjee_et_al_2012,Banerjee_et_al_2012,Article,Banerjee_et_al_2012,Article,NA,NA,2012,NA,NA,6,NA,"Banerjee, Kakoli and Roy Chowdhury, M and Sengupta, Kasturi and Sett, Saurov and Mitra, Abhijit",Influence of anthropogenic and natural factors on the mangrove soil of Indian Sundarbans wetland,Arch Environ Sci,NA,NA,NA,NA,NA,NA,NA,NA
He_et_al_2002,He_et_al_2002,Article,He_et_al_2002,Article,NA,NA,2002,NA,NA,38,2,"He, Bin and Wen, Yuanguang and Yuan, Xia and Liang, Hongwen and Liu, Shirong",Studies on soil physical and chemical properties and enzyme activities of different mangrove communities in Yingluo Bay of Guangxi,Scientia Silvae Sinicae,NA,NA,NA,NA,NA,NA,NA,NA
Mao_et_al_2011,Mao_et_al_2011,Article,Mao_et_al_2011,Article,NA,NA,2011,NA,NA,20,12,"Mao, ZL and Lai, HD and Zhao, ZY and Yang, XM",Effect of invasion plants (Mikania micrantha HBK) on carbon stock of mangrove ecosystem in Shenzhen bay,Ecol Env,NA,NA,NA,NA,NA,NA,NA,NA
Mao_et_al_2012,Mao_et_al_2012,Article,Mao_et_al_2012,Article,NA,NA,2012,NA,NA,21,NA,"Mao, ZL and Yang, XM and Zhao, ZY and Lai, MD and Yang, DY and Wu, CL and Xu, HL},","Preliminary study on mangrove ecosystem carbon cycle of Kandelia candel in Futian nature reserve, Shenzhen, China. Ecol",Environ. Sci,NA,NA,NA,NA,NA,NA,NA,NA
Liu_et_al_2008,Liu_et_al_2008,Article,Liu_et_al_2008,Article,NA,NA,2008,NA,NA,9,NA,"LIU, Mei-ling and YE, Yong and CAO, Chang-qing and TANG, Fei-long",Fractal characteristics and related affecting factors of particle size distribution in mangrove soils in Dongzhai Harbor of Hainan,Chinese Journal of Ecology,NA,NA,NA,NA,NA,NA,NA,NA
Xu_et_al_2012,Xu_et_al_2012,Article,Xu_et_al_2012,Article,NA,NA,2012,NA,NA,15,NA,"Xu, F. H., Zhang, J. P., Zhang, Q. M., Lin, K. Y., Lin, G. X.","Carbon storage of three natural mangrove forests in Gaoqiao, Zhanjiang",Value Engineering,NA,NA,NA,NA,NA,NA,NA,NA
Pazi_et_al_2016,Pazi_et_al_2016,Article,Pazi_et_al_2016,Article,NA,NA,2016,NA,NA,79,1,"PAZI, AHMAD MUSTAPHA MOHAMAD and GANDASECA, SECA and ROSLI, NORAINI and HANAFI, AHMAD and HAMZAH, ALBERT EMPAWI TINDIT and NYANGON, LAURNA","Soil pH and carbon at different depth in three zones of mangrove forest in Sarawak, Malaysia",The Malaysian Forester,NA,NA,NA,NA,NA,NA,NA,NA
Middelburg_et_al_1996,Middelburg_et_al_1996,Article,Middelburg_et_al_1996,Article,NA,NA,1996,NA,NA,34,3,"Middelburg, Jack J and Nieuwenhuize, Joop and Slim, Frederik J and Ohowa, Boaz","Sediment biogeochemistry in an East African mangrove forest (Gazi bay, Kenya)",Biogeochemistry,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,Ashton_and_Macintosh_2002,Article,Ashton_and_Macintosh_2002,Article,NA,NA,2002,NA,NA,166,NA,"Ashton, Elizabeth C and Macintosh, Donald J","Preliminary assessment of the plant diversity and community ecology of the Sematan mangrove forest, Sarawak, Malaysia",Forest Ecology and Management,NA,NA,NA,NA,NA,NA,NA,NA
Woodroffe_1985,Woodroffe_1985,Article,Woodroffe_1985,Article,NA,NA,1985,NA,NA,20,3,"Woodroffe, Colin D","Studies of a mangrove basin, Tuff Crater, New Zealand: I. Mangrove biomass and production of detritus","Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA
Loi_and_Ni_2015,Loi_and_Ni_2015,Article,Loi_and_Ni_2015,Article,NA,NA,2015,NA,NA,NA,NA,"Loi, Tan and Ni, Hang","The effects of land surface elevation on belowground carbon accumulation of mangrove ecosystem at the Ong Trang sand bar, Ngoc Hien district, Ca Mau province",unknown,NA,NA,NA,NA,NA,NA,NA,NA
Kao_et_al_2002,Kao_et_al_2002,Article,Kao_et_al_2002,Article,NA,NA,2002,NA,NA,43,NA,"Kao, Wen-Yuan and Tsai, Hung-Chieh and Shih, Chen-Ning and Tsai, Tyng-Tyng and Handley, Linda L","Nutrient contents, d13C and d15N during leaf senescence in the mangrove, Kandelia candel (L.) Druce",Botanical Bulletin of Academia Sinica,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_1997,Callaway_et_al_1997,Article,Callaway_et_al_1997,Article,NA,NA,1997,NA,NA,NA,NA,"Callaway, JC and DeLaune, RD and Patrick Jr, WH",Sediment accretion rates from four coastal wetlands along the Gulf of Mexico,Journal of Coastal Research,NA,NA,NA,NA,NA,NA,NA,NA
Naidoo_1980,Naidoo_1980,Article,Naidoo_1980,Article,NA,NA,1980,NA,NA,NA,NA,"Naidoo, G","Mangrove soils of the Beachwood area, Durban",Journal of South African Botany,NA,NA,NA,NA,NA,NA,NA,NA
Naidoo_and_Raiman_1982,Naidoo_and_Raiman_1982,Article,Naidoo_and_Raiman_1982,Article,NA,NA,1982,NA,NA,NA,NA,"Naidoo, G and Raiman, F","Some physical and chemical properties of mangrove soils at Sipingo and Mgeni, Natal",South African Journal of Botany,NA,NA,NA,NA,NA,NA,NA,NA
Kristensen_et_al_1992,Kristensen_et_al_1992,Article,Kristensen_et_al_1992,Article,NA,NA,1992,NA,NA,NA,NA,"Kristensen, Erik and Devol, Allan H and Ahmed, Saiyed I and Saleem, Monawwar","Preliminary study of benthic metabolism and sulfate reduction in a mangrove swamp of the Indus Delta, Pakistan",Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA,NA,NA
Kristensen_et_al_2000,Kristensen_et_al_2000,Article,Kristensen_et_al_2000,Article,NA,NA,2000,NA,NA,22,2,"Kristensen, Erik and Andersen, Frede {\O} and Holmboe, Nikolaj and Holmer, Marianne and Thongtham, Nalinee","Carbon and nitrogen mineralization in sediments of the Bangrong mangrove area, Phuket, Thailand",Aquatic Microbial Ecology,NA,NA,NA,NA,NA,NA,NA,NA
Lee_and_Baker_1972,Lee_and_Baker_1972,Article,Lee_and_Baker_1972,Article,NA,NA,1972,NA,NA,26,NA,"Lee, Benny KH and Baker, Gladys E",An ecological study of the soil microfungi in a Hawaiian mangrove swamp,Pacific Science,NA,NA,NA,NA,NA,NA,NA,NA
Sanborn_and_Coxson_2020,Sanborn_and_Coxson_2020,synthesis,Sanborn_and_Coxson_2020,Misc,doi.org/10.25573/serc.12252005,https://smithsonian.figshare.com/articles/Dataset_Carbon_data_for_intertidal_soils_and_sediments_Skeena_River_estuary_British_Columbia/12252005,2020,jun,The Smithsonian Institution,NA,NA,"Sanbor, Paul and Coxson, Darwyn","Dataset: Carbon data for intertidal soils and sediments, Skeena River estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2019,synthesis,Poppe_and_Rybczyk_2019,Misc,10.25573/data.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,2019,NA,The Smithsonian Institution,NA,NA,Katrina Poppe and John Rybczyk,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2019,Poppe_and_Rybczyk_2019,synthesis,Poppe_and_Rybczyk_2019,Misc,10.25573/data.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,2019,NA,The Smithsonian Institution,NA,NA,Katrina Poppe and John Rybczyk,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2019,Poppe_and_Rybczyk_2019,synthesis,Poppe_and_Rybczyk_2019,Misc,10.25573/data.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,2019,NA,The Smithsonian Institution,NA,NA,Katrina Poppe and John Rybczyk,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018a,Article,Poppe_and_Rybczyk_2018a,Article,10.3955/046.092.0202,NA,2018,NA,NA,92,2,KL Poppe and JM Rybczyk,Carbon Sequestration in a Pacific Northwest Eelgrass (Zostera marina) Meadow,Northwest Science,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018b,MastersThesis,Poppe_and_Rybczyk_2018b,MastersThesis,NA,NA,2015,NA,NA,NA,NA,KL Poppe,An Ecogeomorphic Model to Assess the Response of Padilla Bay's Eelgrass Habitat to Sea Level Rise,NA,Western Washington University,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2019,Poppe_and_Rybczyk_2019b,TechReport,Poppe_and_Rybczyk_2019b,TechReport,NA,NA,2019,NA,NA,NA,NA,KL Poppe and JM Rybczyk,A Blue Carbon Assessment for the Stillaguamish River Estuary: Quantifying the Climate Benefits of Tidal Marsh Restoration,NA,NA,NA,NA,NA,NA,Western Washington University,NA,NA
Poppe_et_al_2019,Poppe_et_al_2019,TechReport,Poppe_et_al_2019,TechReport,NA,NA,2014,NA,NA,NA,NA,S Crooks and J Rybczyk and K O`Connell and D L Devier and K Poppe and S Emmett-Mattox,Coastal Blue Carbon Opportunity Assessment for the Snohomish Estuary: The Climate Benefits of Estuary Restoration,NA,NA,NA,NA,NA,NA,Restore America�s Estuaries,NA,NA
Peck_et_al_2020,Peck_et_al_2020,Misc,https://doi.org/10.25573/serc.11317820.v2,Misc,10.25573/SERC.11317820.V2,https://smithsonian.figshare.com/articles/Dataset_Controls_on_sediment_accretion_and_blue_carbon_burial_in_tidal_saline_wetlands_Insights_from_the_Oregon_coast_U_S_A_/11317820/2,2020,NA,The Smithsonian Institution,NA,NA,Erin Peck and Robert Wheatcroft and Laura Brophy,"Dataset: Controls on sediment accretion and blue carbon burial in tidal saline wetlands: Insights from the Oregon coast, U.S.A.",NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science",NA,NA,NA,NA,NA
Osland_et_al_2016,Osland_et_al_2016,data release,Osland_et_al_2016,Misc,10.5066/f7j1017g,https://www.sciencebase.gov/catalog/item/5731fbace4b0dae0d5dc1e59,2017,NA,U.S. Geological Survey,NA,NA,Michael J Osland,"Vegetation, soil, and landscape data",NA,NA,NA,NCCWSC/CSC Data Product,NA,NA,NA,NA,NA
