study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,40,42,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,42,44,0.39,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,44,46,0.46,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,46,48,0.37,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,48,50,0.29,0.08800000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,50,52,0.28,0.11900000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,52,54,0.32,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,54,56,0.47,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,56,58,0.49,0.059000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,58,60,0.26,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,60,62,0.28,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,65,67,0.28,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,70,72,0.2,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,75,77,0.26,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,80,82,0.17,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,85,87,0.17,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,90,92,0.22,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,95,97,0.28,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,0,2,0.25,0.10800000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,2,4,0.24,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,4,6,0.27,0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,6,8,0.34,0.10099999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,8,10,0.25,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,10,12,0.33,0.11900000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,12,14,0.29,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,14,16,0.26,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,16,18,0.3,0.08900000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,18,20,0.39,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,20,22,0.34,0.08800000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,22,24,0.3,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,24,26,0.23,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,26,28,0.22,0.11599999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,28,30,0.23,0.11699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,30,32,0.2,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,32,34,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,34,36,0.21,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,36,38,0.26,0.10400000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,38,40,0.46,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,40,42,0.51,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,42,44,0.37,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,44,46,0.43,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,46,48,0.47,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,48,50,0.46,0.07200000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,50,52,0.66,0.055999999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,52,54,0.54,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,54,56,0.55,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,56,58,0.53,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,58,60,0.46,0.08199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,60,62,0.39,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,65,67,0.41,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,70,72,0.26,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,75,77,0.28,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,80,82,0.33,0.07200000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,85,87,0.47,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,90,92,0.34,0.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,95,97,0.17,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_2,soil carbon measured,100,102,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,0,2,0.12,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,2,4,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,4,6,0.29,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,6,8,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,8,10,0.29,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,10,12,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,13,16,0.29,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,16,18,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,19,21,0.17,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,21,24,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,24,27,0.17,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,27,30,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,30,33,0.24,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,33,36,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,36,39,0.25,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,39,41,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,41,44,0.3,0.11199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,44,47,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,POND_1,soil carbon measured,47,49,0.16,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,0,2,0.14,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,2,4,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,4,6,0.21,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,6,8,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,8,10,0.22,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,10,12,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,13,16,0.49,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,16,18,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,19,21,0.33,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,21,24,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,24,27,0.35,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,27,30,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,30,33,0.29,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,33,36,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,36,39,0.2,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,39,41,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,41,44,0.22,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,44,47,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,POND_2,soil carbon measured,47,49,0.21,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,0,2,0.23,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,2,4,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,4,6,0.14,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,6,8,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,8,10,0.18,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,10,12,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,13,16,0.33,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,16,18,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,19,21,0.21,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,21,24,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,24,27,0.24,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,27,30,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,30,33,0.35,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,33,36,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,36,39,0.22,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,39,41,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,41,44,0.18,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,44,47,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,POND_3,soil carbon measured,47,49,0.13,0.11699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,0,1,NA,NA,0,0,disintegrationsPerMinutePerGram,7.94,0.46,8.18,0.45,disintegrationsPerMinutePerGram,0.25,0.11,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,1,2,NA,NA,0,0,disintegrationsPerMinutePerGram,8.12,0.47,8.64,0.45,disintegrationsPerMinutePerGram,0.51,0.11,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,2,3,NA,NA,0,0,disintegrationsPerMinutePerGram,8.81,0.53,9.53,0.51,disintegrationsPerMinutePerGram,0.72,0.13,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,3,4,NA,NA,0,0,disintegrationsPerMinutePerGram,10.55,0.42,10.55,0.42,disintegrationsPerMinutePerGram,0,0,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,4,5,NA,NA,0,0,disintegrationsPerMinutePerGram,13.88,0.54,14.43,0.53,disintegrationsPerMinutePerGram,0.55,0.11,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,5,6,NA,NA,0,0,disintegrationsPerMinutePerGram,11.91,0.52,11.91,0.52,disintegrationsPerMinutePerGram,0,0,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,6,7,NA,NA,0,0,disintegrationsPerMinutePerGram,8.48,0.43,9.03,0.41,disintegrationsPerMinutePerGram,0.55,0.12,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,7,8,NA,NA,0,0,disintegrationsPerMinutePerGram,6.91,0.48,7.5,0.47,disintegrationsPerMinutePerGram,0.58,0.11,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,8,9,NA,NA,0.19,0.06,disintegrationsPerMinutePerGram,6.74,0.36,7.37,0.35,disintegrationsPerMinutePerGram,0.62,0.09,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,9,10,NA,NA,0,0,disintegrationsPerMinutePerGram,8.33,0.52,8.82,0.5,disintegrationsPerMinutePerGram,0.49,0.12,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,10,11,NA,NA,0,0,disintegrationsPerMinutePerGram,9.73,0.63,10.47,0.62,disintegrationsPerMinutePerGram,0.74,0.14,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,11,12,NA,NA,0.21,0.06,disintegrationsPerMinutePerGram,11.26,0.48,11.8,0.47,disintegrationsPerMinutePerGram,0.55,0.11,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,12,13,NA,NA,0,0,disintegrationsPerMinutePerGram,9.76,0.66,10.18,0.63,disintegrationsPerMinutePerGram,0.42,0.21,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,13,14,NA,NA,0.3,0.06,disintegrationsPerMinutePerGram,5.76,0.37,6.57,0.36,disintegrationsPerMinutePerGram,0.8,0.1,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,14,15,NA,NA,0.78,0.09,disintegrationsPerMinutePerGram,4.53,0.44,5.06,0.42,disintegrationsPerMinutePerGram,0.54,0.12,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,15,16,NA,NA,1.29,0.1,disintegrationsPerMinutePerGram,8.53,0.51,9.5,0.49,disintegrationsPerMinutePerGram,0.97,0.13,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,16,17,NA,NA,3.24,0.14,disintegrationsPerMinutePerGram,6.02,0.5,7.2,0.47,disintegrationsPerMinutePerGram,1.18,0.15,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,17,18,NA,NA,2.4,0.16,disintegrationsPerMinutePerGram,5.33,0.51,6.58,0.48,disintegrationsPerMinutePerGram,1.25,0.16,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,18,19,NA,NA,1.83,0.1,disintegrationsPerMinutePerGram,4.87,0.36,5.97,0.34,disintegrationsPerMinutePerGram,1.1,0.12,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,19,20,NA,NA,0.85,0.06,disintegrationsPerMinutePerGram,3.75,0.25,4.4,0.24,disintegrationsPerMinutePerGram,0.65,0.08,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,20,21,NA,NA,0,0,disintegrationsPerMinutePerGram,2.75,0.26,3.5,0.24,disintegrationsPerMinutePerGram,0.74,0.09,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,21,22,NA,NA,0,0,disintegrationsPerMinutePerGram,6.2,0.73,7.71,0.69,disintegrationsPerMinutePerGram,1.51,0.25,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,22,23,NA,NA,0,0,disintegrationsPerMinutePerGram,5.18,0.28,5.82,0.27,disintegrationsPerMinutePerGram,0.65,0.07,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,23,24,NA,NA,0,0,disintegrationsPerMinutePerGram,2.39,0.45,3.38,0.41,disintegrationsPerMinutePerGram,0.99,0.17,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,24,25,NA,NA,0,0,disintegrationsPerMinutePerGram,1.94,0.28,2.59,0.27,disintegrationsPerMinutePerGram,0.65,0.08,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,25,26,NA,NA,0,0,disintegrationsPerMinutePerGram,1.22,0.33,1.7,0.31,disintegrationsPerMinutePerGram,0.48,0.09,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,26,27,NA,NA,0,0,disintegrationsPerMinutePerGram,0.86,0.3,1.79,0.28,disintegrationsPerMinutePerGram,0.93,0.11,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,27,28,NA,NA,0,0,disintegrationsPerMinutePerGram,1.4,0.31,1.99,0.3,disintegrationsPerMinutePerGram,0.59,0.08,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,28,29,NA,NA,0,0,disintegrationsPerMinutePerGram,0.47,0.19,1.15,0.17,disintegrationsPerMinutePerGram,0.68,0.08,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,29,30,NA,NA,0,0,disintegrationsPerMinutePerGram,0.92,0.23,1.78,0.21,disintegrationsPerMinutePerGram,0.85,0.08,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,30,32,NA,NA,0,0,disintegrationsPerMinutePerGram,0.22,0.13,1.08,0.12,disintegrationsPerMinutePerGram,0.86,0.05,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,32,34,NA,NA,0,0,disintegrationsPerMinutePerGram,0.5,0.15,1.38,0.14,disintegrationsPerMinutePerGram,0.88,0.05,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_1,radioisotopes measured,34,36,NA,NA,0,0,disintegrationsPerMinutePerGram,0.73,0.19,1.68,0.18,disintegrationsPerMinutePerGram,0.95,0.06,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_2,radioisotopes measured,0,1,NA,NA,0,0,disintegrationsPerMinutePerGram,25.1,0.74,26.19,0.73,disintegrationsPerMinutePerGram,1.08,0.15,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_2,radioisotopes measured,1,2,NA,NA,0,0,disintegrationsPerMinutePerGram,13.17,0.57,14.28,0.56,disintegrationsPerMinutePerGram,1.12,0.14,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_2,radioisotopes measured,2,3,NA,NA,0,0,disintegrationsPerMinutePerGram,9.55,0.32,9.98,0.31,disintegrationsPerMinutePerGram,0.43,0.07,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_2,radioisotopes measured,3,4,NA,NA,0,0,disintegrationsPerMinutePerGram,7.72,0.38,8.18,0.36,disintegrationsPerMinutePerGram,0.46,0.1,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_2,radioisotopes measured,4,5,NA,NA,0,0,disintegrationsPerMinutePerGram,7.42,0.43,8.31,0.42,disintegrationsPerMinutePerGram,0.89,0.11,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_2,radioisotopes measured,5,6,NA,NA,0,0,disintegrationsPerMinutePerGram,6.67,0.34,7.37,0.33,disintegrationsPerMinutePerGram,0.7,0.08,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_2,radioisotopes measured,6,7,NA,NA,0,0,disintegrationsPerMinutePerGram,5.82,0.39,6.37,0.38,disintegrationsPerMinutePerGram,0.55,0.1,disintegrationsPerMinutePerGram
Luk_et_al_2020,SITE_1,MARSH_1_2,radioisotopes measured,7,8,NA,NA,0.24,0.06,disintegrationsPerMinutePerGram,6.29,0.38,6.88,0.36,disintegrationsPerMinutePerGram,0.59,0.09,disintegrationsPerMinutePerGram
