study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,compaction_notes,cs137_activity,cs137_unit
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,11.05,12.5,0.16315,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,12.5,13.95,0.13218,0.421,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,3.979,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,13.95,15.4,0.13944,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,4.135,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,15.4,16.8,0.1303,0.365,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,5.654,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,16.8,18.2,0.12179,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,5.9,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,18.2,19.6,0.12079,0.391,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,3.844,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,19.6,21,0.10955,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,21,22.4,0.11926,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,2.095,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,22.4,23.8,0.10591,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeMiddleTidal,23.8,25,0.10857,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,0.503,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,0,1.55,0,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,1.55,2.9,0,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,2.9,4.3,0,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,4.3,5.65,0.22365,0.226,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,0.45,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,5.65,7,0.18064,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,7,8.35,0.18882,0.232,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,0.717,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,8.35,9.65,0.26158,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,9.65,10.95,0.20713,0.208,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,0.883,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,10.95,12.3,0.19666,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,12.3,13.65,0.22419,0.179,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.002,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,13.65,14.95,0.2299,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,14.95,16.25,0.28791,0.144,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.657,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,16.25,17.55,0.26878,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,17.55,18.85,0.28646,0.14,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.864,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,18.85,20.1,0.23813,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,20.1,21.35,0.27193,0.156,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.925,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,21.35,22.65,0.23584,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,22.65,23.9,0.25492,0.142,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,2.331,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,23.9,25.15,0.24736,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,25.15,26.4,0.25164,0.141,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,2.908,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,26.4,27.65,0.2513,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,27.65,28.9,0.2249,0.182,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,2.743,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,28.9,30.1,0.21647,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,2.529,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,30.1,31.3,0.22643,0.162,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,2.952,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,31.3,32.5,0.28139,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.775,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,32.5,33.75,0.2898,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,1.224,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,33.75,35,0.24537,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,NA,disintegrationsPerMinutePerGram
Ensign_et_al_2020,Pocomoke River,PocomokeLowerTidal,35,36.1,0.28855,NA,The mean compaction of the cores was 12.1 cm with a standard deviation of 6.6 cm,0.46,disintegrationsPerMinutePerGram
