heirarchy,attribute_name_v1p2,action,attribute_name,reason,required,conditional_on,conditional_variables,conditional_on_absence,definition,data_type,format_unit_codes,data_category,parent_data_category,quality_class,uncontrolled,manager_notes
depthseries,c14_material,,c14_material,,conditional,c14_age,,,Description of the material selected for radiocarbon (14C) dating.,character,,c14,age_depth,2,,
depthseries,c14_notes,,c14_notes,,optional,,,,Any relevant submitter generated notes on_14C dating process.,character,,c14,age_depth,,,
depthseries,delta_c13,,delta_c13,,optional,,,,The isotopic signature of_13C. This is oftentimes measured along with c14_age and can be useful for analyzing carbon lability and provenance.,numeric,partsPerMillion,c14,age_depth,2,,
depthseries,delta_C13,rename,delta_c13,correction,optional,,,,The isotopic signature of_13C. This is oftentimes measured along with c14_age and can be useful for analyzing carbon lability and provenance.,numeric,partsPerMillion,c14,age_depth,,,
depthseries,be7_activity,,be7_activity,,optional,,,,Radioactivity counts per unit dry weight for_7Be.,numeric,becquerelPerKilogram,be7,age_depth,2,,
depthseries,be7_activity_sd,rename,be7_activity_se,rename sd se throughout,optional,,,,Estimated uncertainty in be_7_activity.,numeric,becquerelPerKilogram,be7,age_depth,1,,
depthseries,be7_activity_se,,be7_activity_se,,optional,,,,Estimated uncertainty in be_7_activity.,numeric,becquerelPerKilogram,be7,age_depth,1,,
depthseries,be7_unit,,be7_unit,,conditional,be7_activity,,,Reported unit for sample interval's Be 7 activity measurements,,,,,,1,
depthseries,am241_activity,deletion,NA,attribute present in one or fewer datasets,,,,,Radioactivity counts per unit dry weight for_241Am.,numeric,becquerelPerKilogram,am241,age_depth,2,,
depthseries,am241_activity_sd,deletion,NA,attribute present in one or fewer datasets,,,,,Estimated uncertainty in am_241_activity.,numeric,becquerelPerKilogram,am241,age_depth,1,,
depthseries,am241_activity_se,deletion,NA,attribute present in one or fewer datasets,,,,,Estimated uncertainty in am_241_activity.,numeric,becquerelPerKilogram,am241,age_depth,1,,
depthseries,am241_unit,deletion,NA,attribute present in one or fewer datasets,,,,,Reported unit for sample interval's Am 241 activity measurements,,,,,,1,
depthseries,th234_activity,deletion,NA,attribute present in one or fewer datasets,,,,,Radioactivity counts per unit dry weight for 234 Th,,,,,,1,
depthseries,th234_activity_sd,deletion,NA,attribute present in one or fewer datasets,,,,,Estimated uncertainty in th234_activity.,,,,,,1,
depthseries,th234_activity_se,deletion,NA,attribute present in one or fewer datasets,,,,,Estimated uncertainty in th234_activity.,,,,,,1,
depthseries,th234_unit,deletion,NA,attribute present in one or fewer datasets,,,,,Reported unit for sample interval's 234 Th activity measurements,,,,,,1,
depthseries,pb212_activity,deletion,NA,attribute present in one or fewer datasets,,,,,Radioactivity counts per unit dry weight for 212 Pb,,,,,,1,
depthseries,pb212_activity_sd,deletion,NA,attribute present in one or fewer datasets,,,,,Estimated uncertainty in pb212_activity.,,,,,,1,
depthseries,pb212_activity_se,deletion,NA,attribute present in one or fewer datasets,,,,,Estimated uncertainty in pb212_activity.,,,,,,1,
depthseries,pb212_unit,deletion,NA,attribute present in one or fewer datasets,,,,,Reported unit for sample interval's 212 Pb activity measurements,,,,,,1,
depthseries,marker_date,,marker_date,,optional,,,,"The age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",Date,YYYY,other_dated_horizon,age_depth,2,,
depthseries,marker_date_sd,rename,marker_date_se,rename sd se throughout,optional,,,,"The standard deviation of the age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",Date,,,,,,
depthseries,marker_date_se,,marker_date_se,,optional,,,,"The standard error of the age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",Date,,,,,,
depthseries,marker_age,rename,marker_date,correction,optional,,,,"The age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",Date,YYYY,other_dated_horizon,age_depth,2,,
depthseries,marker_age_sd,rename,marker_date_se,correction,optional,,,,"The standard deviation of the age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",Date,,,,,,
depthseries,marker_type,,marker_type,,conditional,marker_date,,,Code indicating the type of marker.,factor,"artificial horizon = Horizon was added to the surface artificially by using materials such as feldspar, glitter, or rare earth elements. pollen = Pollen analysis was used to tie horizon to the timing of vegetation change such as the arrival of invasives, or the beginning of local agriculture. pollution = Chemical analysis was used to tie the horizon to the timing of a pollution event. tsunami = Sediment analysis was used to tie the horizon to the timing of a tsunami event.",other_dated_horizon,age_depth,,,
depthseries,marker_notes,,marker_notes,,optional,,,,Any other submitter generated notes about the origin of the marker.,character,,other_dated_horizon,age_depth,,,
depthseries,age,,age,,optional,,,,"Most likely, median, or mean age of the depth interval from submitter generated age depth model.",numeric,year,age_depth_model,age_depth,2,,
depthseries,age_min,,age_min,,optional,,,,Minimum age of the depth interval from submitter generated age depth model.,numeric,year,age_depth_model,age_depth,2,,
depthseries,age_max,,age_max,,optional,,,,Maximum age of the depth interval from submitter generated age depth model.,numeric,year,age_depth_model,age_depth,2,,
depthseries,age_sd,rename,age_se,rename sd se throughout,optional,,,,Standard deviation of age estimate from submitter generated age depth model.,numeric,year,age_depth_model,age_depth,1,,
depthseries,age_se,,age_se,,optional,,,,Standard error of age estimate from submitter generated age depth model.,numeric,year,age_depth_model,age_depth,1,,
depthseries,depth_interval_notes,,depth_interval_notes,,optional,,,,Any other submitter generated notes specific to the depth interval.,character,,,,,,
depthseries,dating_interval_notes,rename,depth_interval_notes,correction,optional,,,,Any other submitter generated notes specific to the depth interval.,character,,,,,,
species,study_id,,study_id,,optional,,,,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",character,,,,,,
species,site_id,,site_id,,optional,,,,Site identification code unique to each study.,character,,,,,,
species,core_id,,core_id,,optional,,,,Core identification code unique to each site.,character,,,,,,
species,species_code,,species_code,,optional,,,,Code associated with a species or a vegetation assemblage.,character,,,,,,
species,NA,addition,code_type,add flexibility,conditional,species_code,,,"Defines whether the code refers to a description, or level of plant taxonomy.",factor,description = cover description not related to plant taxonomy; Family = refers to taxonomic family without indicating a genus or species; Genus = refers to a taxonomic genus without indicating a species; Genus species = Refers to taxonomic Genus and species,,,,,
species,NA,addition,habitat,add functionality,optional,,,,"Defines whether the code refers to a description, or level of plant taxonomy.",factor,"mangrove = tropical and dominated by specialized shrubs or trees; swamp = predominantly freshwater and dominated by trees; scrub/shrub = wetland dominated by shrubs; marsh = wetland dominated by emergent vegetation, gramminoids or forbs; seagrass = intertidal to subtidal and dominated by specialized predominantly submerged grasses; algal mat = dominated by algae; unvegetated = unvegetated",,,,,
species,count,deletion,NA,not used,NA,,,,Frequency of each species at the given site/plot,numeric,,,,,,
impacts,study_id,,study_id,,optional,,,,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",character,,,,,,
impacts,site_id,,site_id,,optional,,,,Site identification code unique to each study.,character,,,,,,
impacts,core_id,,core_id,,optional,,,,Core identification code unique to each site.,character,,,,,,
impacts,impact_class,,impacts,,optional,,,,Code indicating any major anthropogenic impacts historically and currently affecting the coring location.,factor,"tidally restricted = Tidal flow is muted or blocked by built structures. impounded = Water level is raised artificially by a tidal restriction, resulting in ponding of water on the wetland and or upland surface. managed impounded = Wetland is impounded seasonally, and other times natural or semi natural hydrology occurs. ditched = Tidal hydrology is altered because artificial ditches have been cut to promote tidal flooding and drainage. diked and drained = The wetland has been diked and drained, with or without flapper gates, pumping, or other means. farmed = Managed impoundment or drainage in which wetland has been converted to agricultural land. tidally restored = Tidal flow has been restored by removing an artificial obstruction. revegetated = Wetland vegetation has been reintroduced by replanting on unvegetated surfaces. invasive plants removed = Natural plant communities have been restored by the active removal of invasive plant species. invasive herbivores removed = Tidal wetland vegetation has been managed by the removal of invasive herbivores. sediment added = Elevation has been managed by artificially adding sediment to the site using techniques such as thin layering or sediment diversion. wetlands built = Constructed wetland using sediments such as dredge spoils or other sediment source.",,,,,
species_definitions,study_id,deletion,NA,not used,,,,,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",character,,,,,,
species_definitions,species_code,deletion,NA,not used,,,,,Code associated with a species or a vegetation assemblage.,character,,,,,,
species_definitions,genus,deletion,NA,not used,,,,,Genus according to the most up to date classification.,character,,,,,,
species_definitions,species,deletion,NA,not used,,,,,Species according to the most up to date classification.,character,,,,,,
species_definitions,sub_species,deletion,NA,not used,,,,,Any nomenclature referring to subspecies special cases.,character,,,,,,
species_definitions,hybrid,deletion,NA,not used,,,,,Any nomenclature referring to special cases of hybridization.,character,,,,,,
species_definitions,common_name,deletion,NA,not used,,,,,"Common name associated with the species, especially if it is referred to in any accompanying text.",character,,,,,,
species_definitions,species_notes,deletion,NA,not used,,,,,Any other submitter defined notes regarding the species.,character,,,,,,
