"[ID, identification; cm, centimeter; N, number of times a single sample was run;  _m, micron; %, percent; _, phi particle size scale, mm; millimeters; g, gram; QA, quality assurance; QC, quality control;  T, QA guidelines were not met by the lab, if no concentration is reported, then the QC problem was judged to be severve enough to invalidate the results, if a concentration is reported it is to be used with discretion; D, there was insufficient material for analysis; 0, passed QA/QC inspection; nem, not enough material]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE ID,DEPTH (cm),"SEDIMENT TEXTURE (Folk, 1954)",NUMBER OF RUNS (N),"MEAN GRAIN SIZE  (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SORTING (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SKEWNESS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","KURTOSIS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","MEAN GRAIN SIZE  (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SORTING (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SKEWNESS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","KURTOSIS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","MEAN GRAIN SIZE (Folk and Ward, Descriptive)","SORTING (Folk and Ward, Descriptive)","SKEWNESS (Folk and Ward, Descriptive)","KURTOSIS (Folk and Ward, Descriptive)","D10  (µm)",STANDARD DEVIATION D10 (µm),"D50  (µm)",STANDARD DEVIATION D50  (µm),"D90  (µm)",STANDARD DEVIATION D90  (µm),% SAND,STANDARD DEVIATION (%),% MUD,STANDARD DEVIATION (%),% VERY COARSE SAND,% COARSE SAND,% MEDIUM SAND,% FINE SAND,% VERY FINE SAND,% VERY COARSE SILT,% COARSE SILT,% MEDIUM SILT,% FINE SILT,% VERY FINE SILT,% CLAY,Coarse Flag > 1mm (g),QA/QC Flag,
15BIM09-DA181SfrDA180,Surface Sample,Sand,N=6,275.45,0.34,1.287,0.001,-0.017,0.003,0.953,0.004,1.860,0.002,0.364,0.001,0.017,0.003,0.953,0.004,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,198.34,0.28,276.26,0.40,381.30,0.49,100.0%,0.0%,0.0%,0.0%,0.0%,0.3%,64.5%,35.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
 15BIM09-DA182S ,Surface Sample,Sand,N=6,360.93,0.32,1.351,0.002,0.038,0.003,0.967,0.004,1.470,0.001,0.434,0.002,-0.038,0.003,0.967,0.004,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,246.91,0.43,358.88,0.36,536.60,1.03,100.0%,0.0%,0.0%,0.0%,0.0%,14.6%,74.5%,10.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA183G,Surface Sample,Sand,N=8,368.81,2.46,1.476,0.003,-0.025,0.003,1.031,0.005,1.439,0.010,0.562,0.003,0.025,0.003,1.031,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,223.06,2.26,369.54,2.40,603.44,3.16,98.3%,0.1%,1.7%,0.1%,0.2%,21.3%,62.7%,13.6%,0.5%,0.2%,0.3%,0.4%,0.3%,0.2%,0.4%,0.000,0,
15BIM09-DA184G,Surface Sample,Sand,N=8,292.01,2.08,1.461,0.002,0.021,0.009,1.073,0.013,1.776,0.010,0.547,0.002,-0.021,0.009,1.073,0.013,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,181.77,1.66,290.03,1.78,475.78,6.04,97.9%,0.3%,2.1%,0.3%,0.0%,8.2%,57.8%,30.9%,0.9%,0.3%,0.3%,0.3%,0.3%,0.3%,0.7%,0.000,0,
15BIM09-DA185G,Surface Sample,Sand,N=8,267.23,2.05,1.476,0.009,0.022,0.007,1.105,0.021,1.904,0.011,0.562,0.008,-0.022,0.007,1.105,0.021,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,164.86,2.40,265.45,2.04,441.61,2.21,97.6%,0.4%,2.4%,0.4%,0.1%,6.1%,50.4%,39.6%,1.5%,0.3%,0.3%,0.3%,0.4%,0.4%,0.8%,0.000,0,
15BIM09-DA186G,Surface Sample,Sand,N=8,260.01,0.39,1.645,0.036,-0.168,0.022,1.548,0.101,1.943,0.002,0.718,0.032,0.168,0.022,1.548,0.101,Medium Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,150.88,0.73,260.91,0.37,433.62,2.71,95.1%,0.1%,4.9%,0.1%,0.1%,5.3%,49.0%,38.9%,1.8%,0.6%,0.7%,0.8%,0.8%,0.7%,1.3%,0.000,0,
15BIM09-DA187G,Surface Sample,Sandy Mud,N=8,20.99,0.24,7.182,0.209,-0.081,0.016,0.730,0.003,5.575,0.016,2.844,0.042,0.081,0.016,0.730,0.003,Coarse Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.33,0.03,22.43,0.53,217.42,7.39,36.0%,0.2%,64.0%,0.2%,0.2%,2.1%,4.7%,19.1%,9.9%,9.3%,11.2%,11.4%,10.3%,7.8%,14.2%,0.000,0,
15BIM09-DA188G,Surface Sample,Muddy Sand/Sandy Mud,N=8,34.04,3.90,6.555,0.061,-0.385,0.067,0.765,0.018,4.886,0.166,2.713,0.014,0.385,0.067,0.765,0.018,0,0,0,0,1.67,0.10,55.50,11.60,233.94,9.64,48.22%,2.5%,51.8%,2.5%,0.0%,1.4%,6.4%,30.5%,9.9%,9.1%,9.7%,8.5%,7.5%,5.8%,11.3%,0.000,0,
15BIM09-DA189G,Surface Sample,Sandy Mud,N=8,10.10,0.75,7.049,0.256,0.144,0.007,0.993,0.008,6.633,0.107,2.816,0.052,-0.144,0.007,0.993,0.008,Medium Silt,Very Poorly Sorted,Coarse Skewed,Mesokurtic,1.01,0.02,9.05,0.43,173.78,26.36,17.8%,1.3%,82.2%,1.3%,0.0%,3.0%,4.8%,4.5%,5.6%,9.3%,12.5%,13.5%,14.7%,11.8%,20.5%,0.000,0,
15BIM09-DA190G,Surface Sample,Sand,N=8,497.77,0.79,1.451,0.003,-0.125,0.004,1.160,0.003,1.006,0.002,0.537,0.003,0.125,0.004,1.160,0.003,Medium Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,304.75,0.39,503.81,0.57,765.16,3.70,98.1%,0.0%,1.9%,0.0%,1.1%,49.8%,43.2%,3.6%,0.4%,0.3%,0.3%,0.3%,0.3%,0.2%,0.5%,0.014,0,
15BIM09-DA191G,Surface Sample,Sand,N=8,430.10,0.80,1.605,0.004,-0.245,0.004,1.352,0.008,1.217,0.003,0.683,0.004,0.245,0.004,1.352,0.008,Medium Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,213.40,1.06,448.05,0.63,705.18,2.90,97.1%,0.1%,2.9%,0.1%,0.8%,37.5%,48.6%,8.7%,1.5%,0.5%,0.4%,0.4%,0.5%,0.4%,0.7%,0.000,0,
15BIM09-DA192GfrDA191,Surface Sample,Sand,N=8,408.33,0.65,1.672,0.003,-0.288,0.005,1.394,0.011,1.292,0.002,0.742,0.002,0.288,0.005,1.394,0.011,Medium Sand,Moderately Sorted,Fine Skewed,Leptokurtic,187.66,0.46,433.00,0.80,688.93,1.92,96.5%,0.0%,3.5%,0.0%,0.6%,34.6%,49.1%,10.3%,1.9%,0.6%,0.5%,0.6%,0.6%,0.4%,0.8%,0.000,0,
15BIM09-DA193G,Surface Sample,Sand,N=8,447.07,5.06,1.672,0.045,-0.293,0.024,1.632,0.076,1.162,0.016,0.741,0.038,0.293,0.024,1.632,0.076,Medium Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,206.54,15.24,464.35,2.51,726.72,3.62,96.3%,0.5%,3.7%,0.5%,1.0%,40.9%,45.7%,6.6%,2.1%,0.6%,0.6%,0.6%,0.6%,0.5%,0.9%,0.000,0,
15BIM09-DA194G,Surface Sample,Mud,N=8,4.40,0.05,3.879,0.047,0.080,0.015,0.883,0.006,7.830,0.018,1.956,0.018,-0.080,0.015,0.883,0.006,Fine Silt,Poorly Sorted,Symmetrical,Platykurtic,0.85,0.00,4.27,0.11,30.20,1.12,3.7%,0.4%,96.3%,0.4%,0.0%,0.0%,0.4%,1.3%,2.0%,6.0%,9.3%,14.8%,18.6%,17.0%,30.7%,0.000,0,
15BIM09-DA195G,Surface Sample,Muddy Sand,N=8,222.95,2.11,2.706,0.043,-0.507,0.007,3.566,0.008,2.165,0.014,1.436,0.023,0.507,0.007,3.566,0.008,Fine Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,15.73,2.22,242.46,0.97,385.94,1.13,87.5%,0.4%,12.5%,0.4%,0.0%,2.6%,44.3%,37.8%,2.8%,1.2%,1.3%,2.0%,2.4%,1.9%,3.8%,0.000,0,
15BIM09-DA196G,Surface Sample,Mud/Sandy Mud,N=8,5.63,0.60,5.286,0.702,0.156,0.041,0.991,0.060,7.480,0.155,2.389,0.193,-0.156,0.041,0.991,0.060,Fine Silt,Very Poorly Sorted,Coarse Skewed,Mesokurtic,0.86,0.01,5.23,0.37,67.86,26.85,9.3%,2.5%,90.7%,2.5%,0.0%,0.5%,3.4%,2.6%,2.8%,6.4%,9.9%,14.1%,17.2%,14.7%,28.3%,0.000,0,
15BIM09-DA197S,Surface Sample,Sand,N=6,315.57,0.82,1.281,0.001,0.001,0.001,0.938,0.001,1.664,0.004,0.357,0.002,-0.001,0.001,0.938,0.001,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,228.64,0.26,315.18,0.80,433.88,2.13,100.0%,0.0%,0.0%,0.0%,0.0%,2.6%,79.1%,18.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA198S,Surface Sample,Sand,N=6,382.45,0.86,1.335,0.001,0.025,0.002,0.959,0.002,1.387,0.003,0.417,0.001,-0.025,0.002,0.959,0.002,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,264.99,0.55,381.27,0.87,559.42,1.65,100.0%,0.0%,0.0%,0.0%,0.0%,18.5%,75.0%,6.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA199S,Surface Sample,Sand,N=6,350.94,0.63,1.360,0.003,0.024,0.004,0.975,0.003,1.511,0.003,0.444,0.003,-0.024,0.004,0.975,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,237.51,0.78,349.66,0.63,524.28,2.03,100.0%,0.0%,0.0%,0.0%,0.0%,13.0%,73.5%,13.2%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA200S,Surface Sample,Sand,N=6,359.83,0.32,1.363,0.002,0.025,0.004,0.976,0.003,1.475,0.001,0.447,0.002,-0.025,0.004,0.976,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,243.11,0.14,358.35,0.30,539.78,1.68,100.0%,0.0%,0.0%,0.0%,0.0%,14.9%,73.2%,11.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA201S,Surface Sample,Sand,N=6,359.01,5.06,1.376,0.008,0.059,0.005,0.976,0.003,1.478,0.020,0.460,0.008,-0.059,0.005,0.976,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,241.42,2.05,355.74,4.76,549.68,12.10,100.0%,0.0%,0.0%,0.0%,0.0%,15.6%,71.9%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA202G,Surface Sample,Sand,N=8,343.56,0.34,1.410,0.003,0.062,0.005,1.011,0.007,1.541,0.001,0.495,0.003,-0.062,0.005,1.011,0.007,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,224.52,0.31,339.92,0.39,543.56,1.97,100.0%,0.0%,0.0%,0.0%,0.2%,14.1%,68.1%,17.4%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA203GfrDA202,Surface Sample,Sand,N=8,333.53,0.96,1.421,0.002,0.061,0.004,1.014,0.004,1.584,0.004,0.507,0.002,-0.061,0.004,1.014,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,215.92,0.83,330.22,0.82,534.03,2.29,100.0%,0.0%,0.0%,0.0%,0.1%,13.1%,66.4%,20.2%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA204G,Surface Sample,Sand,N=8,224.12,1.21,2.459,0.042,-0.286,0.014,3.698,0.017,2.158,0.008,1.298,0.025,0.286,0.014,3.698,0.017,Fine Sand,Poorly Sorted,Fine Skewed,Extremely Leptokurtic,54.35,13.73,226.10,0.52,415.60,12.51,89.7%,0.4%,10.3%,0.4%,2.2%,5.2%,31.6%,48.6%,2.2%,1.2%,1.7%,1.9%,1.8%,1.4%,2.2%,0.000,0,
15BIM09-DA205G,Surface Sample,Sand,N=8,515.04,0.44,1.427,0.001,-0.082,0.002,1.069,0.002,0.957,0.001,0.513,0.001,0.082,0.002,1.069,0.002,Coarse Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,323.40,0.36,519.32,0.40,791.78,1.33,98.5%,0.0%,1.5%,0.0%,1.6%,52.7%,41.2%,2.7%,0.2%,0.2%,0.2%,0.3%,0.2%,0.2%,0.4%,0.000,0,
15BIM09-DA206G,Surface Sample,Sand,N=8,387.32,3.65,1.648,0.007,-0.219,0.007,1.123,0.011,1.368,0.014,0.721,0.006,0.219,0.007,1.123,0.011,Medium Sand,Moderately Sorted,Fine Skewed,Leptokurtic,187.37,2.76,409.21,3.04,675.79,4.90,97.7%,0.1%,2.3%,0.1%,0.5%,31.1%,49.9%,14.4%,1.7%,0.4%,0.4%,0.4%,0.3%,0.2%,0.5%,0.000,0,
15BIM09-DA207G,Surface Sample,Sand,N=8,379.90,4.13,1.805,0.010,-0.356,0.004,1.336,0.016,1.396,0.016,0.852,0.008,0.356,0.004,1.336,0.016,Medium Sand,Moderately Sorted,Very Fine Skewed,Leptokurtic,152.04,2.55,420.86,3.28,684.26,4.18,96.3%,0.0%,3.7%,0.0%,0.4%,33.4%,46.0%,12.8%,3.7%,0.8%,0.6%,0.6%,0.5%,0.4%,0.7%,0.000,0,
15BIM09-DA208G,Surface Sample,Sand,N=8,442.81,4.27,1.534,0.014,-0.187,0.014,1.206,0.017,1.175,0.014,0.618,0.013,0.187,0.014,1.206,0.017,Medium Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,246.16,5.86,454.77,3.24,710.52,4.80,97.0%,0.2%,3.0%,0.2%,0.4%,39.5%,49.7%,6.7%,0.6%,0.3%,0.4%,0.5%,0.5%,0.4%,0.9%,0.000,0,
15BIM09-DA209G,Surface Sample,Sand,N=8,503.73,1.30,1.495,0.002,-0.149,0.005,1.152,0.006,0.989,0.004,0.580,0.002,0.149,0.005,1.152,0.006,Coarse Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,292.25,0.66,513.93,1.37,798.39,3.85,98.3%,0.0%,1.7%,0.0%,1.9%,51.0%,40.3%,4.7%,0.4%,0.2%,0.3%,0.3%,0.3%,0.2%,0.5%,0.000,0,
15BIM09-DA210G,Surface Sample,Sand,N=8,477.28,3.32,1.492,0.002,-0.150,0.006,1.155,0.006,1.067,0.010,0.578,0.002,0.150,0.006,1.155,0.006,Medium Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,276.30,2.63,486.68,3.01,753.47,5.25,98.4%,0.1%,1.6%,0.1%,1.0%,46.0%,45.2%,5.7%,0.5%,0.2%,0.2%,0.3%,0.2%,0.2%,0.4%,0.015,0,
15BIM09-DA211G,Surface Sample,Sand,N=8,501.00,1.00,1.513,0.008,-0.165,0.005,1.194,0.006,0.997,0.003,0.597,0.008,0.165,0.005,1.194,0.006,Coarse Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,285.48,2.29,511.84,0.70,798.00,5.59,98.1%,0.1%,1.9%,0.1%,1.9%,50.5%,40.2%,4.9%,0.6%,0.3%,0.3%,0.3%,0.3%,0.2%,0.4%,0.023,0,
15BIM09-DA212G,Surface Sample,Sand,N=8,352.63,2.43,2.338,0.024,-0.436,0.003,1.825,0.006,1.504,0.010,1.225,0.015,0.436,0.003,1.825,0.006,Medium Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,121.18,2.03,394.29,2.78,697.82,2.71,93.2%,0.1%,6.8%,0.1%,0.8%,30.7%,42.9%,15.2%,3.5%,1.3%,1.2%,1.2%,1.1%,0.8%,1.2%,0.000,0,
15BIM09-DA213G,Surface Sample,Sand,N=8,469.86,1.78,1.470,0.002,-0.138,0.005,1.090,0.004,1.090,0.005,0.556,0.002,0.138,0.005,1.090,0.004,Medium Sand,Moderately Well Sorted,Fine Skewed,Mesokurtic,276.69,1.14,479.66,1.28,736.81,4.36,98.4%,0.1%,1.6%,0.1%,0.6%,44.7%,47.3%,5.4%,0.4%,0.2%,0.2%,0.2%,0.3%,0.2%,0.5%,0.008,0,
15BIM09-DA214GfrDA213,Surface Sample,Sand,N=8,469.91,1.13,1.464,0.004,-0.135,0.003,1.091,0.006,1.090,0.003,0.550,0.004,0.135,0.003,1.091,0.006,Medium Sand,Moderately Well Sorted,Fine Skewed,Mesokurtic,278.34,0.56,479.20,1.22,733.92,3.26,98.4%,0.2%,1.6%,0.2%,0.6%,44.6%,47.6%,5.2%,0.3%,0.2%,0.2%,0.2%,0.3%,0.3%,0.5%,0.000,0,
15BIM09-DA215G,Surface Sample,Sand,N=8,485.15,1.63,1.497,0.005,-0.140,0.011,1.124,0.011,1.044,0.005,0.582,0.005,0.140,0.011,1.124,0.011,Medium Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,278.34,2.67,495.37,1.05,773.96,4.81,98.2%,0.2%,1.8%,0.2%,1.5%,47.5%,43.6%,5.4%,0.3%,0.3%,0.3%,0.3%,0.3%,0.2%,0.4%,0.021,0,
15BIM09-DA216G,Surface Sample,Sand,N=8,455.32,0.99,1.470,0.002,-0.083,0.004,1.064,0.002,1.135,0.003,0.556,0.002,0.083,0.004,1.064,0.002,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,273.22,0.58,460.09,0.97,726.83,3.20,98.6%,0.1%,1.4%,0.1%,0.9%,40.3%,51.5%,5.6%,0.4%,0.2%,0.2%,0.2%,0.2%,0.2%,0.3%,0.014,0,
15BIM09-DA217S,Surface Sample,Sand,N=6,457.69,0.65,1.454,0.005,-0.046,0.005,1.073,0.008,1.128,0.002,0.540,0.005,0.046,0.005,1.073,0.008,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,281.93,0.96,458.52,0.59,727.55,3.65,98.5%,0.1%,1.5%,0.1%,1.0%,39.5%,53.1%,4.3%,0.7%,0.3%,0.3%,0.2%,0.1%,0.2%,0.3%,0.053,0,
15BIM09-DA218S,Surface Sample,Sand,N=6,475.10,17.84,1.778,0.280,-0.220,0.152,1.839,0.765,1.075,0.054,0.812,0.229,0.220,0.152,1.839,0.765,Medium Sand,Moderately Sorted,Very Fine Skewed,Very Leptokurtic,258.02,33.40,482.81,12.91,781.71,25.10,95.9%,2.1%,4.1%,2.1%,2.1%,44.2%,44.8%,4.0%,0.8%,0.7%,0.7%,0.5%,0.6%,0.6%,0.9%,0.129,0,
15BIM09-DA219S,Surface Sample,Sand,N=6,420.90,0.56,1.458,0.003,-0.055,0.005,1.097,0.004,1.248,0.002,0.544,0.003,0.055,0.005,1.097,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,258.54,0.22,421.91,0.45,668.01,2.99,98.0%,0.0%,2.0%,0.0%,0.5%,31.3%,59.4%,6.0%,0.8%,0.5%,0.4%,0.3%,0.2%,0.2%,0.3%,0.000,0,
15BIM09-DA220S,Surface Sample,Sand,N=6,379.85,0.84,1.352,0.001,-0.006,0.002,0.976,0.002,1.397,0.003,0.435,0.001,0.006,0.002,0.976,0.002,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,257.14,0.51,380.07,0.81,560.65,1.79,100.0%,0.0%,0.0%,0.0%,0.0%,18.7%,73.0%,8.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA221G,Surface Sample,Sand,N=8,256.50,2.37,1.465,0.003,0.037,0.005,1.084,0.005,1.963,0.013,0.551,0.003,-0.037,0.005,1.084,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,159.82,1.23,254.61,2.21,420.78,4.75,98.3%,0.0%,1.7%,0.0%,0.1%,5.0%,46.9%,44.4%,1.9%,0.3%,0.2%,0.2%,0.2%,0.2%,0.6%,0.000,0,
15BIM09-DA222G,Surface Sample,Sand,N=8,326.30,2.20,1.481,0.004,0.042,0.007,1.053,0.005,1.616,0.010,0.567,0.004,-0.042,0.007,1.053,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,200.30,1.33,322.47,1.77,546.91,6.10,97.9%,0.2%,2.1%,0.2%,0.3%,13.8%,61.3%,21.9%,0.6%,0.2%,0.3%,0.3%,0.3%,0.3%,0.7%,0.000,0,
15BIM09-DA223G,Surface Sample,Sandy Mud,N=8,14.13,2.92,5.495,0.513,-0.084,0.026,0.925,0.018,6.176,0.302,2.452,0.135,0.084,0.026,0.925,0.018,Coarse Silt,Very Poorly Sorted,Symmetrical,Mesokurtic,1.32,0.09,15.42,2.25,124.91,36.81,18.88%,5.0%,81.1%,5.0%,0.0%,0.7%,1.2%,8.7%,8.3%,13.9%,16.5%,14.7%,12.3%,9.0%,14.6%,0.000,T,
15BIM09-DA224GfrDA225(L)&( R),Surface Sample,Sandy Mud,N=8,20.92,0.51,6.635,0.036,-0.116,0.026,0.740,0.002,5.579,0.035,2.730,0.008,0.116,0.026,0.740,0.002,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.41,0.01,23.19,1.37,192.80,1.64,35.1%,0.9%,64.9%,0.9%,0.2%,2.0%,2.8%,18.1%,12.1%,10.4%,11.5%,11.2%,10.5%,8.0%,13.4%,0.000,0,
15BIM09-DA225G(L)frDA225( R),Surface Sample,Muddy Sand,N=8,48.09,4.45,5.963,0.219,-0.592,0.031,0.920,0.061,4.384,0.134,2.575,0.053,0.592,0.031,0.920,0.061,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.34,0.30,101.77,11.37,237.87,2.40,58.05%,3.1%,41.9%,3.1%,0.2%,3.2%,5.2%,34.6%,14.8%,7.1%,7.9%,7.3%,6.1%,4.6%,9.0%,0.000,0,
15BIM09-DA225G( R),Surface Sample,Sandy Mud,N=8,26.36,2.69,6.625,0.083,-0.246,0.057,0.751,0.013,5.253,0.148,2.728,0.018,0.246,0.057,0.751,0.013,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.52,0.08,35.59,6.54,209.73,6.81,42.3%,3.0%,57.7%,3.0%,0.3%,1.8%,3.8%,23.7%,12.7%,9.3%,10.5%,10.0%,8.8%,6.7%,12.4%,0.045,0,
15BIM09-DA226G,Surface Sample,Sandy Mud,N=8,21.10,2.65,6.495,0.118,-0.174,0.064,0.763,0.018,5.578,0.181,2.699,0.026,0.174,0.064,0.763,0.018,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.35,0.09,25.59,5.21,181.55,7.28,34.28%,4.4%,65.7%,4.4%,0.1%,0.5%,2.2%,19.1%,12.4%,11.6%,12.5%,11.0%,9.5%,7.2%,13.9%,0.000,0,
15BIM09-DA227G,Surface Sample,Sandy Mud,N=8,20.69,1.75,6.511,0.022,-0.128,0.028,0.750,0.020,5.600,0.123,2.703,0.005,0.128,0.028,0.750,0.020,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.41,0.07,23.26,2.74,186.93,7.25,33.3%,3.0%,66.7%,3.0%,0.1%,1.1%,2.7%,18.0%,11.4%,11.5%,12.3%,11.1%,10.4%,8.0%,13.5%,0.000,0,
15BIM09-DA228G,Surface Sample,Muddy Sand/Sandy Mud,N=8,32.04,7.73,7.273,0.333,-0.397,0.177,0.704,0.047,5.007,0.355,2.861,0.066,0.397,0.177,0.704,0.047,Coarse Silt,Very Poorly Sorted,Fine Skewed,Very Platykurtic,1.51,0.17,61.99,28.93,251.18,7.10,49.17%,5.9%,50.8%,5.9%,0.0%,0.7%,9.5%,26.9%,12.0%,7.2%,7.2%,7.2%,8.1%,8.0%,13.2%,0.000,T,
15BIM09-DA229G,Surface Sample,Sand,N=8,284.18,2.26,1.584,0.016,-0.065,0.017,1.111,0.032,1.815,0.011,0.663,0.014,0.065,0.017,1.111,0.032,Medium Sand,Moderately Well Sorted,Symmetrical,Leptokurtic,157.90,2.33,285.54,1.86,496.51,2.97,96.6%,0.4%,3.4%,0.4%,0.0%,9.7%,52.3%,32.5%,2.0%,0.5%,0.4%,0.5%,0.5%,0.5%,1.1%,0.000,0,
15BIM09-DA230G,Surface Sample,Muddy Sand/Sand,N=8,264.36,55.27,3.285,0.714,-0.527,0.081,2.167,0.039,1.952,0.306,1.681,0.319,0.527,0.081,2.167,0.039,Medium Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,56.63,46.36,327.05,26.26,611.05,28.79,87.89%,4.1%,12.1%,4.1%,0.3%,20.5%,43.9%,19.0%,4.2%,1.9%,1.7%,1.8%,1.9%,1.7%,3.1%,0.000,T,
15BIM09-DA231G,Surface Sample,Sand,N=8,422.07,1.67,1.503,0.005,-0.043,0.005,1.028,0.004,1.244,0.006,0.588,0.004,0.043,0.005,1.028,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,247.71,0.28,424.25,1.33,703.03,6.50,99.1%,0.0%,0.9%,0.0%,0.8%,33.3%,55.5%,9.0%,0.5%,0.1%,0.1%,0.1%,0.1%,0.1%,0.3%,0.014,0,
15BIM09-DA232S,Surface Sample,Sand,N=6,463.11,1.02,1.332,0.001,-0.034,0.002,0.980,0.002,1.111,0.003,0.414,0.001,0.034,0.002,0.980,0.002,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,318.18,1.03,465.09,0.99,666.11,1.51,100.0%,0.0%,0.0%,0.0%,0.0%,40.3%,57.6%,2.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA233S,Surface Sample,Sand,N=6,433.22,5.16,1.646,0.098,-0.206,0.054,1.554,0.275,1.207,0.017,0.717,0.086,0.206,0.054,1.554,0.275,Medium Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,241.48,3.49,439.30,5.28,711.60,15.64,96.0%,0.6%,4.0%,0.6%,1.1%,35.4%,52.7%,5.9%,0.9%,0.9%,0.8%,0.6%,0.5%,0.4%,0.9%,0.170,0,
15BIM09-DA234S,Surface Sample,Sand,N=3,441.75,1.17,1.353,0.001,-0.028,0.002,0.986,0.002,1.179,0.004,0.436,0.001,0.028,0.002,0.986,0.002,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,297.66,0.68,442.78,1.24,647.70,1.95,99.5%,0.0%,0.5%,0.0%,0.0%,34.6%,61.7%,3.0%,0.3%,0.1%,0.0%,0.0%,0.0%,0.1%,0.2%,0.000,0,
15BIM09-DA235S,Surface Sample,Sand,N=6,392.04,1.35,1.392,0.002,-0.012,0.002,0.996,0.002,1.351,0.005,0.477,0.002,0.012,0.002,0.996,0.002,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,255.23,1.28,392.56,1.38,598.84,1.39,100.0%,0.0%,0.0%,0.0%,0.0%,23.2%,67.8%,8.7%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
