study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Costa_et_al_2023,PanamaPacific-LP II,PanamaPacific-LP II-1,2017,9,16,8.52024,-79.043952,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-LP II,PanamaPacific-LP II-2,2017,9,16,8.52024,-79.043952,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-LP MM,PanamaPacific-LP MM-1,2017,9,17,8.569326,-79.020434,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-LP IX,PanamaPacific-LP IX-1,2017,9,17,8.508646,-79.032638,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-LP I,PanamaPacific-LP I-1,2017,9,18,8.388987,-78.850368,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-LP I,PanamaPacific-LP I-2,2017,9,18,8.388987,-78.850368,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-LP V,PanamaPacific-LP V-1,2017,9,18,8.384288,-78.856239,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-LP V,PanamaPacific-LP V-2,2017,9,18,8.384288,-78.856239,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-LP BA,PanamaPacific-LP BA-1,2017,9,19,8.492014,-79.058637,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-LP BA,PanamaPacific-LP BA-2,2017,9,19,8.492014,-79.058637,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-VE RN,PanamaPacific-VE RN-1,2017,9,23,7.850317,-81.577513,handheld,polyhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-VE RN,PanamaPacific-VE RN-2,2017,9,23,7.850317,-81.577513,handheld,polyhaline,field observation,forested,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-VE LI,PanamaPacific-VE LI-1,2017,9,24,7.767689,-81.574967,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-VE LI,PanamaPacific-VE LI-2,2017,9,24,7.767689,-81.574967,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-VE I,PanamaPacific-VE I-1,2017,9,25,7.902698,-81.20336,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-VE V,PanamaPacific-VE V-1,2017,9,25,7.865241,-81.17739,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-VE II,PanamaPacific-VE II-1,2017,9,26,7.855364,-81.098322,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth limited by length of corer
Costa_et_al_2023,PanamaPacific-VE VII,PanamaPacific-VE VII-1,2017,9,27,7.747559,-81.189785,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
