study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,delta_c13
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,4,6,NA,1.39,0.05,0.1,0.03,disintegrationsPerMinutePerGram,0,0.11,1.22,0.1,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,6,8,NA,1.2,0.1,NA,NA,NA,0,0.15,2.03,0.15,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,8,10,NA,0.79,0.22,0.26,0.04,disintegrationsPerMinutePerGram,1.62,0.28,3.98,0.28,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,10,12,NA,0.86,0.19,NA,NA,NA,2,0.3,4.36,0.3,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,12,14,NA,0.82,0.23,NA,NA,NA,1.86,0.3,4.22,0.3,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,14,16,NA,0.88,0.15,NA,NA,NA,1.42,0.27,3.78,0.27,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,16,18,NA,0.92,0.17,0.2,0.04,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,18,20,NA,1.2,0.09,0.16,0.04,disintegrationsPerMinutePerGram,3.55,0.4,5.91,0.4,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,20,22,NA,0.95,0.16,0.31,0.04,disintegrationsPerMinutePerGram,0,0.17,2.33,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,22,24,NA,0.86,0.22,NA,NA,NA,0.26,0.19,2.61,0.19,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,24,26,NA,0.75,0.23,NA,NA,NA,1.68,0.28,4.04,0.28,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,26,28,NA,0.66,0.25,NA,NA,NA,1.75,0.3,4.11,0.3,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,28,30,NA,0.75,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,30,32,NA,0.59,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,32,34,NA,0.56,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,34,36,NA,0.52,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,36,38,NA,0.61,0.35,NA,NA,NA,0,0.02,-0.01,0,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,38,40,NA,0.62,0.31,NA,NA,NA,0,0.19,2.35,0.19,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,40,42,NA,0.87,0.21,NA,NA,NA,0,0.17,2.17,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,42,44,NA,1.15,0.16,NA,NA,NA,0.2,0.21,2.55,0.21,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,44,46,NA,0.6,NA,NA,NA,NA,0,0.02,-0.01,0,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,46,48,NA,0.36,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,48,50,NA,0.36,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,30,32,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,32,34,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,34,36,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,36,38,NA,0.76,NA,NA,NA,NA,0,0.02,-0.01,0,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,38,40,NA,0.66,NA,NA,NA,NA,0,0.19,2.35,0.19,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,40,42,NA,0.57,0.18,NA,NA,NA,0,0.17,2.17,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,42,44,NA,0.74,0.29,NA,NA,NA,0.2,0.21,2.55,0.21,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,44,46,NA,1.07,0.37,NA,NA,NA,0,0.02,-0.01,0,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,46,48,NA,0.62,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,48,50,NA,0.53,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,50,52,NA,0.5,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,52,54,NA,0.53,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,54,56,NA,0.48,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,56,58,NA,0.5,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,58,60,NA,0.47,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,60,62,NA,0.74,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,62,64,NA,1.15,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,64,66,NA,1.53,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,66,68,NA,1.39,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,68,70,NA,1.53,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,70,72,NA,1.46,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,72,74,NA,1.42,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,74,76,NA,2.06,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,76,78,NA,2.33,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,78,80,NA,2.66,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,80,82,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,82,84,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,84,86,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,86,88,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,88,90,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,0,2,NA,0.34,0.22,0.38,0.05,disintegrationsPerMinutePerGram,6.83,0.48,7.14,0.48,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,2,4,NA,0.35,0.3,NA,NA,NA,9.09,0.62,9.4,0.62,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,4,6,NA,0.35,0.39,0.81,0.08,disintegrationsPerMinutePerGram,9.17,0.63,9.48,0.63,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,6,8,NA,0.39,0.39,NA,NA,NA,8.37,0.58,8.68,0.58,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,8,10,NA,0.35,0.44,5.47,0.14,disintegrationsPerMinutePerGram,6.1,0.45,6.41,0.45,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,10,12,NA,0.41,0.37,NA,NA,NA,5.52,0.4,5.83,0.4,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,12,14,NA,0.46,0.33,NA,NA,NA,5.32,0.39,5.63,0.39,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,14,16,NA,0.54,0.27,NA,NA,NA,4.69,0.35,5,0.35,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,16,18,NA,1.08,0.14,0.14,0.05,disintegrationsPerMinutePerGram,1.39,0.17,1.7,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,18,20,NA,1.58,0.14,0.13,0.05,disintegrationsPerMinutePerGram,0.3,0.24,0.61,0.24,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,20,22,NA,1.48,0.1,0.18,0.04,disintegrationsPerMinutePerGram,0.18,0.11,0.49,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,22,24,NA,1.38,0.1,NA,NA,NA,0.13,0.92,0.44,0.92,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,24,26,NA,1.55,0.05,NA,NA,NA,0,0.18,0.27,0.18,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,26,28,NA,1.82,0.02,NA,NA,NA,0,0.14,0.21,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,28,30,NA,1.67,0.02,NA,NA,NA,0.07,0.16,0.38,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,30,32,NA,1.19,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,32,34,NA,0.95,0.02,NA,NA,NA,0,0.1,0.29,0.1,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,34,36,NA,0.86,0.03,NA,NA,NA,0.01,0.09,0.32,0.09,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,36,38,NA,1.06,0.03,NA,NA,NA,0,0.06,0.27,0.05,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,38,40,NA,0.97,0.03,NA,NA,NA,0,0.06,0.31,0.05,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,40,42,NA,0.87,0.03,NA,NA,NA,0.03,0.06,0.34,0.05,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,42,44,NA,0.77,0.03,NA,NA,NA,0,0.06,0.31,0.06,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,44,46,NA,0.86,0.03,NA,NA,NA,0,0.06,0.31,0.05,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,46,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_2,single set of methods,48,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,0,2,NA,0.2,0.61,NA,NA,NA,15.59,1.27,16.03,1.25,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,2,4,NA,0.25,0.53,NA,NA,NA,17.67,1.18,18.1,1.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,4,6,NA,0.25,0.54,0.47,0.1,disintegrationsPerMinutePerGram,12.91,0.88,13.34,0.86,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,6,8,NA,0.16,0.57,NA,NA,NA,10.31,0.73,10.74,0.7,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,8,10,NA,0.16,0.67,1.08,0.09,disintegrationsPerMinutePerGram,8.62,0.65,9.05,0.62,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,10,12,NA,0.14,0.71,NA,NA,NA,7.72,0.58,8.15,0.54,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,12,14,NA,0.18,0.64,NA,NA,NA,6.24,0.53,6.67,0.49,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,14,16,NA,0.22,0.63,NA,NA,NA,7.14,0.55,7.57,0.51,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,16,18,NA,0.28,0.65,2.08,0.15,disintegrationsPerMinutePerGram,6.18,0.48,6.62,0.43,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,18,20,NA,0.32,0.59,1.5,0.14,disintegrationsPerMinutePerGram,5.55,0.44,5.98,0.4,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,20,22,NA,0.3,0.6,NA,NA,NA,4.48,0.41,4.91,0.36,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,22,24,NA,0.33,0.64,0.5,0.12,disintegrationsPerMinutePerGram,3.99,0.37,4.43,0.3,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,24,26,NA,0.3,0.68,NA,NA,NA,3.5,0.35,3.93,0.28,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,26,28,NA,0.35,0.68,NA,NA,NA,2.47,0.3,2.91,0.22,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,28,30,NA,0.35,0.74,NA,NA,NA,3.71,0.79,4.14,0.76,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,30,32,NA,0.28,0.64,NA,NA,NA,0.83,0.25,1.26,0.15,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,32,34,NA,0.3,0.63,NA,NA,NA,0.73,0.22,1.16,0.1,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,34,36,NA,0.37,0.61,NA,NA,NA,0.42,0.22,0.86,0.1,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,36,38,NA,0.38,0.68,NA,NA,NA,0.1,0.41,0.54,0.35,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,38,40,NA,0.31,0.69,NA,NA,NA,0.06,0.26,0.49,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,40,42,NA,0.3,0.66,NA,NA,NA,0,0.38,0.32,0.32,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,42,44,NA,0.3,0.67,NA,NA,NA,0,0.66,0.24,0.63,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,44,46,NA,0.29,0.63,NA,NA,NA,0,0.32,0.26,0.25,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,46,48,NA,0.36,0.56,NA,NA,NA,0,0.5,0.41,0.46,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,48,50,NA,0.35,0.49,NA,NA,NA,0,0.41,0.33,0.35,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,40,42,NA,0.31,0.69,NA,NA,NA,0,0.38,0.32,0.32,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,42,44,NA,0.31,0.67,NA,NA,NA,0,0.66,0.24,0.63,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,44,46,NA,0.34,0.66,NA,NA,NA,0,0.32,0.26,0.25,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,46,48,NA,0.34,0.65,NA,NA,NA,0,0.5,0.41,0.46,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,48,50,NA,0.31,0.66,NA,NA,NA,0,0.41,0.33,0.35,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,50,52,NA,0.32,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,52,54,NA,0.35,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,54,56,NA,0.37,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,56,58,NA,0.36,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,58,60,NA,0.61,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,60,62,NA,0.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,62,64,NA,0.9,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,64,66,NA,1.24,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,66,68,NA,1.98,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,68,70,NA,2.53,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,70,72,NA,2.56,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,72,74,NA,2.74,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,74,76,NA,2.92,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,76,78,NA,3.04,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,78,80,NA,3.33,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,80,82,NA,3.32,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,82,84,NA,3.28,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,84,86,NA,3.05,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,86,88,NA,3.01,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-N,CSI-N_3,single set of methods,88,90,NA,3.14,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,0,2,NA,0.41,0.35,0.67,0.08,disintegrationsPerMinutePerGram,6.84,0.51,7.97,0.51,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,2,4,NA,0.53,0.35,NA,NA,NA,7.72,0.56,8.84,0.56,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,4,6,NA,0.52,0.35,0.7,0.05,disintegrationsPerMinutePerGram,7.81,0.57,8.93,0.57,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,6,8,NA,0.47,0.36,NA,NA,NA,7.5,0.57,8.62,0.57,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,8,10,NA,0.46,0.4,NA,NA,NA,6.58,0.51,7.71,0.51,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,10,12,NA,0.45,0.38,NA,NA,NA,6.33,0.5,7.46,0.5,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,12,14,NA,0.46,0.36,NA,NA,NA,5.79,0.46,6.92,0.46,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,14,16,NA,0.41,0.4,NA,NA,NA,5.68,0.45,6.81,0.45,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,16,18,NA,0.41,0.37,2.6,0.12,disintegrationsPerMinutePerGram,5.22,0.42,6.35,0.42,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,18,20,NA,0.34,0.36,NA,NA,NA,5.41,0.44,6.53,0.44,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,20,22,NA,0.45,0.34,2.98,0.07,disintegrationsPerMinutePerGram,4.98,0.41,6.11,0.41,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,22,24,NA,0.42,0.34,NA,NA,NA,3.75,0.35,4.87,0.35,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,24,26,NA,0.44,0.36,NA,NA,NA,2.71,0.29,3.83,0.29,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,26,28,NA,0.34,0.42,NA,NA,NA,2.32,0.26,3.45,0.26,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,28,30,NA,0.36,0.42,NA,NA,NA,1.79,0.23,2.91,0.22,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,30,32,NA,0.41,0.38,NA,NA,NA,1.76,0.22,2.89,0.22,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,32,34,NA,0.38,0.4,NA,NA,NA,1.2,0.19,2.32,0.19,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,34,36,NA,0.37,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,36,38,NA,0.43,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,38,40,NA,0.53,0.35,NA,NA,NA,0.05,0.14,1.17,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,40,42,NA,0.38,0.39,NA,NA,NA,0.15,0.16,1.27,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,42,44,NA,0.44,0.37,NA,NA,NA,0,0.13,0.93,0.13,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,44,46,NA,0.4,0.4,NA,NA,NA,0,0.12,0.9,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,46,48,NA,0.4,0.41,NA,NA,NA,0,0.12,0.96,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,48,50,NA,0.4,0.4,NA,NA,NA,0,0.02,NA,NA,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,40,42,NA,0.42,0.41,NA,NA,NA,0.15,0.16,1.27,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,42,44,NA,0.44,0.43,NA,NA,NA,0,0.13,0.93,0.13,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,44,46,NA,0.46,0.42,NA,NA,NA,0,0.12,0.9,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,46,48,NA,0.56,0.38,NA,NA,NA,0,0.12,0.96,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,48,50,NA,0.63,0.38,NA,NA,NA,0,0.02,NA,NA,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,50,52,NA,0.7,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,52,54,NA,0.61,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,54,56,NA,0.7,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,56,58,NA,0.67,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
