study_id,bibliography_id,publication_type,bibtype,doi,url,author,keywords,title,publisher,year,copyright,month,volume,number,pages,journal,school,key,editor,booktitle,institution,language
Leopold_et_al_2013,Leopold_et_al_2013_article,associated,Article,10.1016/j.geoderma.2013.03.008,https://doi.org/10.1016/j.geoderma.2013.03.008,A. Leopold and C. Marchand and J. Deborde and C. Chaduteau and M. Allenbach,NA,Influence of mangrove zonation on {CO}2 fluxes at the sediment{\textendash}air interface (New Caledonia),Elsevier {BV},2013,NA,jul,NA,NA,62--70,Geoderma,NA,NA,NA,NA,NA,NA
Donato_et_al_2012,Donato_et_al_2012_article,associated,Article,10.1016/j.jenvman.2011.12.004,https://doi.org/10.1016/j.jenvman.2011.12.004,D.C. Donato and J.B. Kauffman and R.A. Mackenzie and A. Ainsworth and A.Z. Pfleeger,NA,Whole-island carbon stocks in the tropical Pacific: Implications for mangrove conservation and upland restoration,Elsevier {BV},2012,NA,apr,97,NA,89--96,Journal of Environmental Management,NA,NA,NA,NA,NA,NA
Liu_et_al_2014,Liu_et_al_2014_article,associated,Article,10.1016/j.jenvman.2013.11.037,https://doi.org/10.1016/j.jenvman.2013.11.037,Hongxiao Liu and Hai Ren and Dafeng Hui and Wenqing Wang and Baowen Liao and Qingxian Cao,NA,Carbon stocks and potential carbon storage in the mangrove forests of~China,Elsevier {BV},2014,NA,jan,133,NA,86--93,Journal of Environmental Management,NA,NA,NA,NA,NA,NA
Marchand_et_al_2004,Marchand_et_al_2004_article,associated,Article,10.1016/j.margeo.2004.04.015,https://doi.org/10.1016/j.margeo.2004.04.015,C Marchand and F Baltzer and E Lallier-VergÃ¨s and P AlbÃ©ric,NA,Pore-water chemistry in mangrove sediments: relationship with species composition and developmental stages (French Guiana),Elsevier {BV},2004,NA,aug,208,NA,361--381,Marine Geology,NA,NA,NA,NA,NA,NA
Alongi_et_al_2004,Alongi_et_al_2004_article,associated,Article,10.1016/j.margeo.2004.04.016,https://doi.org/10.1016/j.margeo.2004.04.016,D.M Alongi and A Sasekumar and V.C Chong and J Pfitzner and L.A Trott and F Tirendi and P Dixon and G.J Brunskill,NA,Sediment accumulation and organic material flux in a managed mangrove ecosystem: estimates of land{\textendash}ocean{\textendash}atmosphere exchange in peninsular Malaysia,Elsevier {BV},2004,NA,aug,208,NA,383--402,Marine Geology,NA,NA,NA,NA,NA,NA
Xia_et_al_2015,Xia_et_al_2015_article,associated,Article,10.1016/j.orggeochem.2015.04.003,https://doi.org/10.1016/j.orggeochem.2015.04.003,Peng Xia and Xianwei Meng and Zhen Li and Aiping Feng and Ping Yin and Yongqiang Zhang,NA,Mangrove development and its response to environmental change in Yingluo Bay ({SW} China) during the last 150years: Stable carbon isotopes and mangrove pollen,Elsevier {BV},2015,NA,aug,85,NA,32--41,Organic Geochemistry,NA,NA,NA,NA,NA,NA
Chen_et_al_2010,Chen_et_al_2010_article,associated,Article,10.1016/j.scitotenv.2010.03.007,https://doi.org/10.1016/j.scitotenv.2010.03.007,G.C. Chen and N.F.Y. Tam and Y. Ye,NA,"Summer fluxes of atmospheric greenhouse gases N2O, {CH}4 and {CO}2 from mangrove soil in South China",Elsevier {BV},2010,NA,jun,408,13,2761--2767,Science of The Total Environment,NA,NA,NA,NA,NA,NA
Chen_et_al_2014,Chen_et_al_2014_article,associated,Article,10.1016/j.scitotenv.2014.03.140,https://doi.org/10.1016/j.scitotenv.2014.03.140,Guang C. Chen and Yaya I. Ulumuddin and Sastro Pramudji and Shun Y. Chen and Bin Chen and Yong Ye and Dan Y. Ou and Zhi Y. Ma and Hao Huang and Jing K. Wang,NA,Rich soil carbon and nitrogen but low atmospheric greenhouse gas fluxes from North Sulawesi mangrove swamps in Indonesia,Elsevier {BV},2014,NA,jul,487,NA,91--96,Science of The Total Environment,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2014,Andreetta_et_al_2014_article,associated,Article,10.1016/j.seares.2013.08.010,https://doi.org/10.1016/j.seares.2013.08.010,Anna Andreetta and Marco Fusi and Irene Cameldi and Filippo Ci ò and Stefano Carnicelli and Stefano Cannicci,NA,Mangrove carbon sink. Do burrowing crabs contribute to sediment carbon storage? Evidence from a Kenyan mangrove system,Elsevier {BV},2014,NA,jan,85,NA,524--533,Journal of Sea Research,NA,NA,NA,NA,NA,NA
Gillis_et_al_2017,Gillis_et_al_2017_article,associated,Article,10.1016/j.seares.2016.12.006,https://doi.org/10.1016/j.seares.2016.12.006,L.G. Gillis and F.E. Belshe and A.D. Ziegler and T.J. Bouma,NA,Driving forces of organic carbon spatial distribution in the tropical seascape,Elsevier {BV},2017,NA,feb,120,NA,35--40,Journal of Sea Research,NA,NA,NA,NA,NA,NA
Allen_et_al_2007,Allen_et_al_2007_article,associated,Article,10.1016/j.soilbio.2006.09.013,https://doi.org/10.1016/j.soilbio.2006.09.013,Diane E. Allen and Ram C. Dalal and Heinz Rennenberg and Rikke Louise Meyer and Steven Reeves and Susanne Schmidt,NA,Spatial and temporal variation of nitrous oxide and methane flux between subtropical mangrove sediments and the atmosphere,Elsevier {BV},2007,NA,feb,39,2,622--631,Soil Biology and Biochemistry,NA,NA,NA,NA,NA,NA
Chen_et_al_2012,Chen_et_al_2012_article,associated,Article,10.1016/j.soilbio.2012.01.029,https://doi.org/10.1016/j.soilbio.2012.01.029,Guang C. Chen and Nora F.Y. Tam and Yong Ye,NA,Spatial and seasonal variations of atmospheric N2O and {CO}2 fluxes from a subtropical mangrove swamp and their relationships with soil characteristics,Elsevier {BV},2012,NA,may,48,NA,175--181,Soil Biology and Biochemistry,NA,NA,NA,NA,NA,NA
Keuskamp_et_al_2013,Keuskamp_et_al_2013_article,associated,Article,10.1016/j.soilbio.2012.08.007,https://doi.org/10.1016/j.soilbio.2012.08.007,Joost A. Keuskamp and Heike Schmitt and Hendrikus J. Laanbroek and Jos T.A. Verhoeven and Mariet M. Hefting,NA,Nutrient amendment does not increase mineralisation of sequestered carbon during incubation of a nitrogen limited mangrove soil,Elsevier {BV},2013,NA,feb,57,NA,822--829,Soil Biology and Biochemistry,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Alongi_et_al_2001_article,associated,Article,10.1016/s0025-3227(01)00195-5,https://doi.org/10.1016/s0025-3227(01)00195-5,D.M Alongi and G Wattayakorn and J Pfitzner and F Tirendi and I Zagorskis and G.J Brunskill and A Davidson and B.F Clough,NA,Organic carbon accumulation and metabolic pathways in sediments of mangrove forests in southern Thailand,Elsevier {BV},2001,NA,sep,179,NA,85--103,Marine Geology,NA,NA,NA,NA,NA,NA
Lallier-Verges_et_al_1998,Lallier-Verges_et_al_1998_article,associated,Article,10.1016/s0146-6380(98)00179-x,https://doi.org/10.1016/s0146-6380(98)00179-x,Elisabeth Lallier-Verges and Benoit P Perrussel and Jean-Robert Disnar and Frederic Baltzer,NA,"Relationships between environmental conditions and the diagenetic evolution of organic matter derived from higher plants in a modern mangrove swamp system (Guadeloupe, French West Indies)",Elsevier {BV},1998,NA,nov,29,NA,1663--1686,Organic Geochemistry,NA,NA,NA,NA,NA,NA
Marchand_et_al_2003,Marchand_et_al_2003_article,associated,Article,10.1016/s0272-7714(02)00134-8,https://doi.org/10.1016/s0272-7714(02)00134-8,C Marchand and E Lallier-VergÃ¨s and F Baltzer,NA,The composition of sedimentary organic matter in relation to the dynamic features of a mangrove-fringed coast in French Guiana,Elsevier {BV},2003,NA,jan,56,1,119--130,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Alongi_et_al_2000_oct_article,associated,Article,10.1016/s0304-3770(00)00110-8,https://doi.org/10.1016/s0304-3770(00)00110-8,D.M Alongi and F Tirendi and B.F Clough,NA,Below-ground decomposition of organic matter in forests of the mangroves Rhizophora stylosa and Avicennia marina along the arid coast of Western Australia,Elsevier {BV},2000,NA,oct,68,2,97--122,Aquatic Botany,NA,NA,NA,NA,NA,NA
Zhang_et_al_2012,Zhang_et_al_2012_article,associated,Article,10.1016/s1002-0160(11)60191-4,https://doi.org/10.1016/s1002-0160(11)60191-4,Jin-Ping ZHANG and Cheng-De SHEN and Hai REN and Jun WANG and Wei-Dong HAN,NA,Estimating Change in Sedimentary Organic Carbon Content During Mangrove Restoration in Southern China Using Carbon Isotopic Measurements,Elsevier {BV},2012,NA,feb,22,1,58--66,Pedosphere,NA,NA,NA,NA,NA,NA
Chmura_et_al_2003,Chmura_et_al_2003_article,associated,Article,10.1029/2002gb001917,https://doi.org/10.1029/2002gb001917,Gail L. Chmura and Shimon C. Anisfeld and Donald R. Cahoon and James C. Lynch,NA,"Global carbon sequestration in tidal, saline wetland soils",American Geophysical Union ({AGU}),2003,NA,dec,17,4,n/a--n/a,Global Biogeochemical Cycles,NA,NA,NA,NA,NA,NA
Murdiyarso_et_al_2015,Murdiyarso_et_al_2015_article,associated,Article,10.1038/nclimate2734,https://doi.org/10.1038/nclimate2734,Daniel Murdiyarso and Joko Purbopuspito and J. Boone Kauffman and Matthew W. Warren and Sigit D. Sasmito and Daniel C. Donato and Solichin Manuri and Haruni Krisnawati and Sartji Taberima and Sofyan Kurnianto,NA,The potential of Indonesian mangrove forests for global climate change mitigation,Springer Science and Business Media {LLC},2015,NA,jul,5,12,1089--1092,Nature Climate Change,NA,NA,NA,NA,NA,NA
Donato_et_al_2011,Donato_et_al_2011_article,associated,Article,10.1038/ngeo1123,https://doi.org/10.1038/ngeo1123,Daniel C. Donato and J. Boone Kauffman and Daniel Murdiyarso and Sofyan Kurnianto and Melanie Stidham and Markku Kanninen,NA,Mangroves among the most carbon-rich forests in the tropics,Springer Science and Business Media {LLC},2011,NA,apr,4,5,293--297,Nature Geoscience,NA,NA,NA,NA,NA,NA
Fujimoto_et_al_1999,Fujimoto_et_al_1999_article,associated,Article,10.1046/j.1440-1703.1999.00313.x,https://doi.org/10.1046/j.1440-1703.1999.00313.x,Kiyoshi Fujimoto and Akihiro Imaya and Ryuichi Tabuchi and Shigeo Kuramoto and Hajime Utsugi and Tamon Murofushi,NA,Belowground carbon storage of Micronesian mangrove forests,Wiley,1999,NA,dec,14,4,409--413,Ecological Research,NA,NA,NA,NA,NA,NA
Ezcurra_et_al_2016,Ezcurra_et_al_2016_article,associated,Article,10.1073/pnas.1519774113,https://doi.org/10.1073/pnas.1519774113,Paula Ezcurra and Exequiel Ezcurra and Pedro P. GarcillÃ¡n and Matthew T. Costa and Octavio Aburto-Oropeza,NA,Coastal landforms and accumulation of mangrove peat increase carbon sequestration and storage,Proceedings of the National Academy of Sciences,2016,NA,mar,113,16,4404--4409,Proceedings of the National Academy of Sciences,NA,NA,NA,NA,NA,NA
Yando_et_al_2016,Yando_et_al_2016_article,associated,Article,10.1111/1365-2745.12571,https://doi.org/10.1111/1365-2745.12571,Erik S. Yando and Michael J. Osland and Jonathan M. Willis and Richard H. Day and Ken W. Krauss and Mark W. Hester,NA,Salt marsh-mangrove ecotones: using structural gradients to investigate the effects of woody plant encroachment on plant-soil interactions and ecosystem carbon pools,Wiley,2016,NA,apr,104,4,1020--1031,Journal of Ecology,NA,NA,Rebecca McCulley,NA,NA,NA
Cardona_and_Botero_1998,Cardona_and_Botero_1998_article,associated,Article,10.1111/j.1744-7429.1998.tb00366.x,https://doi.org/10.1111/j.1744-7429.1998.tb00366.x,Pablo Cardona and Leonor Botero,NA,Soil Characteristics and Vegetation Structure in a Heavily Deteriorated Mangrove Forest in the Caribbean Coast of Colombia,Wiley,1998,NA,mar,30,1,24--34,Biotropica,NA,NA,NA,NA,NA,NA
Gleason_and_Ewel_2002,Gleason_and_Ewel_2002_article,associated,Article,10.1111/j.1744-7429.2002.tb00530.x,https://doi.org/10.1111/j.1744-7429.2002.tb00530.x,Sean M. Gleason and Katherine C. Ewel,NA,Organic Matter Dynamics on the Forest Floor of a Micronesian Mangrove Forest: An Investigation of Species Composition Shifts1,Wiley,2002,NA,jun,34,2,190--198,Biotropica,NA,NA,NA,NA,NA,NA
Dissanayake_and_Chandrasekara_2014,Dissanayake_and_Chandrasekara_2014_article,associated,Article,10.1155/2014/564056,https://doi.org/10.1155/2014/564056,Navodha Dissanayake and Upali Chandrasekara,NA,"Effects of Mangrove Zonation and the Physicochemical Parameters of Soil on the Distribution of Macrobenthic Fauna in Kadolkele Mangrove Forest, a Tropical Mangrove Forest in Sri Lanka",Hindawi Limited,2014,NA,NA,2014,NA,1--13,Advances in Ecology,NA,NA,NA,NA,NA,NA
Alongi_1996,Alongi_1996_article,associated,Article,10.1357/0022240963213475,https://doi.org/10.1357/0022240963213475,Daniel M. Alongi,NA,The dynamics of benthic nutrient pools and fluxes in tropical mangrove forests,Journal of Marine Research/Yale,1996,NA,jan,54,1,123--148,Journal of Marine Research,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Adame_et_al_2013_article,associated,Article,10.1371/journal.pone.0056569,https://doi.org/10.1371/journal.pone.0056569,Maria Fernanda Adame and J. Boone Kauffman and Israel Medina and Julieta N. Gamboa and Olmo Torres and Juan P. Caamal and Miriam Reza and Jorge A. Herrera-Silveira,NA,Carbon Stocks of Tropical Coastal Wetlands within the Karstic Landscape of the Mexican Caribbean,Public Library of Science ({PLoS}),2013,NA,feb,8,2,e56569,{PLoS} {ONE},NA,NA,Han Y. H. Chen,NA,NA,NA
Lang'at_et_al_2014,Lang'at_et_al_2014_article,associated,Article,10.1371/journal.pone.0107868,https://doi.org/10.1371/journal.pone.0107868,Joseph Kipkorir Sigi Lang\textquotesingleat and James G. Kairo and Maurizio Mencuccini and Steven Bouillon and Martin W. Skov and Susan Waldron and Mark Huxham,NA,Rapid Losses of Surface Elevation following Tree Girdling and Cutting in Tropical Mangroves,Public Library of Science ({PLoS}),2014,NA,sep,9,9,e107868,{PLoS} {ONE},NA,NA,Vanesa Magar,NA,NA,NA
Bukoski_et_al_2017,Bukoski_et_al_2017_article,associated,Article,10.1371/journal.pone.0169096,https://doi.org/10.1371/journal.pone.0169096,Jacob J. Bukoski and Jeremy S. Broadhead and Daniel C. Donato and Daniel Murdiyarso and Timothy G. Gregoire,NA,The Use of Mixed Effects Models for Obtaining Low-Cost Ecosystem Carbon Stock Estimates in Mangroves of the Asia-Pacific,Public Library of Science ({PLoS}),2017,NA,jan,12,1,e0169096,{PLOS} {ONE},NA,NA,Shing Yip Lee,NA,NA,NA
Vasconcelos_et_al_2014,Vasconcelos_et_al_2014_article,associated,Article,10.18393/ejss.76445,https://doi.org/10.18393/ejss.76445,Renata Wilma Vasconcelos and Vanessa {dos Santos Gomes} and Diego Rodrigues {de Lucena} and Orione Alvares {da Silva} and Anaonio Cicero Sousa and Alexandre Fonseca D\textquotesingleAndrea,NA,"Soil organic matter and soil acidity in Mangrove areas in the river Paraiba Estuary, Cabedelo, Paraiba, Brazil",Eurasian Journal of Soil Sciences,2014,NA,sep,3,3,157,{EURASIAN} {JOURNAL} {OF} {SOIL} {SCIENCE} ({EJSS}),NA,NA,NA,NA,NA,NA
Sahu_et_al_2016,Sahu_et_al_2016_article,associated,Article,10.18520/cs/v110/i12/2253-2260,https://doi.org/10.18520/cs/v110/i12/2253-2260,S. C. Sahu and Manish Kumar and N. H. Ravindranath,NA,"Carbon Stocks in Natural and Planted Mangrove forests of Mahanadi Mangrove Wetland, East Coast of India",Current Science Association,2016,NA,jun,110,12,2253,Current Science,NA,NA,NA,NA,NA,NA
Sanders_et_al_2008,Sanders_et_al_2008_article,associated,Article,10.2112/07-0872.1,https://doi.org/10.2112/07-0872.1,Christian J. Sanders and Joseph M. Smoak and A. Sathy Naidu and Sambasiva R. Patchineelam,NA,"Recent Sediment Accumulation in a Mangrove Forest and Its Relevance to Local Sea-Level Rise (Ilha Grande, Brazil)",Coastal Education and Research Foundation,2008,NA,mar,242,NA,533--536,Journal of Coastal Research,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,Alongi_et_al_2008_article,associated,Article,10.3354/meps07661,https://doi.org/10.3354/meps07661,DM Alongi and LA Trott and {Rachmansyah} and F Tirendi and AD McKinnon and MC Undu,NA,"Growth and development of mangrove forests overlying smothered coral reefs, Sulawesi and Sumatra, Indonesia",Inter-Research Science Center,2008,NA,oct,375,NA,97--109,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Alongi_et_al_2000_article,associated,Article,10.3354/meps194087,https://doi.org/10.3354/meps194087,DM Alongi and F Tirendi and LA Trott and TT Xuan,NA,"Benthic decomposition rates and pathways in plantations of the mangrove Rhizophora apiculata in the Mekong delta, Vietnam",Inter-Research Science Center,2000,NA,NA,194,NA,87--101,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA
Bulmer_et_al_2016,Bulmer_et_al_2016_article,associated,Article,10.3389/fmars.2016.00150,https://doi.org/10.3389/fmars.2016.00150,Richard H. Bulmer and Luitgard Schwendenmann and Carolyn J. Lundquist,NA,Carbon and Nitrogen Stocks and Below-Ground Allometry in Temperate Mangroves,Frontiers Media {SA},2016,NA,aug,3,NA,NA,Frontiers in Marine Science,NA,NA,NA,NA,NA,NA
Marchio_et_al_2016,Marchio_et_al_2016_article,associated,Article,10.3390/f7060116,https://doi.org/10.3390/f7060116,Daniel Marchio and Michael Savarese and Brian Bovard and William Mitsch,NA,Carbon Sequestration and Sedimentation in Mangrove Swamps Influenced by Hydrogeomorphic Conditions and Urbanization in Southwest Florida,{MDPI} {AG},2016,NA,may,7,12,116,Forests,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Adame_et_al_2015_article,associated,Article,10.5194/bg-12-3805-2015,https://doi.org/10.5194/bg-12-3805-2015,M. F. Adame and N. S. Santini and C. Tovilla and A. VÃ¡zquez-Lule and L. Castro and M. Guevara,NA,Carbon stocks and soil sequestration rates of tropical riverine wetlands,Copernicus {GmbH},2015,NA,jun,12,12,3805--3818,Biogeosciences,NA,NA,NA,NA,NA,NA
Chen_et_al_2016,Chen_et_al_2016_article,associated,Article,10.5194/bg-2015-662,https://doi.org/10.5194/bg-2015-662,Guangcheng Chen and Bin Chen and Dan Yu and Yong Ye and Nora F. Y. Tam and Shunyang Chen,NA,Soil greenhouse gases emissions reduce the benefit of mangrove plant to mitigating atmospheric warming effect,Copernicus {GmbH},2016,NA,feb,NA,NA,1--22,Biogeosciences Discussions,NA,NA,NA,NA,NA,NA
Nsombo_et_al_2016,Nsombo_et_al_2016_article,associated,Article,10.5897/ajest2015.1956,https://doi.org/10.5897/ajest2015.1956,NSOMBO Eugene NDEMA and BENGONO Fr {eacute d eacute ric AKO} and Jacques ETAME and DIN NDONGO and Gordon AJONINA and BILONG Paul,NA,"Effects of vegetations degradation on carbon stock, morphological, physical and chemical characteristics of soils within the mangrove forest of the Rio del Rey Estuary: Case study Bamusso (South-West Cameroon)",Academic Journals,2016,NA,mar,10,3,58--66,African Journal of Environmental Science and Technology,NA,NA,NA,NA,NA,NA
Gomes_et_al_2016,Gomes_et_al_2016_article,associated,Article,10.5935/1806-6690.20160072,https://doi.org/10.5935/1806-6690.20160072,Felipe Haenel Gomes and JoÃ£o Carlos Ker and Tiago OsÃ³rio Ferreira and Ana Maria Souza {dos Santos Moreau} and Maur\'\icio Santana Moreau,NA,"Characterization and pedogenesis of mangrove soils from Ilh{\'{e}}us - {BA}, Brazil",{GN}1 Genesis Network,2016,NA,NA,47,NA,NA,{REVISTA} {CI}{\^{E}}{NCIA} {AGRON}{\^{O}}{MICA},NA,NA,NA,NA,NA,NA
DelVecchia_et_al_2014,DelVecchia_et_al_2014_article,associated,Article,10.7717/peerj.388,https://doi.org/10.7717/peerj.388,Amanda G. DelVecchia and John F. Bruno and Larry Benninger and Marc Alperin and Ovik Banerjee and Juan {de Dios Morales},NA,Organic carbon inventories in natural and restored Ecuadorian mangrove forests,{PeerJ},2014,NA,may,2,NA,e388,{PeerJ},NA,NA,NA,NA,NA,NA
Matsui_1998,Matsui_1998_article,associated,Article,NA,NA,"Matsui, Naohiro",NA,"Estimated stocks of organic carbon in mangrove roots and sediments in Hinchinbrook Channel, Australia",NA,1998,NA,NA,4,2,NA,Mangroves and Salt Marshes,NA,NA,NA,NA,NA,NA
Wooller_et_al_2003,Wooller_et_al_2003_article,associated,Article,NA,NA,"Wooller, Matthew and Smallwood, Barbara and Jacobson, Myrna and Fogel, Marilyn",NA,Carbon and nitrogen stable isotopic variation in Laguncularia racemosa (L.)(white mangrove) from Florida and Belize: implications for trophic level studies,NA,2003,NA,NA,499,NA,NA,Hydrobiologia,NA,NA,NA,NA,NA,NA
Bouillon_et_al_2003,Bouillon_et_al_2003_article,associated,Article,NA,NA,"Bouillon, Steven and Dahdouh-Guebas, Farid and Rao, AVVS and Koedam, Nico and Dehairs, Frank",NA,Sources of organic carbon in mangrove sediments: variability and possible ecological implications,NA,2003,NA,NA,495,NA,NA,Hydrobiologia,NA,NA,NA,NA,NA,NA
Cahoon_and_Lynch_1997,Cahoon_and_Lynch_1997_article,associated,Article,NA,NA,"Cahoon, Donald R and Lynch, James C",NA,"Vertical accretion and shallow subsidence in a mangrove forest of southwestern Florida, USA",NA,1997,NA,NA,1,3,NA,Mangroves and Salt Marshes,NA,NA,NA,NA,NA,NA
Tam_and_Wong_1998,Tam_and_Wong_1998_article,associated,Article,NA,NA,"Tam, NFY and Wong, YS",NA,Variations of soil nutrient and organic matter content in a subtropical mangrove ecosystem,NA,1998,NA,NA,103,NA,NA,"Water, Air, and Soil Pollution",NA,NA,NA,NA,NA,NA
Abino_et_al_2014,Abino_et_al_2014_article,associated,Article,NA,NA,"Abino, Azyleah C and CaPak. J. Botstillo, Jose Alan A and Lee, Young Jin",NA,"Species diversity, biomass, and carbon stock assessments of a natural mangrove forest in Palawan, Philippines",NA,2014,NA,NA,46,6,NA,Pak. J. Bot,NA,NA,NA,NA,NA,NA
Banerjee_et_al_2012,Banerjee_et_al_2012_article,associated,Article,NA,NA,"Banerjee, Kakoli and Roy Chowdhury, M and Sengupta, Kasturi and Sett, Saurov and Mitra, Abhijit",NA,Influence of anthropogenic and natural factors on the mangrove soil of Indian Sundarbans wetland,NA,2012,NA,NA,6,NA,NA,Arch Environ Sci,NA,NA,NA,NA,NA,NA
He_et_al_2002,He_et_al_2002_article,associated,Article,NA,NA,"He, Bin and Wen, Yuanguang and Yuan, Xia and Liang, Hongwen and Liu, Shirong",NA,Studies on soil physical and chemical properties and enzyme activities of different mangrove communities in Yingluo Bay of Guangxi,NA,2002,NA,NA,38,2,NA,Scientia Silvae Sinicae,NA,NA,NA,NA,NA,NA
Mao_et_al_2011,Mao_et_al_2011_article,associated,Article,NA,NA,"Mao, ZL and Lai, HD and Zhao, ZY and Yang, XM",NA,Effect of invasion plants (Mikania micrantha HBK) on carbon stock of mangrove ecosystem in Shenzhen bay,NA,2011,NA,NA,20,12,NA,Ecol Env,NA,NA,NA,NA,NA,NA
Mao_et_al_2012,Mao_et_al_2012_article,associated,Article,NA,NA,"Mao, ZL and Yang, XM and Zhao, ZY and Lai, MD and Yang, DY and Wu, CL and Xu, HL},",NA,"Preliminary study on mangrove ecosystem carbon cycle of Kandelia candel in Futian nature reserve, Shenzhen, China. Ecol",NA,2012,NA,NA,21,NA,NA,Environ. Sci,NA,NA,NA,NA,NA,NA
Liu_et_al_2008,Liu_et_al_2008_article,associated,Article,NA,NA,"LIU, Mei-ling and YE, Yong and CAO, Chang-qing and TANG, Fei-long",NA,Fractal characteristics and related affecting factors of particle size distribution in mangrove soils in Dongzhai Harbor of Hainan,NA,2008,NA,NA,9,NA,NA,Chinese Journal of Ecology,NA,NA,NA,NA,NA,NA
Xu_et_al_2012,Xu_et_al_2012_article,associated,Article,NA,NA,"Xu, F. H., Zhang, J. P., Zhang, Q. M., Lin, K. Y., Lin, G. X.",NA,"Carbon storage of three natural mangrove forests in Gaoqiao, Zhanjiang",NA,2012,NA,NA,15,NA,NA,Value Engineering,NA,NA,NA,NA,NA,NA
Pazi_et_al_2016,Pazi_et_al_2016_article,associated,Article,NA,NA,"PAZI, AHMAD MUSTAPHA MOHAMAD and GANDASECA, SECA and ROSLI, NORAINI and HANAFI, AHMAD and HAMZAH, ALBERT EMPAWI TINDIT and NYANGON, LAURNA",NA,"Soil pH and carbon at different depth in three zones of mangrove forest in Sarawak, Malaysia",NA,2016,NA,NA,79,1,NA,The Malaysian Forester,NA,NA,NA,NA,NA,NA
Middelburg_et_al_1996,Middelburg_et_al_1996_article,associated,Article,NA,NA,"Middelburg, Jack J and Nieuwenhuize, Joop and Slim, Frederik J and Ohowa, Boaz",NA,"Sediment biogeochemistry in an East African mangrove forest (Gazi bay, Kenya)",NA,1996,NA,NA,34,3,NA,Biogeochemistry,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,Ashton_and_Macintosh_2002_article,associated,Article,NA,NA,"Ashton, Elizabeth C and Macintosh, Donald J",NA,"Preliminary assessment of the plant diversity and community ecology of the Sematan mangrove forest, Sarawak, Malaysia",NA,2002,NA,NA,166,NA,NA,Forest Ecology and Management,NA,NA,NA,NA,NA,NA
Woodroffe_1985,Woodroffe_1985_article,associated,Article,NA,NA,"Woodroffe, Colin D",NA,"Studies of a mangrove basin, Tuff Crater, New Zealand: I. Mangrove biomass and production of detritus",NA,1985,NA,NA,20,3,NA,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Loi_and_Ni_2015,Loi_and_Ni_2015_article,associated,Article,NA,NA,"Loi, Tan and Ni, Hang",NA,"The effects of land surface elevation on belowground carbon accumulation of mangrove ecosystem at the Ong Trang sand bar, Ngoc Hien district, Ca Mau province",NA,2015,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA
Kao_et_al_2002,Kao_et_al_2002_article,associated,Article,NA,NA,"Kao, Wen-Yuan and Tsai, Hung-Chieh and Shih, Chen-Ning and Tsai, Tyng-Tyng and Handley, Linda L",NA,"Nutrient contents, d13C and d15N during leaf senescence in the mangrove, Kandelia candel (L.) Druce",NA,2002,NA,NA,43,NA,NA,Botanical Bulletin of Academia Sinica,NA,NA,NA,NA,NA,NA
Callaway_et_al_1997,Callaway_et_al_1997_article,associated,Article,NA,NA,"Callaway, JC and DeLaune, RD and Patrick Jr, WH",NA,Sediment accretion rates from four coastal wetlands along the Gulf of Mexico,NA,1997,NA,NA,NA,NA,NA,Journal of Coastal Research,NA,NA,NA,NA,NA,NA
Naidoo_1980,Naidoo_1980_article,associated,Article,NA,NA,"Naidoo, G",NA,"Mangrove soils of the Beachwood area, Durban",NA,1980,NA,NA,NA,NA,NA,Journal of South African Botany,NA,NA,NA,NA,NA,NA
Naidoo_and_Raiman_1982,Naidoo_and_Raiman_1982_article,associated,Article,NA,NA,"Naidoo, G and Raiman, F",NA,"Some physical and chemical properties of mangrove soils at Sipingo and Mgeni, Natal",NA,1982,NA,NA,NA,NA,NA,South African Journal of Botany,NA,NA,NA,NA,NA,NA
Kristensen_et_al_1992,Kristensen_et_al_1992_article,associated,Article,NA,NA,"Kristensen, Erik and Devol, Allan H and Ahmed, Saiyed I and Saleem, Monawwar",NA,"Preliminary study of benthic metabolism and sulfate reduction in a mangrove swamp of the Indus Delta, Pakistan",NA,1992,NA,NA,NA,NA,NA,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA
Kristensen_et_al_2000,Kristensen_et_al_2000_article,associated,Article,NA,NA,"Kristensen, Erik and Andersen, Frede {\O} and Holmboe, Nikolaj and Holmer, Marianne and Thongtham, Nalinee",NA,"Carbon and nitrogen mineralization in sediments of the Bangrong mangrove area, Phuket, Thailand",NA,2000,NA,NA,22,2,NA,Aquatic Microbial Ecology,NA,NA,NA,NA,NA,NA
