study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,excess_pb210_activity_se,age,age_se,delta_c13,pb210_unit,ra226_unit,cs137_unit,method_id
Breithaupt_et_al_2020,SMg,WSC8A,6,8,0.22,0.66,0.28,0.26,0.02,9.82,0.19,1.23,0.11,8.71,0.22,21.7,0.7,-27.67,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,8,10,0.17,0.63,0.29,0.4,0.04,7.48,0.34,1.29,0.15,6.27,0.37,26.9,0.8,-27.57,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC8B,0,2,0.08,0.78,0.36,0,0,12.69,0.28,0.2,0.42,12.91,0.52,7.5,1.7,-28.02,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC8B,10,11,0.15,0.79,0.41,0,0,2.64,0.19,0.54,0.45,2.17,0.51,85.1,10.4,-27.43,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC8B,11,12,0.16,0.79,0.4,0,0,1.73,0.15,0.47,0.4,1.3,0.44,96.4,14,-27.4,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC8B,12,13,0.15,0.79,0.4,0,0,1.36,0.18,0.14,0.5,1.26,0.55,112.1,21,-27.47,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC8B,13,14,0.16,0.79,0.39,0,0,1.31,0.16,0.31,0.52,1.04,0.56,137.3,40.9,-27.4,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC8B,2,4,0.09,0.8,0.38,0,0,13.44,0.24,0.37,0.44,13.53,0.52,20.4,2.1,-27.53,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC8B,4,6,0.1,0.79,0.39,1.04,0.06,10.68,0.33,0.14,0.48,10.91,0.6,37.4,3.1,-26.67,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC8B,6,9,0.07,0.79,0.39,1.48,0.06,6.35,0.25,0.2,0.51,6.36,0.59,54.3,4.6,-26.61,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC8B,9,10,0.18,0.79,0.39,0.2,0.01,4.3,0.16,0.07,0.44,4.38,0.48,72.7,7.5,-27.01,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
