table,attribute_name,attribute_definition,required,data_type,format_unit_codes,number,data_category,parent_data_category,quality_class,uncontrolled,conditional_on,conditional_variables,conditional_on_absence
depthseries,c14_age,Radiocarbon age as estimated from AMS measurements.,optional,numeric,radiocarbonYear,real,c14,age_depth,2,NA,NA,NA,NA
depthseries,c14_age_se,Estimated uncertainty in c14_age.,conditional,numeric,radiocarbonYear,real,c14,age_depth,1,NA,c14_age,NA,NA
depthseries,c14_material,Description of the material selected for radiocarbon (14C) dating.,conditional,character,NA,NA,c14,age_depth,2,NA,c14_age,NA,NA
depthseries,c14_notes,Any relevant submitter generated notes on 14C dating process.,optional,character,NA,NA,c14,age_depth,NA,NA,NA,NA,NA
depthseries,delta_c13,The isotopic signature of 13C. This is oftentimes measured along with c14_age and can be useful for analyzing carbon lability and provenance.,optional,numeric,permil,real,c14,age_depth,2,NA,NA,NA,NA
depthseries,be7_activity,Radioactivity counts per unit dry weight for 7Be.,optional,numeric,NA,real,be7,age_depth,2,NA,NA,NA,NA
depthseries,be7_activity_se,Estimated uncertainty in be_7_activity.,optional,numeric,NA,real,be7,age_depth,1,NA,NA,NA,NA
depthseries,be7_unit,Reported unit for sample interval's Be 7 activity measurements.,conditional,character,NA,NA,NA,NA,NA,1,be7_activity,NA,NA
depthseries,marker_date,"The age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",optional,Date,YYYY,NA,other_dated_horizon,age_depth,2,NA,NA,NA,NA
depthseries,marker_date_se,"The standard error of the age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",optional,Date,NA,NA,NA,NA,NA,NA,NA,NA,NA
depthseries,marker_type,Code indicating the type of marker.,conditional,factor,"artificial horizon = Horizon was added to the surface artificially by using materials such as feldspar, glitter, or rare earth elements; pollen = Pollen analysis was used to tie horizon to the timing of vegetation change such as the arrival of invasives, or the beginning of local agriculture; pollution = Chemical analysis was used to tie the horizon to the timing of a pollution event; tsunami = Sediment analysis was used to tie the horizon to the timing of a tsunami event.; dredge horizon = Sediment analysis was used to tie the horizon to the timing of a dredging event.",NA,other_dated_horizon,age_depth,NA,NA,marker_date,NA,NA
depthseries,marker_notes,Any other submitter generated notes about the origin of the marker.,optional,character,NA,NA,other_dated_horizon,age_depth,NA,NA,NA,NA,NA
depthseries,age,"Most likely, median, or mean age of the depth interval from submitter generated age depth model.",optional,numeric,nominalYear,real,age_depth_model,age_depth,2,NA,NA,NA,NA
depthseries,age_min,Minimum age of the depth interval from submitter generated age depth model.,optional,numeric,nominalYear,real,age_depth_model,age_depth,2,NA,NA,NA,NA
depthseries,age_max,Maximum age of the depth interval from submitter generated age depth model.,optional,numeric,nominalYear,real,age_depth_model,age_depth,2,NA,NA,NA,NA
depthseries,age_se,Standard error of age estimate from submitter generated age depth model.,optional,numeric,nominalYear,real,age_depth_model,age_depth,1,NA,NA,NA,NA
depthseries,depth_interval_notes,Any other submitter generated notes specific to the depth interval.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
species,study_id,"Unique identifier for the study made up of the first author's family name, as well as the second author's family name or et al. if more than three, then publication year separated by underscores.",optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
species,site_id,Site identification code unique to each study.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
species,core_id,Core identification code unique to each site.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
species,species_code,Code associated with a species or a vegetation assemblage.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
species,code_type,"Defines whether the code refers to a description, or level of plant taxonomy.",conditional,factor,description = Cover description not related to plant taxonomy.; Family = Refers to taxonomic family without indicating a genus or species.; Genus = Refers to a taxonomic genus without indicating a species.; Genus species = Refers to taxonomic Genus and species.,NA,NA,NA,NA,NA,species_code,NA,NA
species,habitat,Habitat classification of the sampled location based on description or dominate vegetation.,optional,factor,"mangrove = Tropical and dominated by specialized shrubs or trees.; swamp = Predominantly freshwater and dominated by trees.; scrub/shrub = Wetland dominated by shrubs.; marsh = Wetland dominated by emergent vegetation, gramminoids or forbs.; seagrass = Intertidal to subtidal and dominated by specialized predominantly submerged grasses.; algal mat = Dominated by algae.; unvegetated = Unvegetated, tidally influenced habitat.; mudflat = Describes unvegetated areas exposed and flooded by the tides.; upland = Predominately above sea level and dominated by trees.",NA,NA,NA,NA,NA,NA,NA,NA
impacts,study_id,"Unique identifier for the study made up of the first author's family name, as well as the second author's family name or et al. if more than three, then publication year separated by underscores.",optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
impacts,site_id,Site identification code unique to each study.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
impacts,core_id,Core identification code unique to each site.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
impacts,impact_class,Code indicating any major anthropogenic impacts historically and currently affecting the coring location.,optional,factor,"tidally restricted = Tidal flow is muted or blocked by built structures; impounded = Water level is raised artificially by a tidal restriction, resulting in ponding of water on the wetland and or upland surface; salt impacted = Site or sampling location is impacted by salt water intrusion.; natural = No disturbance or management has occurred.; managed impounded = Wetland is impounded seasonally, and other times natural or semi natural hydrology occurs; ditched = Tidal hydrology is altered because artificial ditches have been cut to promote tidal flooding and drainage; diked and drained = The wetland has been diked and drained, with or without flapper gates, pumping, or other means; farmed = Managed impoundment or drainage in which wetland has been converted to agricultural land; tidally restored = Tidal flow has been restored by removing an artificial obstruction; revegetated = Wetland vegetation has been reintroduced by replanting on unvegetated surfaces; restored = Some method of restoration (potentially unspecified) has occurred; invasive plants removed = Natural plant communities have been restored by the active removal of invasive plant species; invasive herbivores removed = Tidal wetland vegetation has been managed by the removal of invasive herbivores; sediment added = Elevation has been managed by artificially adding sediment to the site using techniques such as thin layering or sediment diversion; wetlands built = Constructed wetland using sediments such as dredge spoils or other sediment source.; degraded = Some method of degradation has occurred, possibly unspecified.; storm or wind = Impact from major storms, including extreme precipitation and unusually high-wind events; bark extraction = Woody vegetation felled for the extraction of bark.; firewood extraction = Woody vegetation felled for the extraction of firewood.; agro-industrial deforestation = Sites that were deforested and transformed into oil palm or rice crops.; disturbed = Sampling location has experienced anthropogenic or environmental disturbance.",NA,NA,NA,NA,NA,NA,NA,NA
study_citations,study_id,"Unique identifier for the study made up of the first author's family name, as well as the second author's family name or et al. if more than three, then publication year separated by underscores.",required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,bibliography_id,Bibliography identification code unique to each study.,required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,publication_type,Code indicating the type of publication the study originates from.,required,factor,combined dataset and manuscript = Primary dataset and associated manuscript are from the same source.; primary dataset = Primary published dataset.; associated source = Source associated with primary dataset.; synthesis dataset = Published dataset associated with the data synthesis.; synthesis source = Source associated with data synthesis contribution.,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,bibtype,BibTeX entry type.,required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,title,The title of the work.,required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,author,The author(s) of the publication.,required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,school,The school where the thesis was written.,added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,doi,Digital object identifier associated with the work.,encouraged,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,url,Permanent web address where the work can be located.,encouraged,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,year,"The year of publication or, if unpublished, the year of creation.",added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,month,"The month of publication (or, if unpublished, the month of creation).",added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,publisher,The publisher's name.,added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,volume,The volume of a journal or multi-volume book.,added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,number,"The (issue) number of a journal, magazine, or tech-report, if applicable. (Most publications have a volume, but no number”field.).",added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,pages,"Page numbers, separated either by commas or double-hyphens.",added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,journal,The journal or magazine the work was published in.,added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,copyright,The intellectual rights of the publication.,added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,editor,The name(s) of the editor(s).,added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,booktitle,"The title of the book, if only part of it is being cited.",added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,institution,"The institution that was involved in the publishing, but not necessarily the publisher.",added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
study_citations,language,The language a publication was written in.,added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
