attribute_name,attribute_definition,data_type,format_unit_codes,number,unit,format_string,values
marker_type,Code indicating the type of marker.,factor,"artificial horizon = Horizon was added to the surface artificially by using materials such as feldspar, glitter, or rare earth elements; pollen = Pollen analysis was used to tie horizon to the timing of vegetation change such as the arrival of invasives, or the beginning of local agriculture; pollution = Chemical analysis was used to tie the horizon to the timing of a pollution event; tsunami = Sediment analysis was used to tie the horizon to the timing of a tsunami event.",NA,NA,NA,"artificial horizon = Horizon was added to the surface artificially by using materials such as feldspar, glitter, or rare earth elements; pollen = Pollen analysis was used to tie horizon to the timing of vegetation change such as the arrival of invasives, or the beginning of local agriculture; pollution = Chemical analysis was used to tie the horizon to the timing of a pollution event; tsunami = Sediment analysis was used to tie the horizon to the timing of a tsunami event."
marker_notes,Any other submitter generated notes about the origin of the marker.,character,NA,NA,NA,NA,NA
age,"Most likely, median, or mean age of the depth interval from submitter generated age depth model.",numeric,year,integer,year,NA,NA
age_min,Minimum age of the depth interval from submitter generated age depth model.,numeric,year,integer,year,NA,NA
age_max,Maximum age of the depth interval from submitter generated age depth model.,numeric,year,integer,year,NA,NA
age_se,Standard error of age estimate from submitter generated age depth model.,numeric,year,integer,year,NA,NA
depth_interval_notes,Any other submitter generated notes specific to the depth interval.,character,NA,NA,NA,NA,NA
species_code,Code associated with a species or a vegetation assemblage.,character,NA,NA,NA,NA,NA
code_type,"Defines whether the code refers to a description, or level of plant taxonomy.",factor,description = Cover description not related to plant taxonomy.; Family = Refers to taxonomic family without indicating a genus or species.; Genus = Refers to a taxonomic genus without indicating a species.; Genus species = Refers to taxonomic Genus and species.,NA,NA,NA,description = Cover description not related to plant taxonomy.; Family = Refers to taxonomic family without indicating a genus or species.; Genus = Refers to a taxonomic genus without indicating a species.; Genus species = Refers to taxonomic Genus and species.
impact_class,Code indicating any major anthropogenic impacts historically and currently affecting the coring location.,factor,"tidally restricted = Tidal flow is muted or blocked by built structures; impounded = Water level is raised artificially by a tidal restriction, resulting in ponding of water on the wetland and or upland surface; salt impacted = TBD.; natural = No disturbance or management has occurred.; managed impounded = Wetland is impounded seasonally, and other times natural or semi natural hydrology occurs; ditched = Tidal hydrology is altered because artificial ditches have been cut to promote tidal flooding and drainage; diked and drained = The wetland has been diked and drained, with or without flapper gates, pumping, or other means; farmed = Managed impoundment or drainage in which wetland has been converted to agricultural land; tidally restored = Tidal flow has been restored by removing an artificial obstruction; revegetated = Wetland vegetation has been reintroduced by replanting on unvegetated surfaces; restored = Some method of restoration (potentially unspecified) has occurred; invasive plants removed = Natural plant communities have been restored by the active removal of invasive plant species; invasive herbivores removed = Tidal wetland vegetation has been managed by the removal of invasive herbivores; sediment added = Elevation has been managed by artificially adding sediment to the site using techniques such as thin layering or sediment diversion; wetlands built = Constructed wetland using sediments such as dredge spoils or other sediment source.",NA,NA,NA,"tidally restricted = Tidal flow is muted or blocked by built structures; impounded = Water level is raised artificially by a tidal restriction, resulting in ponding of water on the wetland and or upland surface; salt impacted = TBD.; natural = No disturbance or management has occurred.; managed impounded = Wetland is impounded seasonally, and other times natural or semi natural hydrology occurs; ditched = Tidal hydrology is altered because artificial ditches have been cut to promote tidal flooding and drainage; diked and drained = The wetland has been diked and drained, with or without flapper gates, pumping, or other means; farmed = Managed impoundment or drainage in which wetland has been converted to agricultural land; tidally restored = Tidal flow has been restored by removing an artificial obstruction; revegetated = Wetland vegetation has been reintroduced by replanting on unvegetated surfaces; restored = Some method of restoration (potentially unspecified) has occurred; invasive plants removed = Natural plant communities have been restored by the active removal of invasive plant species; invasive herbivores removed = Tidal wetland vegetation has been managed by the removal of invasive herbivores; sediment added = Elevation has been managed by artificially adding sediment to the site using techniques such as thin layering or sediment diversion; wetlands built = Constructed wetland using sediments such as dredge spoils or other sediment source."
bibliography_id,Bibliography identification code unique to each study.,character,NA,NA,NA,NA,NA
publication_type,Code indicating the type of publication the study originates from.,factor,combined dataset and manuscript = Primary dataset and associated manuscript are from the same source.; primary dataset = Primary published dataset.; associated source = Source associated with primary dataset.; synthesis dataset = Published dataset associated with the data synthesis.; synthesis source = Source associated with data synthesis contribution.,NA,NA,NA,combined dataset and manuscript = Primary dataset and associated manuscript are from the same source.; primary dataset = Primary published dataset.; associated source = Source associated with primary dataset.; synthesis dataset = Published dataset associated with the data synthesis.; synthesis source = Source associated with data synthesis contribution.
bibtype,BibTeX entry type.,character,NA,NA,NA,NA,NA
title,The title of the work.,character,NA,NA,NA,NA,NA
author,The author(s) of the publication.,character,NA,NA,NA,NA,NA
school,The school where the thesis was written.,character,NA,NA,NA,NA,NA
doi,Digital object identifier associated with the work.,character,NA,NA,NA,NA,NA
url,Permanent web address where the work can be located.,character,NA,NA,NA,NA,NA
year,"The year of publication or, if unpublished, the year of creation.",character,NA,NA,NA,NA,NA
month,"The month of publication (or, if unpublished, the month of creation).",character,NA,NA,NA,NA,NA
publisher,The publisher's name.,character,NA,NA,NA,NA,NA
volume,The volume of a journal or multi-volume book.,character,NA,NA,NA,NA,NA
number,"The (issue) number of a journal, magazine, or tech-report, if applicable. (Most publications have a volume, but no number”field.).",character,NA,NA,NA,NA,NA
pages,"Page numbers, separated either by commas or double-hyphens.",character,NA,NA,NA,NA,NA
journal,The journal or magazine the work was published in.,character,NA,NA,NA,NA,NA
copyright,The intellectual rights of the publication.,character,NA,NA,NA,NA,NA
editor,The name(s) of the editor(s).,character,NA,NA,NA,NA,NA
booktitle,"The title of the book, if only part of it is being cited.",character,NA,NA,NA,NA,NA
institution,"The institution that was involved in the publishing, but not necessarily the publisher.",character,NA,NA,NA,NA,NA
language,The language a publication was written in.,character,NA,NA,NA,NA,NA
