study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,total_pb210_activity,total_pb210_activity_se,pb210_unit
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,40,42,0.213,0.1564,8.25,0.41,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,44,46,0.335,0.1504,3.59,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,48,50,0.4,0.1587,5.11,0.26,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,52,54,0.5,0.1511,2.82,0.14,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,56,58,0.374,0.1723,7.66,0.38,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,0,2,0.32,0.2225,9.28,0.46,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,4,6,0.362,0.1996,7.26,0.36,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,8,10,0.147,0.1827,6.38,0.32,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,12,14,0.242,0.1752,4.54,0.23,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,16,18,0.322,0.1346,3.56,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,20,22,0.255,0.1483,3.54,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,24,26,0.34,0.1365,3.87,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,28,30,0.351,0.1759,4.07,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,32,34,0.415,0.1536,2.42,0.12,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,36,38,0.346,0.1856,3.34,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,40,42,0.368,0.1631,3.5,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,44,46,0.305,0.1762,2.6,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,48,50,0.36,0.1502,1.73,0.09,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,52,54,0.258,0.1689,3.36,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-2,single set of methods,56,58,0.295,0.1449,4.81,0.24,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,0,1,0.0799,0.192,9.85,0.49,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,2,3,0.0688,0.1829,3.07,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,4,5,0.18,0.1811,6.07,0.3,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,6,7,0.183,0.1796,9.72,0.49,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,8,9,0.117,0.181,6.26,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,10,11,0.165,0.1591,8.17,0.41,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,12,13,0.127,0.1505,5.55,0.28,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,14,15,0.135,0.1354,4.59,0.23,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,16,17,0.152,0.1425,6.86,0.34,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,18,19,0.171,0.1566,6.51,0.33,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,20,22,0.246,0.1585,8.83,0.44,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,24,26,0.228,0.1855,6.24,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,28,30,0.255,0.1845,3.94,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,32,34,0.299,0.1268,2.84,0.14,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,36,38,0.435,0.1229,3.27,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,40,42,0.461,0.123,3.1,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,44,46,0.123,0.1453,4.78,0.24,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,48,50,0.318,0.1098,3.65,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,52,54,0.446,0.112,3.04,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-3,single set of methods,56,58,0.358,0.1199,7.12,0.36,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,0,2,0.192,0.2054,7.02,0.35,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,4,6,0.229,0.1643,5.93,0.3,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,8,10,0.187,0.2016,5.69,0.28,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,12,14,0.285,0.1398,4.33,0.22,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,16,18,0.256,0.1321,4.36,0.22,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,20,22,0.322,0.1343,1.75,0.09,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,24,26,0.374,0.1357,4.95,0.25,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,28,30,0.615,0.1032,3.94,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,32,34,0.392,0.1074,5.63,0.28,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,36,38,0.345,0.1097,2.99,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,40,42,0.397,0.1135,3.62,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,44,46,0.255,0.1434,3.6,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,48,50,0.241,0.1315,3.15,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,52,54,0.206,0.1595,3.11,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET1,single set of methods,56,58,0.192,0.1601,6.11,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,0,2,NA,0.169,4.84,0.24,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,2,4,0.297,0.136,6.76,0.34,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,6,8,NA,0.164,2.02,0.1,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,8,10,0.642,0.134,7.18,0.36,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,12,14,NA,0.152,4.98,0.25,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,14,16,0.466,0.127,14.89,0.74,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,18,20,NA,0.141,3.34,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,20,22,0.515,0.121,3.86,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,24,26,NA,0.127,2.37,0.12,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,26,28,0.492,0.111,5.34,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,28,30,NA,0.135,2.92,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,32,34,0.552,0.115,4.81,0.24,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,34,36,NA,0.13,1.97,0.1,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,38,40,1.83,0.111,4.33,0.22,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,40,42,NA,0.122,2.63,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,44,46,0.714,0.096,3.18,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,46,48,NA,0.097,2.23,0.11,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2,single set of methods,50,53,NA,0.11,1.45,0.07,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,1,2,0.175,NA,5.54,0.28,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,3,4,0.106,0.2264,4.64,0.23,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,5,6,0.065,0.207,5.23,0.26,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,7,8,0.112,0.1975,2.78,0.14,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,9,10,0.255,0.1768,6.61,0.33,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,11,12,0.198,0.2102,2.95,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,13,14,0.377,0.1836,8.88,0.44,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,15,16,0.23,0.1859,5.71,0.29,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,17,18,0.354,0.1797,3.44,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,19,20,0.311,0.1707,2.84,0.14,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,22,24,0.318,0.2534,3.04,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,26,28,0.468,0.1564,5.32,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,30,32,0.606,0.0909,0.62,0.03,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,34,36,0.51,0.2016,0.97,0.05,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,38,40,0.345,0.1763,5.89,0.29,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,42,44,1.08,0.1847,3,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,46,48,0.35,0.1767,2.53,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,50,52,0.35,0.2073,2.57,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,54,56,0.358,0.1956,2.7,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET2p,single set of methods,58,60,0.255,0.1938,2.64,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,1,2,0.146,0.3395,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,3,4,0.123,0.2877,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,5,6,0.0602,NA,5.36,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,7,8,0.304,0.2796,3.23,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,9,10,0.138,NA,5.57,0.28,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,22,23,0.0517,NA,8.97,0.45,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,24,25,0.133,0.2904,8.21,0.41,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,26,27,0.0888,NA,5.64,0.28,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,28,29,0.0763,NA,3,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,30,32,0.137,0.3516,3.86,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,34,36,0.274,0.2821,3.21,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,38,40,0.245,0.2128,1.25,0.06,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,42,44,0.509,0.1931,2.82,0.14,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,46,48,0.376,0.1705,1.27,0.06,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,50,52,0.536,0.183,1.44,0.07,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,54,56,0.695,0.1542,2.71,0.14,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET3,single set of methods,58,60,0.498,0.1692,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,0,2,NA,0.2789,7.58,0.38,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,6,8,NA,0.2438,5.44,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,12,14,NA,0.2387,5.07,0.25,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,18,20,NA,0.2539,4.54,0.23,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,24,26,NA,0.3153,2.99,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,30,32,NA,0.268,2.8,0.14,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,36,38,NA,0.1687,2.87,0.14,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,42,44,NA,0.1314,1.99,0.1,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,48,50,NA,0.2109,2.63,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,54,56,NA,0.2374,2.35,0.12,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET4,single set of methods,58,60,NA,0.2213,2.29,0.11,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,1,2,0.013,NA,5.39,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,3,4,0.0259,NA,14.42,0.72,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,5,6,0.0465,NA,9.54,0.48,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,7,8,0.0257,NA,5.68,0.28,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,8,9,0.0228,NA,2.26,0.11,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,15,16,0.162,0.3123,7.27,0.36,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,17,18,0.101,0.3153,4.05,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,19,20,0.136,0.3102,5.27,0.26,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,20,22,0.186,0.3236,4.52,0.23,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,22,24,0.202,0.3123,3.87,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,26,28,0.285,0.266,3.22,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,30,32,0.249,0.2836,2.48,0.12,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,34,36,0.284,0.2154,3.16,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,38,40,0.303,0.1831,2.43,0.12,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,42,44,0.309,0.1866,2.51,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,46,48,0.642,0.1281,2.45,0.12,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,50,52,0.38,0.157,2.45,0.12,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,54,56,0.48,0.1904,1.89,0.09,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET5,single set of methods,58,60,0.265,0.1632,1.4,0.07,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,0,1,0.154,NA,6.24,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,2,3,0.231,NA,5.89,0.29,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,4,5,0.242,NA,5.33,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,6,7,0.0713,NA,0.46,0.02,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,8,9,0.193,NA,10.24,0.51,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,10,11,0.242,NA,1.11,0.06,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,12,13,0.14,NA,1.42,0.07,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,14,15,0.272,0.2794,4.25,0.21,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,16,17,0.225,0.2938,6.23,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,18,19,0.329,0.30620000000000003,3.57,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,20,22,0.138,0.3463,3.7,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,24,26,0.173,0.3105,2.62,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,28,30,0.212,0.2992,3.66,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,32,34,0.248,0.2473,2.59,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,36,38,0.223,0.257,2.49,0.12,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,40,42,0.197,0.29,2.25,0.11,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,44,46,0.207,0.2924,2.09,0.1,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,48,50,0.252,0.2034,1.82,0.09,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,52,54,0.194,0.4232,1.73,0.09,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET6,single set of methods,56,58,0.408,0.2962,2.17,0.11,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET7,single set of methods,1,2,0.284,NA,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET7,single set of methods,3,4,0.155,0.2259,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET7,single set of methods,5,6,0.199,0.1829,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET7,single set of methods,7,8,0.207,0.2002,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET7,single set of methods,9,10,0.165,0.2341,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET7,single set of methods,11,12,0.305,0.2115,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,SET7,single set of methods,13,14,0.361,0.2013,NA,NA,disintegrationsPerMinutePerGram
