study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,excess_pb210_activity_se,pb210_unit
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,48,50,1.026,0.013600000000000001,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,50,52,1.038,0.0203,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,52,54,0.801,0.0236,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,0,2,0.182,0.24100000000000002,10.36,0.53,0.43,0.06,9.93,0.53,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,2,4,0.196,0.2126,9.02,0.49,0.56,0.05,8.46,0.5,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,4,6,0.2,0.22760000000000002,6.98,0.48,0.65,0.06,6.33,0.48,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,6,8,0.167,0.19399999999999998,5.71,0.39,0.66,0.05,5.05,0.4,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,8,10,0.212,0.1746,4.95,0.38,0.69,0.05,4.26,0.39,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,10,12,0.185,0.133,4.22,0.29,0.81,0.04,3.42,0.29,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,12,14,0.276,0.1118,2.81,0.25,0.75,0.04,2.06,0.25,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,14,16,0.384,0.0745,3.18,0.26,0.84,0.04,2.34,0.26,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,16,18,0.249,0.08929999999999999,2.11,0.24,0.84,0.04,1.27,0.24,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,18,20,0.309,0.0823,1.75,0.22,0.81,0.04,0.94,0.23,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,20,22,0.344,0.0748,1.66,0.19,0.83,0.04,0.83,0.19,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,22,24,0.418,0.0602,1.78,0.2,0.96,0.03,0.82,0.2,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,24,26,0.458,0.0378,1.39,0.15,1.03,0.04,0.36,0.15,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,26,28,0.57,0.0536,1.44,0.19,1.06,0.04,0.38,0.19,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,28,30,0.673,0.0401,0.9,0.15,1.13,0.04,-0.23,0.16,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,30,32,0.63,0.0418,1.13,0.18,1.07,0.03,0.06,0.18,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,32,34,0.622,0.062400000000000004,0.99,0.14,1,0.04,-0.01,0.14,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,34,36,0.484,0.0858,1.38,0.17,1.06,0.03,0.32,0.17,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,36,38,0.535,0.0613,0.5,0.14,1.06,0.04,-0.55,0.14,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,38,40,0.675,0.0425,1.07,0.23,1.18,0.04,-0.12,0.23,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,40,42,0.594,0.0431,0.84,0.15,1.16,0.04,-0.32,0.16,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,42,44,0.723,0.0335,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,44,46,0.61,0.0391,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,46,48,0.718,0.0277,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,48,50,0.853,0.028399999999999998,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,50,52,0.576,0.0326,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,52,54,0.655,0.0231,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS15,single set of methods,54,56,0.612,0.022400000000000003,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,0,2,0.152,0.22760000000000002,7.47,0.52,0.57,0.09,6.9,0.53,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,2,4,0.173,0.27699999999999997,9.79,0.57,0.44,0.06,9.35,0.57,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,4,6,0.199,0.21710000000000002,5.23,0.5,0.49,0.09,4.74,0.5,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,6,8,0.205,0.1924,3.38,0.36,0.53,0.07,2.86,0.37,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,8,10,0.164,0.2462,3.15,0.31,0.49,0.06,2.66,0.31,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,10,12,0.153,0.26280000000000003,2.93,0.34,0.4,0.07,2.53,0.35,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,12,14,0.211,0.19940000000000002,2.15,0.32,0.55,0.07,1.59,0.32,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,14,16,0.154,0.1986,2.12,0.34,0.66,0.07,1.46,0.35,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,16,18,0.147,0.2224,1.63,0.23,0.55,0.04,1.08,0.23,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,18,20,0.202,0.2032,1.17,0.31,0.81,0.07,0.35,0.32,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,20,22,0.196,0.1421,1.54,0.2,0.69,0.04,0.85,0.21,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,22,24,0.275,0.094,1.26,0.2,0.81,0.04,0.44,0.21,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,24,26,0.432,0.0681,1,0.17,1.12,0.05,-0.12,0.17,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,26,28,0.517,0.055,0.93,0.19,1.01,0.04,-0.07,0.2,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,28,30,0.502,0.0791,0.89,0.15,0.92,0.04,-0.03,0.15,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,30,32,0.394,0.11630000000000001,1.19,0.22,0.97,0.05,0.22,0.22,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,32,34,0.309,0.12,1,0.17,0.87,0.04,0.13,0.18,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,34,36,0.441,0.0848,1.34,0.21,0.94,0.05,0.4,0.22,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,36,38,0.402,0.0635,0.97,0.15,1.04,0.04,-0.07,0.15,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,38,40,0.472,0.048,0.98,0.17,1.15,0.04,-0.17,0.18,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,40,42,0.473,0.0587,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,42,44,0.516,0.049400000000000006,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,44,46,0.505,0.0499,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,46,48,0.366,0.0529,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS16,single set of methods,48,50,0.376,0.059699999999999996,NA,NA,NA,NA,NA,NA,NA
