study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,excess_pb210_activity,excess_pb210_activity_se,pb210_unit,age,age_se,depth_interval_notes,method_id
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,6,9,0.06,0.396,0.272,0.048,picoCuriesPerGram,6.34,0.63,5.98,0.65,disintegrationsPerMinutePerGram,2005,0.2,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,9,12,0.12,0.371,0.342,0.053,picoCuriesPerGram,7.39,0.68,6.58,0.69,disintegrationsPerMinutePerGram,2002.3,0.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,12,15,0.08,0.37,0.361,0.041,picoCuriesPerGram,8.92,0.55,8.32,0.56,disintegrationsPerMinutePerGram,1998.7,0.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,15,18,0.08,0.363,0.29,0.045,picoCuriesPerGram,7.35,0.6,6.69,0.61,disintegrationsPerMinutePerGram,1995.4,0.4,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,18,21,0.07,0.353,0.261,0.036,picoCuriesPerGram,7.62,0.49,6.82,0.5,disintegrationsPerMinutePerGram,1992.3,0.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,21,24,0.11,0.295,0.453,0.042,picoCuriesPerGram,7.47,0.44,6.28,0.45,disintegrationsPerMinutePerGram,1988.1,0.5,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,24,27,0.1,0.269,0.798,0.064,picoCuriesPerGram,5.37,0.45,3.95,0.46,disintegrationsPerMinutePerGram,1983.8,0.6,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,27,30,0.11,0.268,1.244,0.09,picoCuriesPerGram,5.53,0.41,4.3,0.42,disintegrationsPerMinutePerGram,1979.7,0.6,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,30,33,0.09,0.304,1.571,0.115,picoCuriesPerGram,5.46,0.5,4.4,0.51,disintegrationsPerMinutePerGram,1975.3,0.8,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,33,36,0.1,0.251,3.779,0.257,picoCuriesPerGram,4.6,0.47,3.13,0.49,disintegrationsPerMinutePerGram,1971,0.9,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,36,39,0.16,0.189,3.411,0.232,picoCuriesPerGram,4.21,0.43,2.05,0.44,disintegrationsPerMinutePerGram,1966.6,1.2,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,39,42,0.17,0.139,2.214,0.148,picoCuriesPerGram,4.3,0.27,2.22,0.27,disintegrationsPerMinutePerGram,1960.9,1.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,42,45,0.22,0.124,0.221,0.03,picoCuriesPerGram,3.75,0.39,1.79,0.4,disintegrationsPerMinutePerGram,1947.7,4.9,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,51,54,0.27,0.104,0.033,0.017,picoCuriesPerGram,2.99,0.28,0.78,0.29,disintegrationsPerMinutePerGram,1927.3,14.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,57,60,0.33,0.066,0.035,0.012,picoCuriesPerGram,3.5,0.21,0.67,0.22,disintegrationsPerMinutePerGram,1884.8,79,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,0,3,0.08,0.367,0.226,0.039,picoCuriesPerGram,8.51,0.61,7.11,0.62,disintegrationsPerMinutePerGram,2009,0.1,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,3,6,0.08,0.335,0.272,0.036,picoCuriesPerGram,9.4,0.56,8.2,0.57,disintegrationsPerMinutePerGram,2005.9,0.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,6,9,0.06,0.366,0.257,0.042,picoCuriesPerGram,8.07,0.61,6.99,0.63,disintegrationsPerMinutePerGram,2003.1,0.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,9,12,0.09,0.338,0.193,0.042,picoCuriesPerGram,9.07,0.65,7.82,0.66,disintegrationsPerMinutePerGram,1999.9,0.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,12,15,0.07,0.35,0.249,0.043,picoCuriesPerGram,9.33,0.64,8.15,0.65,disintegrationsPerMinutePerGram,1995.7,0.4,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,15,18,0.1,0.288,0.414,0.039,picoCuriesPerGram,6.61,0.43,5.61,0.43,disintegrationsPerMinutePerGram,1991.3,0.5,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,18,21,0.12,0.319,0.679,0.058,picoCuriesPerGram,5.68,0.47,4.45,0.48,disintegrationsPerMinutePerGram,1986.5,0.6,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,21,24,0.1,0.339,0.675,0.06,picoCuriesPerGram,5.77,0.51,4.8,0.53,disintegrationsPerMinutePerGram,1981.5,0.7,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,24,27,0.1,0.297,1.448,0.101,picoCuriesPerGram,6.18,0.39,5.03,0.39,disintegrationsPerMinutePerGram,1975.8,0.8,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,27,30,0.09,0.297,3.825,0.259,picoCuriesPerGram,5.71,0.45,4.59,0.46,disintegrationsPerMinutePerGram,1969.4,1.1,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,30,33,0.13,0.208,4.874,0.326,picoCuriesPerGram,5.7,0.42,3.7,0.43,disintegrationsPerMinutePerGram,1961.4,1.7,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,33,36,0.12,0.169,2.922,0.201,picoCuriesPerGram,4.71,0.46,2.92,0.48,disintegrationsPerMinutePerGram,1951.4,3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,36,39,0.14,0.181,1.22,0.094,picoCuriesPerGram,3.96,0.48,2.25,0.49,disintegrationsPerMinutePerGram,1940,4.8,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,39,42,0.17,0.157,0.836,0.065,picoCuriesPerGram,3.58,0.39,1.38,0.4,disintegrationsPerMinutePerGram,1926.5,8.5,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,42,45,0.19,0.137,0.313,0.028,picoCuriesPerGram,3.56,0.27,0.98,0.28,disintegrationsPerMinutePerGram,1909.7,16.4,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_3,45,48,0.17,0.15,0.117,0.022,picoCuriesPerGram,3.62,0.32,0.82,0.33,disintegrationsPerMinutePerGram,1884.9,50.3,NA,single set of methods
