"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"96","Ruranska et al 2022","PR Maydays 4","Maydays","Maydays 4","Salt marsh","Organic",51.80207,0.93549198,"direct from dataset","1","UK",2019,0,0.1,"EA",13.1,42.86,0.25,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"97","Ruranska et al 2022","PR Maydays 5","Maydays","Maydays 5","Salt marsh","Organic",51.80143,0.93564259,"direct from dataset","1","UK",2019,0,0.1,"EA",26.67,53.02,0.17,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"98","Ruranska et al 2022","PR Milburn (Avon) 1","Milburn (Avon)","Milburn (Avon) 1","Salt marsh","Not Sandy",50.30779,-3.853471,"direct from dataset","1","UK",2019,0,0.1,"EA",8.02,20.1,0.41,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"99","Ruranska et al 2022","PR Milburn (Avon) 2","Milburn (Avon)","Milburn (Avon) 2","Salt marsh","Not Sandy",50.30783,-3.853107,"direct from dataset","1","UK",2019,0,0.1,"EA",12.07,22.9,0.35,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"100","Ruranska et al 2022","PR Milburn (Avon) 3","Milburn (Avon)","Milburn (Avon) 3","Salt marsh","Not Sandy",50.30779,-3.853416,"direct from dataset","1","UK",2019,0,0.1,"EA",7.37,25.59,0.28,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"101","Ruranska et al 2022","PR Milburn (Avon) 4","Milburn (Avon)","Milburn (Avon) 4","Salt marsh","Not Sandy",50.30785,-3.853192,"direct from dataset","1","UK",2019,0,0.1,"EA",12.52,26.84,0.3,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"102","Ruranska et al 2022","PR Milburn (Avon) 5","Milburn (Avon)","Milburn (Avon) 5","Salt marsh","Not Sandy",50.30787,-3.853015,"direct from dataset","1","UK",2019,0,0.1,"EA",8.63,29.31,0.26,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"103","Ruranska et al 2022","PR Morston 1","Morston","Morston 1","Salt marsh","Not Sandy",52.96465,0.98447378,"direct from dataset","1","UK",2019,0,0.1,"EA",4.64,12.71,1.05,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"104","Ruranska et al 2022","PR Morston 2","Morston","Morston 2","Salt marsh","Not Sandy",52.96465,0.98447378,"direct from dataset","1","UK",2019,0,0.1,"EA",5.26,13.43,0.54,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"105","Ruranska et al 2022","PR Morston 3","Morston","Morston 3","Salt marsh","Not Sandy",52.96465,0.98447378,"direct from dataset","1","UK",2019,0,0.1,"EA",5.04,14.23,0.65,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"106","Ruranska et al 2022","PR Morston 4","Morston","Morston 4","Salt marsh","Not Sandy",52.96465,0.98447378,"direct from dataset","1","UK",2019,0,0.1,"EA",4.46,16.03,0.63,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"107","Ruranska et al 2022","PR Morston 5","Morston","Morston 5","Salt marsh","Not Sandy",52.96465,0.98447378,"direct from dataset","1","UK",2019,0,0.1,"EA",11.27,16.88,0.43,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"108","Ruranska et al 2022","PR New Water Haugh 1","New Water Haugh","New Water Haugh 1","Salt marsh","Not Sandy",55.76704,-2.036701944,"direct from dataset","1","UK",2019,0,0.1,"EA",5.84,14.57,0.75,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"109","Ruranska et al 2022","PR New Water Haugh 2","New Water Haugh","New Water Haugh 2","Salt marsh","Not Sandy",55.76683,-2.036923333,"direct from dataset","1","UK",2019,0,0.1,"EA",7.6,21.48,0.52,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"110","Ruranska et al 2022","PR New Water Haugh 3","New Water Haugh","New Water Haugh 3","Salt marsh","Not Sandy",55.76676,-2.037009444,"direct from dataset","1","UK",2019,0,0.1,"EA",8.44,23.96,0.46,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"111","Ruranska et al 2022","PR New Water Haugh 4","New Water Haugh","New Water Haugh 4","Salt marsh","Not Sandy",55.76696,-2.036748889,"direct from dataset","1","UK",2019,0,0.1,"EA",9.16,27.29,0.37,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"112","Ruranska et al 2022","PR New Water Haugh 5","New Water Haugh","New Water Haugh 5","Salt marsh","Not Sandy",55.76692,-2.036826389,"direct from dataset","1","UK",2019,0,0.1,"EA",10.06,29.18,0.29,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"113","Ruranska et al 2022","PR Newport Gwent 1","Newport Gwent","Newport Gwent 1","Salt marsh","Sandy ",51.54042,-2.9712693,"direct from dataset","1","UK",2019,0,0.1,"EA",3.78,6.07,0.96,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"114","Ruranska et al 2022","PR Newport Gwent 2","Newport Gwent","Newport Gwent 2","Salt marsh","Sandy ",51.53967,-2.9722608,"direct from dataset","1","UK",2019,0,0.1,"EA",3.31,6.79,0.94,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"115","Ruranska et al 2022","PR North Binness Island 1","North Binness Island","North Binness Island 1","Salt marsh","Not Sandy",50.82763,-1.029358333,"direct from dataset","1","UK",2019,0,0.1,"EA",5.74,11.28,0.57,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"116","Ruranska et al 2022","PR North Binness Island 2","North Binness Island","North Binness Island 2","Salt marsh","Not Sandy",50.82759,-1.029338889,"direct from dataset","1","UK",2019,0,0.1,"EA",4.67,11.52,0.77,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"117","Ruranska et al 2022","PR North Binness Island 3","North Binness Island","North Binness Island 3","Salt marsh","Not Sandy",50.82757,-1.0294,"direct from dataset","1","UK",2019,0,0.1,"EA",4.84,12.6,0.7,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"118","Ruranska et al 2022","PR North Binness Island 4","North Binness Island","North Binness Island 4","Salt marsh","Not Sandy",50.82759,-1.029341667,"direct from dataset","1","UK",2019,0,0.1,"EA",4.74,12.9,0.68,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"119","Ruranska et al 2022","PR North Binness Island 5","North Binness Island","North Binness Island 5","Salt marsh","Not Sandy",50.82759,-1.029330556,"direct from dataset","1","UK",2019,0,0.1,"EA",7.02,13.16,0.59,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"120","Ruranska et al 2022","PR Northey Island 1","Northey Island","Northey Island 1","Salt marsh","Not Sandy",51.71906,0.71601749,"direct from dataset","1","UK",2019,0,0.1,"EA",5.55,11.15,0.95,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"121","Ruranska et al 2022","PR Northey Island 2","Northey Island","Northey Island 2","Salt marsh","Not Sandy",51.7193,0.71583966,"direct from dataset","1","UK",2019,0,0.1,"EA",9.72,14.1,0.55,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"122","Ruranska et al 2022","PR Northey Island 3","Northey Island","Northey Island 3","Salt marsh","Not Sandy",51.71917,0.71592917,"direct from dataset","1","UK",2019,0,0.1,"EA",9.57,14.38,0.51,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"123","Ruranska et al 2022","PR Northey Island 4","Northey Island","Northey Island 4","Salt marsh","Not Sandy",51.71956,0.71565304,"direct from dataset","1","UK",2019,0,0.1,"EA",6.9,16.18,0.69,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"124","Ruranska et al 2022","PR Parrog 1","Parrog","Parrog 1","Salt marsh","Sandy ",52.02206,-4.833574,"direct from dataset","1","UK",2019,0,0.1,"EA",0.88,1.83,1.5,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"125","Ruranska et al 2022","PR Parrog 2","Parrog","Parrog 2","Salt marsh","Sandy ",52.02192,-4.8335,"direct from dataset","1","UK",2019,0,0.1,"EA",1.45,3.07,1.3,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"126","Ruranska et al 2022","PR Parrog 3","Parrog","Parrog 3","Salt marsh","Sandy ",52.02164,-4.83349,"direct from dataset","1","UK",2019,0,0.1,"EA",3.74,5.84,1.03,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"127","Ruranska et al 2022","PR Penhill 1","Penhill","Penhill 1","Salt marsh","Not Sandy",51.08278,-4.098333333,"direct from dataset","1","UK",2019,0,0.1,"EA",4.36,8.14,0.77,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"128","Ruranska et al 2022","PR Penhill 2","Penhill","Penhill 2","Salt marsh","Not Sandy",51.0825,-4.098611111,"direct from dataset","1","UK",2019,0,0.1,"EA",6.26,11.92,0.66,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"129","Ruranska et al 2022","PR Penhill 3","Penhill","Penhill 3","Salt marsh","Not Sandy",51.08167,-4.09955,"direct from dataset","1","UK",2019,0,0.1,"EA",6.46,12.48,0.59,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"130","Ruranska et al 2022","PR Penhill 4","Penhill","Penhill 4","Salt marsh","Not Sandy",51.08139,-4.099444444,"direct from dataset","1","UK",2019,0,0.1,"EA",7.63,14.94,0.62,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"131","Ruranska et al 2022","PR Penhill 5","Penhill","Penhill 5","Salt marsh","Not Sandy",51.0803,-4.10005,"direct from dataset","1","UK",2019,0,0.1,"EA",9.91,19.06,0.55,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"132","Ruranska et al 2022","PR Polwheverel 1","Polwheverel","Polwheverel 1","Salt marsh","Not Sandy",50.11239,-5.1650596,"direct from dataset","1","UK",2019,0,0.1,"EA",10.3,26.25,0.28,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"133","Ruranska et al 2022","PR Polwheverel 2","Polwheverel","Polwheverel 2","Salt marsh","Not Sandy",50.11238,-5.1652207,"direct from dataset","1","UK",2019,0,0.1,"EA",14.06,28.39,0.31,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"134","Ruranska et al 2022","PR Polwheverel 3","Polwheverel","Polwheverel 3","Salt marsh","Not Sandy",50.11236,-5.1654142,"direct from dataset","1","UK",2019,0,0.1,"EA",9.7,29.84,0.33,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"135","Ruranska et al 2022","PR Polwheverel 4","Polwheverel","Polwheverel 4","Salt marsh","Not Sandy",50.11248,-5.16520975,"direct from dataset","1","UK",2019,0,0.1,"EA",10.5,30.84,0.33,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"136","Ruranska et al 2022","PR RAF Wainfleet 1","RAF Wainfleet","RAF Wainfleet 1","Salt marsh","Not Sandy",53.055,0.23918062,"direct from dataset","1","UK",2019,0,0.1,"EA",3.78,7.58,1.05,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"137","Ruranska et al 2022","PR RAF Wainfleet 2","RAF Wainfleet","RAF Wainfleet 2","Salt marsh","Not Sandy",53.05251,0.24178237,"direct from dataset","1","UK",2019,0,0.1,"EA",4.83,8.7,1.12,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"138","Ruranska et al 2022","PR RAF Wainfleet 3","RAF Wainfleet","RAF Wainfleet 3","Salt marsh","Not Sandy",53.05446,0.23977071,"direct from dataset","1","UK",2019,0,0.1,"EA",4.83,9.29,1.22,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"139","Ruranska et al 2022","PR RAF Wainfleet 4","RAF Wainfleet","RAF Wainfleet 4","Salt marsh","Not Sandy",53.05385,0.24041578,"direct from dataset","1","UK",2019,0,0.1,"EA",4.02,9.9,1.01,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"140","Ruranska et al 2022","PR RAF Wainfleet 5","RAF Wainfleet","RAF Wainfleet 5","Salt marsh","Not Sandy",53.05316,0.24110645,"direct from dataset","1","UK",2019,0,0.1,"EA",4.5,10.47,1.03,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"141","Ruranska et al 2022","PR Red Wharf Bay 1","Red Wharf Bay","Red Wharf Bay 1","Salt marsh","Sandy ",53.29656,-4.187859535,"direct from dataset","1","UK",2019,0,0.1,"EA",1.2,1.64,1.24,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"142","Ruranska et al 2022","PR Red Wharf Bay 2","Red Wharf Bay","Red Wharf Bay 2","Salt marsh","Sandy ",53.29652,-4.187846661,"direct from dataset","1","UK",2019,0,0.1,"EA",1.07,2.46,1.17,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"143","Ruranska et al 2022","PR Red Wharf Bay 3","Red Wharf Bay","Red Wharf Bay 3","Salt marsh","Sandy ",53.29658,-4.187870026,"direct from dataset","1","UK",2019,0,0.1,"EA",2.31,4.95,1,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"144","Ruranska et al 2022","PR Red Wharf Bay 4","Red Wharf Bay","Red Wharf Bay 4","Salt marsh","Not Sandy",53.29662,-4.187976837,"direct from dataset","1","UK",2019,0,0.1,"EA",4.62,8.72,0.8,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"145","Ruranska et al 2022","PR Rockcliffe 1","Rockcliffe","Rockcliffe 1","Salt marsh","Not sandy",54.967,-3.0462,"direct from dataset","1","UK",2019,0,0.1,"EA",13.63,33.5,0.409,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"146","Ruranska et al 2022","PR Rockcliffe 2","Rockcliffe","Rockcliffe 2","Salt marsh","Not sandy",54.9663,-3.0442,"direct from dataset","1","UK",2019,0,0.1,"EA",6.58,14.3,0.632,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"147","Ruranska et al 2022","PR Rockcliffe 3","Rockcliffe","Rockcliffe 3","Salt marsh","Not sandy",54.9652,-3.0427,"direct from dataset","1","UK",2019,0,0.1,"EA",2.91,9.18,1.031,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"148","Ruranska et al 2022","PR Rockcliffe 4","Rockcliffe","Rockcliffe 4","Salt marsh","Not sandy",54.965,-3.0403,"direct from dataset","1","UK",2019,0,0.1,"EA",8.07,14.51,0.683,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"149","Ruranska et al 2022","PR Rockcliffe 5","Rockcliffe","Rockcliffe 5","Salt marsh","Not sandy",54.9646,-3.0372,"direct from dataset","1","UK",2019,0,0.1,"EA",4.51,7.38,1.022,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"150","Ruranska et al 2022","PR Scarth Bight 1","Scarth Bight","Scarth Bight 1","Salt marsh","Sandy ",54.155695,-3.2385676,"direct from dataset","1","UK",2019,0,0.1,"EA",0.05,2.74,1.97,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"151","Ruranska et al 2022","PR Scarth Bight 2","Scarth Bight","Scarth Bight 2","Salt marsh","Sandy ",54.155988,-3.238071,"direct from dataset","1","UK",2019,0,0.1,"EA",0.65,3.46,1.22,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"152","Ruranska et al 2022","PR Scarth Bight 3","Scarth Bight","Scarth Bight 3","Salt marsh","Sandy ",54.155851,-3.2383119,"direct from dataset","1","UK",2019,0,0.1,"EA",2.3,5.36,0.82,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"153","Ruranska et al 2022","PR Scarth Bight 4","Scarth Bight","Scarth Bight 4","Salt marsh","Sandy ",54.156161,-3.2378618,"direct from dataset","1","UK",2019,0,0.1,"EA",2.65,6.47,0.82,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"154","Ruranska et al 2022","PR Scarth Bight 5","Scarth Bight","Scarth Bight 5","Salt marsh","Not Sandy",54.155531,-3.238823,"direct from dataset","1","UK",2019,0,0.1,"EA",4.62,12.4,1.57,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"155","Ruranska et al 2022","PR Seaton Burn 1","Seaton Burn","Seaton Burn 1","Salt marsh","Organic",55.0814,-1.477813889,"direct from dataset","1","UK",2019,0,0.1,"EA",28.55,52.16,0.28,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"156","Ruranska et al 2022","PR Seaton Burn 2","Seaton Burn","Seaton Burn 2","Salt marsh","Organic",55.08117,-1.477893333,"direct from dataset","1","UK",2019,0,0.1,"EA",28.47,53.19,0.28,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"157","Ruranska et al 2022","PR Seaton Burn 3","Seaton Burn","Seaton Burn 3","Salt marsh","Organic",55.081165,-1.477893,"direct from dataset","1","UK",2019,0,0.1,"EA",24.57,47.1,0.36,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"158","Ruranska et al 2022","PR Seaton Burn 4","Seaton Burn","Seaton Burn 4","Salt marsh","Organic",55.081399,-1.477814,"direct from dataset","1","UK",2019,0,0.1,"EA",28.47,53.19,0.24,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"159","Ruranska et al 2022","PR Shirehall Moore 1","Shirehall Moore","Shirehall Moore 1","Salt marsh","Not Sandy",50.39452,-4.664022222,"direct from dataset","1","UK",2019,0,0.1,"EA",11.92,17.23,0.4,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"160","Ruranska et al 2022","PR Shirehall Moore 2","Shirehall Moore","Shirehall Moore 2","Salt marsh","Not Sandy",50.39458,-4.662302778,"direct from dataset","1","UK",2019,0,0.1,"EA",12.33,17.88,0.4,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"161","Ruranska et al 2022","PR Shirehall Moore 3","Shirehall Moore","Shirehall Moore 3","Salt marsh","Not Sandy",50.39453,-4.663563889,"direct from dataset","1","UK",2019,0,0.1,"EA",8.5,19.58,0.42,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"162","Ruranska et al 2022","PR Shirehall Moore 4","Shirehall Moore","Shirehall Moore 4","Salt marsh","Not Sandy",50.39446,-4.663327778,"direct from dataset","1","UK",2019,0,0.1,"EA",12.35,32.8,0.28,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"163","Ruranska et al 2022","PR Shirehall Moore 5","Shirehall Moore","Shirehall Moore 5","Salt marsh","Organic",50.39449,-4.662702778,"direct from dataset","1","UK",2019,0,0.1,"EA",19.13,48.42,0.19,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"164","Ruranska et al 2022","PR Shotley Gate 1","Shotley Gate","Shotley Gate 1","Salt marsh","Sandy ",51.96028,1.2475,"direct from dataset","1","UK",2019,0,0.1,"EA",1,0.5,1.58,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"165","Ruranska et al 2022","PR Shotley Gate 2","Shotley Gate","Shotley Gate 2","Salt marsh","Sandy ",51.96,1.2475,"direct from dataset","1","UK",2019,0,0.1,"EA",1.23,1.97,1.49,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"166","Ruranska et al 2022","PR Shotley Gate 3","Shotley Gate","Shotley Gate 3","Salt marsh","Sandy ",51.96,1.2475,"direct from dataset","1","UK",2019,0,0.1,"EA",1.71,2.65,1.01,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"167","Ruranska et al 2022","PR Shotley Gate 4","Shotley Gate","Shotley Gate 4","Salt marsh","Sandy ",51.96056,1.2475,"direct from dataset","1","UK",2019,0,0.1,"EA",0.44,2.68,1.2,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"168","Ruranska et al 2022","PR Shotley Gate 5","Shotley Gate","Shotley Gate 5","Salt marsh","Sandy ",51.96028,1.2475,"direct from dataset","1","UK",2019,0,0.1,"EA",0.33,2.82,1.26,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"169","Ruranska et al 2022","PR Sleekburn 1","Sleekburn","Sleekburn 1","Salt marsh","Not Sandy",55.14632,-1.557855556,"direct from dataset","1","UK",2019,0,0.1,"EA",11.88,26.57,0.41,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"170","Ruranska et al 2022","PR Sleekburn 2","Sleekburn","Sleekburn 2","Salt marsh","Not Sandy",55.14628,-1.557848611,"direct from dataset","1","UK",2019,0,0.1,"EA",13.09,26.81,0.45,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"171","Ruranska et al 2022","PR Sleekburn 3","Sleekburn","Sleekburn 3","Salt marsh","Not Sandy",55.14628,-1.557812778,"direct from dataset","1","UK",2019,0,0.1,"EA",14.33,28.66,0.45,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"172","Ruranska et al 2022","PR Sleekburn 4","Sleekburn","Sleekburn 4","Salt marsh","Not Sandy",55.14641,-1.558090556,"direct from dataset","1","UK",2019,0,0.1,"EA",9.46,30.34,0.42,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"173","Ruranska et al 2022","PR Sleekburn 5","Sleekburn","Sleekburn 5","Salt marsh","Not Sandy",55.14642,-1.558106111,"direct from dataset","1","UK",2019,0,0.1,"EA",14.95,33.99,0.37,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"174","Ruranska et al 2022","PR Snape 1","Snape","Snape 1","Salt marsh","Not Sandy",52.16306,1.5089204,"direct from dataset","1","UK",2019,0,0.1,"EA",11.12,24.45,0.45,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"175","Ruranska et al 2022","PR Snape 2","Snape","Snape 2","Salt marsh","Not Sandy",52.16332,1.5095114,"direct from dataset","1","UK",2019,0,0.1,"EA",22.56,37.12,0.24,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"176","Ruranska et al 2022","PR Snape 3","Snape","Snape 3","Salt marsh","Not Sandy",52.16324,1.5093292,"direct from dataset","1","UK",2019,0,0.1,"EA",19.07,39.41,0.31,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"177","Ruranska et al 2022","PR Snape 4","Snape","Snape 4","Salt marsh","Organic",52.16341,1.5096352,"direct from dataset","1","UK",2019,0,0.1,"EA",24.93,57.96,0.19,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"178","Ruranska et al 2022","PR Spinny 1","Spinny","Spinny 1","Salt marsh","Not Sandy",52.0316,1.3384427,"direct from dataset","1","UK",2019,0,0.1,"EA",5.42,14.97,0.44,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"179","Ruranska et al 2022","PR Spinny 2","Spinny","Spinny 2","Salt marsh","Not Sandy",52.03168,1.3381424,"direct from dataset","1","UK",2019,0,0.1,"EA",9.05,24.98,0.36,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"180","Ruranska et al 2022","PR Stoke 1","Stoke","Stoke 1","Salt marsh","Not Sandy",51.4153,0.5791,"direct from dataset","1","UK",2019,0,0.1,"EA",10.42,22.8,0.4,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"181","Ruranska et al 2022","PR Stoke 2","Stoke","Stoke 2","Salt marsh","Not Sandy",51.4159,0.579,"direct from dataset","1","UK",2019,0,0.1,"EA",9.3,22.99,0.39,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"182","Ruranska et al 2022","PR Stoke 3","Stoke","Stoke 3","Salt marsh","Not Sandy",51.4157,0.5791,"direct from dataset","1","UK",2019,0,0.1,"EA",8.99,23.86,0.39,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"183","Ruranska et al 2022","PR Stoke 4","Stoke","Stoke 4","Salt marsh","Not Sandy",51.4156,0.5791,"direct from dataset","1","UK",2019,0,0.1,"EA",10.88,26.65,0.31,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"184","Ruranska et al 2022","PR Stoke 5","Stoke","Stoke 5","Salt marsh","Not Sandy",51.4154,0.5791,"direct from dataset","1","UK",2019,0,0.1,"EA",10.73,37.01,0.22,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"185","Ruranska et al 2022","PR Swanscombe 1","Swanscombe","Swanscombe 1","Salt marsh","Not Sandy",51.45866,0.30063439,"direct from dataset","1","UK",2019,0,0.1,"EA",7.67,16.12,0.48,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"186","Ruranska et al 2022","PR Swanscombe 2","Swanscombe","Swanscombe 2","Salt marsh","Not Sandy",51.45866,0.30063439,"direct from dataset","1","UK",2019,0,0.1,"EA",8.09,16.5,0.66,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"187","Ruranska et al 2022","PR Swanscombe 3","Swanscombe","Swanscombe 3","Salt marsh","Not Sandy",51.45866,0.30063439,"direct from dataset","1","UK",2019,0,0.1,"EA",7.33,19.66,0.43,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"188","Ruranska et al 2022","PR Swanscombe 4","Swanscombe","Swanscombe 4","Salt marsh","Not Sandy",51.45866,0.30063439,"direct from dataset","1","UK",2019,0,0.1,"EA",14.1,27.43,0.57,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"189","Ruranska et al 2022","PR Tetney Haven 1","Tetney Haven","Tetney Haven 1","Salt marsh","Sandy ",53.52326,0.021127778,"direct from dataset","1","UK",2019,0,0.1,"EA",2.34,3.75,1.26,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"190","Ruranska et al 2022","PR Tetney Haven 2","Tetney Haven","Tetney Haven 2","Salt marsh","Sandy ",53.52451,0.023744444,"direct from dataset","1","UK",2019,0,0.1,"EA",1.69,3.82,1.49,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"191","Ruranska et al 2022","PR Tetney Haven 3","Tetney Haven","Tetney Haven 3","Salt marsh","Sandy ",53.52385,0.022508333,"direct from dataset","1","UK",2019,0,0.1,"EA",1.99,4.04,1.53,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"192","Ruranska et al 2022","PR Tetney Haven 4","Tetney Haven","Tetney Haven 4","Salt marsh","Sandy ",53.5232,0.020708333,"direct from dataset","1","UK",2019,0,0.1,"EA",2.19,4.47,1.34,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
