study_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,c14_material,c14_age,c14_age_se,age_min,age_max,delta_c13,sample_id,marker_date,marker_date_se,marker_notes,marker_type,method_id,site_id
Gerlach_et_al_2017,LMR_14_9B,11,12,0.333,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1930,5,Initial increase of lead concentrations due to introduction of leaded gasoline and increased private ownership of motor vehicles in western Florida.,pollution,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,12,13,0.213,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,13,14,0.237,0.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,14,15,0.232,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,15,16,0.215,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,16,17,0.178,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,17,18,0.165,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,18,19,0.183,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,19,20,0.167,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,19,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1905,10,First reliable observation of introduced ornamental Casuarina pollen.,pollen,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,20,21,0.188,0.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,21,22,0.185,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,22,23,0.172,0.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,23,24,0.221,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,24,25,0.269,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,25,26,0.19,0.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,26,27,0.224,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,27,28,0.22,0.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,28,29,0.181,0.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,29,30,0.203,0.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,30,31,0.235,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,31,32,0.32,0.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,32,33,0.179,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,32,32,NA,NA,Wood,155,15,4,281,-26.52,OS-124600,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,33,34,0.241,0.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,34,35,0.231,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,35,36,0.224,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,36,37,0.181,0.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,37,38,0.223,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,38,39,0.269,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,39,40,0.295,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,40,41,0.301,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,41,42,0.358,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,42,43,0.312,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,42.5,42.5,NA,NA,Juncus roemerianus rhizome and stem,315,15,307,451,-26.87,OS-117078,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,43,44,0.249,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,44,45,0.287,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,45,46,0.276,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,45.5,45.5,NA,NA,Juncus roemerianus rhizome and stem,350,15,318,480,-27.25,OS-120430,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,46,47,0.299,0.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,47,48,0.24,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,48,49,0.205,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,49,50,0.331,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,50,51,0.141,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,51,52,0.145,0.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,52,53,0.169,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,53,54,0.135,0.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,53,53,NA,NA,Wood,500,15,512,538,-26.54,OS-122169,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,54,55,0.17,0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,55,56,0.113,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,55,55,NA,NA,Wood,320,15,308,454,-25.92,OS-122170,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,56,57,0.145,0.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,57,58,0.141,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,58,59,0.134,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,59,60,0.14,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,59,59,NA,NA,Wood,525,15,518,547,-26.56,OS-124620,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,60,61,0.129,0.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,61,62,0.156,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,62,63,0.128,0.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,63,64,0.134,0.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,64,65,0.173,0.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,65,66,0.182,0.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,65,65,NA,NA,Wood,630,20,556,660,-25.92,OS-122171,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,66,67,0.134,0.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,67,68,0.131,0.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,68,69,0.171,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,69,70,0.152,0.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,70,71,0.131,0.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,71,72,0.142,0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,72,73,0.156,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,73,74,0.195,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,74,75,0.159,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,74,74,NA,NA,Wood,1140,15,978,1170,-26.24,OS-122172,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,75,76,0.16,0.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,76,77,0.253,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,77,78,0.207,0.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,78,79,0.175,0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,79,80,0.149,0.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,80,81,0.178,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,80,80,NA,NA,Wood,1240,20,1082,1263,-24.53,OS-122173,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,81,82,0.15,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,82,83,0.145,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,83,84,0.169,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,84,85,0.135,0.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,85,86,0.134,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,86,87,0.139,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,87,88,0.187,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,87,87,NA,NA,Wood,1810,15,1707,1814,-26.54,OS-124621,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,88,89,0.183,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,89,90,0.187,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,90,91,0.241,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,91,92,0.292,0.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,92,93,0.309,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,93,94,0.311,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,94,95,0.321,0.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,95,96,0.279,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,95,95,NA,NA,Wood,1940,20,1826,1932,-28.69,OS-124601,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,96,97,0.389,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,97,98,0.383,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,98,99,0.46,0.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,99,100,0.428,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,100,101,0.349,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,100,100,NA,NA,Juncus roemerianus rhizome and stem,2150,20,2060,2300,-27.91,OS-117075,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,101,102,0.275,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,102,103,0.363,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,103,104,0.396,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,104,105,0.325,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,105,106,0.495,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,106,107,0.81,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,106.5,106.5,NA,NA,Juncus roemerianus rhizome and stem,2140,15,2061,2294,-28.02,OS-120368,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,107,108,0.487,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,108,109,0.318,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,109,110,0.301,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,110,111,0.502,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,110,110,NA,NA,Wood,2120,20,2007,2150,-27.54,OS-122175,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,111,112,0.774,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,112,113,0.647,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,113,114,0.695,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,114,115,0.812,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,115,116,0.766,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,116,117,0.571,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,117,118,0.392,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,118,119,0.607,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,119,120,0.66,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,120,121,0.587,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,120,120,NA,NA,Juncus roemerianus rhizome and stem,2100,20,2001,2129,-28.41,OS-116955,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,120,120,NA,NA,Juncus roemerianus rhizome and stem,2180,15,2126,2305,-27.46,OS-120322,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,121,122,0.418,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,122,123,0.384,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
Gerlach_et_al_2017,LMR_14_9B,123,124,0.521,0.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Mill_Bayou
