study_id,site_id,core_id,latitude,longitude,year,habitat,country
Bukoski et al 2017,KB5 Core 1,M1540,8,99,2015,mangrove,Thailand
Bukoski et al 2017,KB5 Core 2,M1541,8,99,2015,mangrove,Thailand
Bukoski et al 2017,KB6 Core 1,M1542,8.1,98.9,2015,mangrove,Thailand
Bukoski et al 2017,KB6 Core 2,M1543,8.1,98.9,2015,mangrove,Thailand
Bukoski et al 2017,KB7 Core 1,M1544,8,99,2015,mangrove,Thailand
Bukoski et al 2017,KB7 Core 2,M1545,8,99,2015,mangrove,Thailand
Bukoski et al 2017,PP1 Core 1,M1546,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP1 Core 2,M1547,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP4 Core 1,M1552,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP4 Core 2,M1553,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP5 Core 1,M1554,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP5 Core 2,M1555,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP6 Core 1,M1556,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP6 Core 2,M1557,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP7 Core 1,M1558,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP7 Core 2,M1559,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP9 Core 1,M1562,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,PP9 Core 2,M1563,8.4,100.2,2015,mangrove,Thailand
Bukoski et al 2017,AB1 Core 1,M1585,9.8,104.9,2015,mangrove,Vietnam
Bukoski et al 2017,AM1 Core 1,M1586,9.7,104.9,2015,mangrove,Vietnam
Bukoski et al 2017,VR2 Core 1,M1587,10.1,105,2015,mangrove,Vietnam
Bukoski et al 2017,VR3 Core 1,M1588,10.1,105,2015,mangrove,Vietnam
Bukoski et al 2017,VR4 Core 1,M1589,10.1,105,2015,mangrove,Vietnam
Donato et al 2011,DCD11 G1,M1379,22.3,89.6,2009,mangrove,Bangladesh
Donato et al 2011,DCD11 G2,M1434,22.3,89.6,2009,mangrove,Bangladesh
Nam et al 2016,CG.1.13 Plot 1,M1590,10.4833,106.94244,2013,mangrove,Vietnam
Nam et al 2016,CG.1.13 Plot 2,M1591,10.483467,106.942305,2013,mangrove,Vietnam
Nam et al 2016,CG.1.13 Plot 3,M1592,10.483633,106.942149,2013,mangrove,Vietnam
Nam et al 2016,CG.1.13 Plot 4,M1593,10.483808,106.942027,2013,mangrove,Vietnam
Nam et al 2016,CG.1.13 Plot 5,M1594,10.483983,106.941889,2013,mangrove,Vietnam
Nam et al 2016,CG.1.13 Plot 6,M1595,10.484147,106.941746,2013,mangrove,Vietnam
Nam et al 2016,CG.1.14 Plot 1,M1596,10.43691,106.93222,2013,mangrove,Vietnam
Nam et al 2016,CG.1.14 Plot 2,M1597,10.436698,106.932185,2013,mangrove,Vietnam
Nam et al 2016,CG.1.14 Plot 3,M1598,10.436465,106.932159,2013,mangrove,Vietnam
Nam et al 2016,CG.1.14 Plot 4,M1599,10.436235,106.932136,2013,mangrove,Vietnam
Nam et al 2016,CG.1.14 Plot 5,M1600,10.43598,106.932127,2013,mangrove,Vietnam
Nam et al 2016,CG.1.14 Plot 6,M1601,10.435749,106.932101,2013,mangrove,Vietnam
Nam et al 2016,CG.2.13 Plot 1,M1602,10.44025,106.85522,2013,mangrove,Vietnam
Nam et al 2016,CG.2.13 Plot 2,M1603,10.440309,106.854987,2013,mangrove,Vietnam
Nam et al 2016,CG.2.13 Plot 3,M1604,10.440359,106.85477,2013,mangrove,Vietnam
Nam et al 2016,CG.2.13 Plot 4,M1605,10.44044,106.854549,2013,mangrove,Vietnam
Nam et al 2016,CG.2.13 Plot 5,M1606,10.440532,106.854346,2013,mangrove,Vietnam
Nam et al 2016,CG.2.13 Plot 6,M1607,10.440599,106.854126,2013,mangrove,Vietnam
Nam et al 2016,CG.2.14 Plot 1,M1608,10.532235,106.929324,2013,mangrove,Vietnam
Nam et al 2016,CG.2.14 Plot 2,M1609,10.532437,106.929391,2013,mangrove,Vietnam
Nam et al 2016,CG.2.14 Plot 3,M1610,10.532654,106.929425,2013,mangrove,Vietnam
Nam et al 2016,CG.2.14 Plot 4,M1611,10.532867,106.929471,2013,mangrove,Vietnam
Nam et al 2016,CG.2.14 Plot 5,M1612,10.533075,106.929515,2013,mangrove,Vietnam
Nam et al 2016,CG.2.14 Plot 6,M1613,10.53328,106.929588,2013,mangrove,Vietnam
Nam et al 2016,CG.3.13 Plot 1,M1614,10.50244,106.82172,2013,mangrove,Vietnam
Nam et al 2016,CG.3.13 Plot 2,M1615,10.502406,106.821957,2013,mangrove,Vietnam
Nam et al 2016,CG.3.13 Plot 3,M1616,10.502351,106.822206,2013,mangrove,Vietnam
Nam et al 2016,CG.3.13 Plot 4,M1617,10.502328,106.822433,2013,mangrove,Vietnam
Nam et al 2016,CG.3.13 Plot 5,M1618,10.502308,106.822654,2013,mangrove,Vietnam
Nam et al 2016,CG.3.13 Plot 6,M1619,10.502291,106.822872,2013,mangrove,Vietnam
Nam et al 2016,CG.3.14 Plot 1,M1620,10.52122,106.89813,2013,mangrove,Vietnam
Nam et al 2016,CG.3.14 Plot 2,M1621,10.521428,106.898161,2013,mangrove,Vietnam
Nam et al 2016,CG.3.14 Plot 3,M1622,10.521644,106.898196,2013,mangrove,Vietnam
Nam et al 2016,CG.3.14 Plot 4,M1623,10.521859,106.898217,2013,mangrove,Vietnam
Nam et al 2016,CG.3.14 Plot 5,M1624,10.522081,106.898239,2013,mangrove,Vietnam
Nam et al 2016,CG.3.14 Plot 6,M1625,10.522298,106.898256,2013,mangrove,Vietnam
Nam et al 2016,KV.1.18 Plot 1,M1626,8.64705,105.11574,2013,mangrove,Vietnam
Nam et al 2016,KV.1.18 Plot 2,M1627,8.647165,105.115549,2013,mangrove,Vietnam
Nam et al 2016,KV.1.18 Plot 3,M1628,8.647262,105.115347,2013,mangrove,Vietnam
Nam et al 2016,KV.1.18 Plot 4,M1629,8.64737,105.115167,2013,mangrove,Vietnam
Nam et al 2016,KV.1.18 Plot 5,M1630,8.647484,105.114976,2013,mangrove,Vietnam
Nam et al 2016,KV.1.18 Plot 6,M1631,8.647595,105.114797,2013,mangrove,Vietnam
Nam et al 2016,KV.1.19 Plot 1,M1632,8.64931,105.11043,2013,mangrove,Vietnam
Nam et al 2016,KV.1.19 Plot 2,M1633,8.649527,105.11045,2013,mangrove,Vietnam
Nam et al 2016,KV.1.19 Plot 3,M1634,8.649741,105.110462,2013,mangrove,Vietnam
Nam et al 2016,KV.1.19 Plot 4,M1635,8.649968,105.110475,2013,mangrove,Vietnam
Nam et al 2016,KV.1.19 Plot 5,M1636,8.650187,105.110509,2013,mangrove,Vietnam
Nam et al 2016,KV.1.19 Plot 6,M1637,8.650406,105.110528,2013,mangrove,Vietnam
Nam et al 2016,KV.1.20 Plot 1,M1638,8.63814,105.07847,2013,mangrove,Vietnam
Nam et al 2016,KV.1.20 Plot 2,M1639,8.638097,105.0787,2013,mangrove,Vietnam
Nam et al 2016,KV.1.20 Plot 3,M1640,8.638037,105.078924,2013,mangrove,Vietnam
Nam et al 2016,KV.1.20 Plot 4,M1641,8.637978,105.079145,2013,mangrove,Vietnam
Nam et al 2016,KV.1.20 Plot 5,M1642,8.637904,105.079365,2013,mangrove,Vietnam
Nam et al 2016,KV.1.20 Plot 6,M1643,8.637833,105.079576,2013,mangrove,Vietnam
Nam et al 2016,KV.2.18 Plot 1,M1644,8.64982,105.11601,2013,mangrove,Vietnam
Nam et al 2016,KV.2.18 Plot 2,M1645,8.650037,105.115958,2013,mangrove,Vietnam
Nam et al 2016,KV.2.18 Plot 3,M1646,8.650242,105.115893,2013,mangrove,Vietnam
Nam et al 2016,KV.2.18 Plot 4,M1647,8.65045,105.115826,2013,mangrove,Vietnam
Nam et al 2016,KV.2.18 Plot 5,M1648,8.65067,105.115765,2013,mangrove,Vietnam
Nam et al 2016,KV.2.18 Plot 6,M1649,8.650876,105.115695,2013,mangrove,Vietnam
Nam et al 2016,KV.2.19 Plot 1,M1650,8.6444,105.09716,2013,mangrove,Vietnam
Nam et al 2016,KV.2.19 Plot 2,M1651,8.644171,105.097168,2013,mangrove,Vietnam
Nam et al 2016,KV.2.19 Plot 3,M1652,8.643938,105.097172,2013,mangrove,Vietnam
Nam et al 2016,KV.2.19 Plot 4,M1653,8.6437,105.097181,2013,mangrove,Vietnam
Nam et al 2016,KV.2.19 Plot 5,M1654,8.643472,105.097191,2013,mangrove,Vietnam
Nam et al 2016,KV.2.19 Plot 6,M1655,8.643238,105.097198,2013,mangrove,Vietnam
Nam et al 2016,KV.2.20 Plot 1,M1656,8.64114,105.08813,2013,mangrove,Vietnam
Nam et al 2016,KV.2.20 Plot 2,M1657,8.641345,105.088185,2013,mangrove,Vietnam
Nam et al 2016,KV.2.20 Plot 3,M1658,8.641559,105.088243,2013,mangrove,Vietnam
Nam et al 2016,KV.2.20 Plot 4,M1659,8.641762,105.088294,2013,mangrove,Vietnam
Nam et al 2016,KV.2.20 Plot 5,M1660,8.641973,105.088343,2013,mangrove,Vietnam
Nam et al 2016,KV.2.20 Plot 6,M1661,8.642187,105.088378,2013,mangrove,Vietnam
Nam et al 2016,KV.3.18 Plot 1,M1662,8.65302,105.12052,2013,mangrove,Vietnam
Nam et al 2016,KV.3.18 Plot 2,M1663,8.653127,105.120322,2013,mangrove,Vietnam
Nam et al 2016,KV.3.18 Plot 3,M1664,8.653236,105.120141,2013,mangrove,Vietnam
Nam et al 2016,KV.3.18 Plot 4,M1665,8.653369,105.119961,2013,mangrove,Vietnam
Nam et al 2016,KV.3.18 Plot 5,M1666,8.653502,105.119798,2013,mangrove,Vietnam
Nam et al 2016,KV.3.18 Plot 6,M1667,8.653649,105.119635,2013,mangrove,Vietnam
Nam et al 2016,KV.3.19 Plot 1,M1668,8.63989,105.07353,2013,mangrove,Vietnam
Nam et al 2016,KV.3.19 Plot 2,M1669,8.640095,105.073532,2013,mangrove,Vietnam
Nam et al 2016,KV.3.19 Plot 3,M1670,8.640304,105.073549,2013,mangrove,Vietnam
Nam et al 2016,KV.3.19 Plot 4,M1671,8.640519,105.073562,2013,mangrove,Vietnam
Nam et al 2016,KV.3.19 Plot 5,M1672,8.64074,105.073562,2013,mangrove,Vietnam
Nam et al 2016,KV.3.19 Plot 6,M1673,8.640958,105.073551,2013,mangrove,Vietnam
Nam et al 2016,KV.3.20 Plot 1,M1674,8.6447,105.10495,2013,mangrove,Vietnam
Nam et al 2016,KV.3.20 Plot 2,M1675,8.644481,105.104865,2013,mangrove,Vietnam
Nam et al 2016,KV.3.20 Plot 3,M1676,8.644259,105.104822,2013,mangrove,Vietnam
Nam et al 2016,KV.3.20 Plot 4,M1677,8.644029,105.104785,2013,mangrove,Vietnam
Nam et al 2016,KV.3.20 Plot 5,M1678,8.64379,105.104773,2013,mangrove,Vietnam
Nam et al 2016,KV.3.20 Plot 6,M1679,8.643554,105.104764,2013,mangrove,Vietnam
Gonneea et al 2004,Chelem_Lagoon,Gonneea_et_al_2004_1,21.2746,-89.6863,NA,seagrass,Mexico
Gonneea et al 2004,Celestun_Lagoon,Gonneea_et_al_2004_2,20.9254,-90.3446,NA,seagrass,Mexico
