study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,total_pb210_activity,pb210_unit
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,single set of methods,40,45,0.22436,0.28025,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,single set of methods,45,50,0.20834,0.35223,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,single set of methods,50,60,0.21237,0.45513,2.87742,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,single set of methods,60,70,0.34822,0.4637,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,single set of methods,70,80,0.28009,0.18599,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,single set of methods,80,90,0.35741,0.15014,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,single set of methods,90,100,0.41196,0.1094,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,0,2.5,0.10231,0.32551,5.03148,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,2.5,5,0.17384,0.26011,5.75102,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,5,7.5,0.18126,0.30273,5.85643,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,7.5,10,0.16388,0.23961,5.41122,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,10,15,0.18297,0.2658,5.61186,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,15,20,0.28702,0.26314,5.5149,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,20,25,0.26148,0.22343,4.47905,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,25,30,0.3848,0.17075,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,30,35,0.41414,0.1631,3.31845,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,35,40,0.38734,0.15743,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,40,45,0.38589,0.16246,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,45,50,0.41703,0.15443,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,50,60,0.4193,0.21712,2.73089,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,60,70,0.39073,0.2108,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,70,80,0.40603,0.2483,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,80,90,0.43863,0.20258,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,single set of methods,90,100,0.40105,0.16869,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,0,2.5,0.04056,0.71869,8.29143,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,2.5,5,0.0728,0.64631,9.19621,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,5,7.5,0.07243,0.73252,9.71372,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,7.5,10,0.08366,0.62307,8.4575,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,10,15,0.12096,0.55098,7.46536,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,15,20,0.14315,0.53166,6.63938,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,20,25,0.16415,0.46907,4.83028,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,25,30,0.18326,0.41708,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,30,35,0.15899,0.40729,4.36146,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,35,40,0.18,0.43876,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,40,45,0.1694,0.39907,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,45,50,0.1417,0.45632,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,50,60,0.15297,0.45516,1.89287,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,60,70,0.2427,0.2708,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,70,80,0.22269,0.24918,0.757,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,80,90,0.2608,0.20752,NA,NA
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,single set of methods,90,100,0.27968,0.52764,NA,NA
