study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,sediment_sieve_size,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_time,dry_bulk_density_sample_volume,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,loss_on_ignition_sample_volume,loss_on_ignition_sample_mass,loss_on_ignition_flag,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,carbon_profile_notes,cs137_counting_method,pb210_counting_method,excess_pb210_rate,excess_pb210_model,ra226_assumption,c14_counting_method,dating_notes,age_depth_model_reference,age_depth_model_notes,ground_or_sieved_flag,pb210_background_assumption
Giblin_and_Forbrich_2018,single set of methods,none specified,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,single set of methods,russian corer,NA,NA,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,YBP,NA,NA,NA
Fell_et_al_2021,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,NA,no obvious compaction,100,NA,424.05,not specified,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,single set of studies,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction quantified,60,NA,56.745,air dried to constant mass,550,4,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eagle_et_al_2021,single set of methods,russian corer,roots and rhizomes included,sediment not sieved,NA,NA,60,48,NA,time approximate,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,mass accumulation,CRS,selected intervals,NA,NA,core collection date,Plum software used,NA,NA
Drexler_et_al_2019,single set of methods,hargas corer,NA,sediment sieved,2,corer limits compaction,80,NA,NA,time approximate,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,gamma,mass accumulation,CRS,each sample,NA,NA,NA,NA,NA,NA
Drexler_et_al_2013,single set of methods,hargas corer,NA,NA,2,corer limits compaction,80,NA,NA,time approximate,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,CE,NA,NA,NA
Drexler_et_al_2009,single set of methods,piston corer,NA,NA,NA,NA,105,12,NA,time approximate,550,4,NA,NA,NA,modeled,FALSE,low carbonate soil,NA,total carbon,fraction carbon extrapolated from subset of samples,NA,NA,NA,NA,NA,AMS,NA,YBP,NA,NA,NA
Doughty_et_al_2016,single set of methods,other shallow corer,roots and rhizomes separated,sediment not sieved,NA,compaction quantified,105,336,NA,air dried to constant mass,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dai_et_al_2022,single set of methods,gouge auger,roots and rhizomes separated,sediment not sieved,NA,not specified,105,NA,NA,to constant mass,NA,NA,NA,NA,not specified,measured,FALSE,none specified,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curtis_et_al_2022,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,NA,corer limits compaction,50,72,212.37,not specified,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,"Dried and weighed core sections were  analyzed at the University of California, Davis Analytical Laboratory, using acid fumigation and dynamic flash combustion following methods described in Harris and others (2001) and the Association of Official Analytical Chemists (1997) Official Method 972.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craft_2007,single set of methods,none specified,NA,NA,NA,NA,NA,NA,NA,air dried to constant mass,NA,NA,NA,NA,NA,measured,TRUE,direct acid treatment,EA,total carbon,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa_et_al_2023,methods1,russian corer,roots and rhizomes included,sediment sieved,0.5,corer limits compaction,60,NA,NA,to constant mass,550,NA,15,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,NA,AMS,Pieces of woody mangrove material (generally root tissue) picked from core samples were what was dated in each sample.,core collection date,"Most cores dated had only one sample dated, and so a simple assumption of linear accretion assuming that the accretion rate equals the depth of the dated sample divided by the age of that sample.  Some cores from the Baja Peninsula have each sample dated independently.",NA,NA
Costa_et_al_2023,methods2,russian corer,roots and rhizomes included,sediment sieved,0.5,corer limits compaction,60,NA,NA,to constant mass,550,NA,15,NA,NA,modeled,TRUE,acid fumigation,local regression,organic carbon,"The samples from Caribbean Panama had fraction carbon determined by LOI rather than EA.  A subset of 20 samples were also submitted to EA, so that a regression curve based on these data could be used to estimate the fraction carbon of those samples from their LOI.  The local regression model developed was C(org)% = 0.42942 x LOI% - 2.18747, with both C(org)% and LOI% as percentage values ranging from 0 to 100.",NA,NA,NA,NA,NA,AMS,Pieces of woody mangrove material (generally root tissue) picked from core samples were what was dated in each sample.,core collection date,"Most cores dated had only one sample dated, and so a simple assumption of linear accretion assuming that the accretion rate equals the depth of the dated sample divided by the age of that sample.  Some cores from the Baja Peninsula have each sample dated independently.",NA,NA
Costa_et_al_2023,methods3,russian corer,roots and rhizomes included,sediment sieved,0.5,corer limits compaction,60,NA,NA,to constant mass,550,NA,15,NA,NA,measured,FALSE,low carbonate soil,EA,organic carbon,"Most of the samples from the Galapagos did not receive any treatment to remove carbonate before measurement of fraction carbon, because of their origin in low carbonate soil, with the exeption of nine samples from the Galapagos that did undergo carbonate removal did so because they visibly contained carbonate, confirmed by their delta_c13 values being the only ones in the Galapagos dataset significantly lower than that of mangrove organic matter.  See Costa et al. (2019), doi.org/10.1007/s11273-019-09653-8 .",NA,NA,NA,NA,NA,AMS,Pieces of woody mangrove material (generally root tissue) picked from core samples were what was dated in each sample.,core collection date,"Most cores dated had only one sample dated, and so a simple assumption of linear accretion assuming that the accretion rate equals the depth of the dated sample divided by the age of that sample.  Some cores from the Baja Peninsula have each sample dated independently.",NA,NA
Cifuentes_et_al_2023_Panama,single set of methods,gouge auger,roots and rhizomes separated,NA,NA,NA,110,24,57.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,EA,total carbon,Sub-samples prepped and run through the elemental analyzer were dried at 65ºC until constant mass was reached.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Barreto_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Boca_Grande_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Caetano_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Furo_Grande_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Mangue_Sul_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Mauripe_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Salina_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Timbulsloko_2019,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Bhitakarnika_2013_India,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Acarau_Boca_2016_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Baouth_2014_Senegal,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Caete_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cauassu_Leste_Shrimp_2016_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cauassu_Oeste_Shrimp_2016_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cumbe_Leste_Camaro_2016_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cumbe_norte_Camarao_2016_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Diamniadio_2014_Senegal,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Djirnda_2014_Senegal,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Fambine_2014_Senegal,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Furo_de_Chato_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Mangizal_Cauassu_2016_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Manguinho_2016_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Mounde_2014_Senegal,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Porto_Ceu_Mangrove_2016_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Porto_Ceu_Shrimp_2016_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Sang_2014_Senegal,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Case_Shell_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Jardin_Du_Elephant_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Lac_Simba_Deux_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Lac_Simba_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Lac_Sounga_Deux_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Lac_Sounga_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Mwana_Mouele_South_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Mwana_Mouele_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Ndougou_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Paga_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_BRM10_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_MRM8_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_MRT7_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_MRT9_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_NCM1_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_NCM4_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_NCM5_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_NCT2_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_NCT3_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_NCT6_2014,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Marisma_High_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Marisma_Low_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Marisma_Medium_2017_Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Bunaken_2011,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cilacap_2011,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Kubu_Raya_2011_Indonesia,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Sembilang_2011_Indonesia,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Tanjung_Puting_2009_Indonesia,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Teminabuan_2011_Indonesia,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Timika_2011_Indonesia,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Ca_Mau_2012_Vietnam,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Arguni_Bay_West_Papua_2015_Indonesia,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Bintuni_Bay_West_Papua_2018_Indonesia,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Buruway_West_Papua_2016_Indonesia,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Etna_Bay_West_Papua_2017_Indonesia,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Kaimana_City_West_Papua_2017_Indonesia,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_CanGio_2012_Vietnam,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,FALSE,none specified,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chambers_et_al_2019,1 meter cores,push core,roots and rhizomes included,sediment not sieved,NA,no obvious compaction,70,72,NA,time approximate,550,3,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White_et_al_2020,2 meter cores,push core,roots and rhizomes included,sediment not sieved,NA,no obvious compaction,60,NA,384.85,air dried to constant mass,550,4,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White_et_al_2020,0.5 meter cores,piston corer,NA,sediment not sieved,NA,not specified,60,NA,384.85,air dried to constant mass,550,4,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carlin_et_al_2021,single set of studies,push core,roots and rhizomes included,sediment not sieved,NA,compaction qualified,60,8,1,time approximate,550,2,NA,NA,NA,measured,TRUE,direct acid treatment,EA,organic carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,"PLUM dating model: Aquino-López, M.A., Blaauw, M., Christen, J.A., Sanderson, N.K., 2018. Bayesian Analysis of 210Pb Dating. Journal of Agricultural, Biological and Environmental Statistics 23, 317-333.",CE,PLUM software used,NA,NA
Callaway_et_al_2019,single set of methods,hargas corer,NA,NA,NA,compaction qualified,85,72,NA,NA,450,8,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,gamma,gamma,accretion,CIC,NA,NA,NA,NA,NA,NA,pb214
