study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issn,eprint,article-number
Marchand_et_al_2003,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchand_et_al_2004,Marchand_et_al_2004_article,synthesis source,Article,Pore-water chemistry in mangrove sediments: relationship with species composition and developmental stages (French Guiana),C Marchand and F Baltzer and E Lallier-Verg̬s and P Alb̩ric,NA,10.1016/j.margeo.2004.04.015,https://doi.org/10.1016/j.margeo.2004.04.015,2004,aug,Elsevier {BV},208,NA,361--381,Marine Geology,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchand_et_al_2004,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marchand_et_al_2004,_Marchand_et_al_2003",Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchio_et_al_2016,Marchio_et_al_2016_article,synthesis source,Article,Carbon Sequestration and Sedimentation in Mangrove Swamps Influenced by Hydrogeomorphic Conditions and Urbanization in Southwest Florida,Daniel Marchio and Michael Savarese and Brian Bovard and William Mitsch,NA,10.3390/f7060116,https://doi.org/10.3390/f7060116,2016,may,{MDPI} {AG},7,12,116,Forests,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchio_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matsui_1998,Matsui_1998_article,synthesis source,Article,"Estimated stocks of organic carbon in mangrove roots and sediments in Hinchinbrook Channel, Australia","Matsui, Naohiro",NA,10.1023/A:1009959909208,https://doi.org/10.1023/A:1009959909208,1998,NA,NA,4,2,NA,Mangroves and Salt Marshes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matsui_1998,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McFadden_et_al_2016,McFadden_et_al_2016_article,synthesis source,Article,"Effects of nesting waterbirds on nutrient levels in mangroves, Gulf of Fonseca, Honduras",Tyler Neal McFadden and J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1007/s11273-016-9480-4,https://doi.org/10.1007/s11273-016-9480-4,2016,feb,Springer Science and Business Media {LLC},24,2,217--229,Wetlands Ecology and Management,NA,NA,NA,NA,NA,NA,NA,NA,NA
McFadden_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mckee_et_al_2002,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mfilinge_et_al_2002,Mfilinge_et_al_2002_article,synthesis source,Article,"Nutrient dynamics and leaf litter decomposition in a subtropical mangrove forest at Oura Bay, Okinawa, Japan",P. Mfilinge and N. Atta and M. Tsuchiya,NA,10.1007/s00468-001-0156-0,https://doi.org/10.1007/s00468-001-0156-0,2002,jan,Springer Science and Business Media {LLC},16,NA,172--180,Trees,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mfilinge_et_al_2002,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middelburg_et_al_1996,Middelburg_et_al_1996_article,synthesis source,Article,"Sediment biogeochemistry in an East African mangrove forest (Gazi bay, Kenya)","Middelburg, Jack J and Nieuwenhuize, Joop and Slim, Frederik J and Ohowa, Boaz",NA,NA,NA,1996,NA,NA,34,3,NA,Biogeochemistry,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middelburg_et_al_1996,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moreno_and_Calderon_2011,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murdiyarso_et_al_2015,Murdiyarso_et_al_2015_article,synthesis source,Article,The potential of Indonesian mangrove forests for global climate change mitigation,Daniel Murdiyarso and Joko Purbopuspito and J. Boone Kauffman and Matthew W. Warren and Sigit D. Sasmito and Daniel C. Donato and Solichin Manuri and Haruni Krisnawati and Sartji Taberima and Sofyan Kurnianto,NA,10.1038/nclimate2734,https://doi.org/10.1038/nclimate2734,2015,jul,Springer Science and Business Media {LLC},5,12,1089--1092,Nature Climate Change,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murdiyarso_et_al_2015,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX_edaf_puntos,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX_perfilv12,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naidoo_1980,Naidoo_1980_article,synthesis source,Article,"Mangrove soils of the Beachwood area, Durban","Naidoo, G",NA,NA,NA,1980,NA,NA,NA,NA,NA,Journal of South African Botany,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naidoo_1980,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naidoo_and_Raiman_1982,Naidoo_and_Raiman_1982_article,synthesis source,Article,"Some physical and chemical properties of mangrove soils at Sipingo and Mgeni, Natal","Naidoo, G and Raiman, F",NA,NA,NA,1982,NA,NA,NA,NA,NA,South African Journal of Botany,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naidoo_and_Raiman_1982,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nam_et_al_2016,Nam_et_al_2016_article,synthesis source,Article,Carbon stocks in artificially and naturally regenerated mangrove ecosystems in the Mekong Delta,Vien Ngoc Nam and Sigit D. Sasmito and Daniel Murdiyarso and Joko Purbopuspito and Richard A. MacKenzie,NA,10.1007/s11273-015-9479-2,https://doi.org/10.1007/s11273-015-9479-2,2016,jan,Springer Science and Business Media {LLC},24,2,231--244,Wetlands Ecology and Management,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nam_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCSS,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nsombo_et_al_2016,Nsombo_et_al_2016_article,synthesis source,Article,"Effects of vegetations degradation on carbon stock, morphological, physical and chemical characteristics of soils within the mangrove forest of the Rio del Rey Estuary: Case study Bamusso (South-West Cameroon)",NSOMBO Eugene NDEMA and BENGONO Fr {eacute d eacute ric AKO} and Jacques ETAME and DIN NDONGO and Gordon AJONINA and BILONG Paul,NA,10.5897/ajest2015.1956,https://doi.org/10.5897/ajest2015.1956,2016,mar,Academic Journals,10,3,58--66,African Journal of Environmental Science and Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nsombo_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2012,Osland_et_al_2012_article,synthesis source,Article,Ecosystem Development After Mangrove Wetland Creation: Plant{\textendash}Soil Change Across a 20-Year Chronosequence,Michael J. Osland and Amanda C. Spivak and Janet A. Nestlerode and Jeannine M. Lessmann and Alejandro E. Almario and Paul T. Heitmuller and Marc J. Russell and Ken W. Krauss and Federico Alvarez and Darrin D. Dantin and James E. Harvey and Andrew S. From and Nicole Cormier and Camille L. Stagg,NA,10.1007/s10021-012-9551-1,https://doi.org/10.1007/s10021-012-9551-1,2012,may,Springer Science and Business Media {LLC},15,5,848--866,Ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2012,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otero_et_al_2009,Otero_et_al_2009_article,synthesis source,Article,"Geochemistry of iron and manganese in soils and sediments of a mangrove system, Island of Pai Matos (Cananeia {\textemdash} {SP}, Brazil)",X.L. Otero and T.O. Ferreira and M.A. Huerta-D\'\iaz and C.S.M. Partiti and V. Souza and P. Vidal-Torrado and F. Mac\'\ias,NA,10.1016/j.geoderma.2008.10.016,https://doi.org/10.1016/j.geoderma.2008.10.016,2009,jan,Elsevier {BV},148,NA,318--335,Geoderma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otero_et_al_2009,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Owers_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pazi_et_al_2016,Pazi_et_al_2016_article,synthesis source,Article,"Soil pH and carbon at different depth in three zones of mangrove forest in Sarawak, Malaysia","PAZI, AHMAD MUSTAPHA MOHAMAD and GANDASECA, SECA and ROSLI, NORAINI and HANAFI, AHMAD and HAMZAH, ALBERT EMPAWI TINDIT and NYANGON, LAURNA",NA,NA,NA,2016,NA,NA,79,1,NA,The Malaysian Forester,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pazi_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penha-Lopes_et_al_2009,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phang_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RadamBrasil,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranjan_2010,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ren_et_al_2008,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S._Gress_Unpublished,_Gress_et_al_2016",Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sahu_et_al_2016,Sahu_et_al_2016_article,synthesis source,Article,"Carbon Stocks in Natural and Planted Mangrove forests of Mahanadi Mangrove Wetland, East Coast of India",S. C. Sahu and Manish Kumar and N. H. Ravindranath,NA,10.18520/cs/v110/i12/2253-2260,https://doi.org/10.18520/cs/v110/i12/2253-2260,2016,jun,Current Science Association,110,12,2253,Current Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sahu_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saintilan_et_al_2013,Saintilan_et_al_2013_article,synthesis source,Article,Allochthonous and autochthonous contributions to carbon accumulation and carbon store in southeastern Australian coastal wetlands,N. Saintilan and K. Rogers and D. Mazumder and C. Woodroffe,NA,10.1016/j.ecss.2013.05.010,https://doi.org/10.1016/j.ecss.2013.05.010,2013,aug,Elsevier {BV},128,NA,84--92,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA,NA
Saintilan_et_al_2013,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2008,Sanders_et_al_2008_article,synthesis source,Article,"Recent Sediment Accumulation in a Mangrove Forest and Its Relevance to Local Sea-Level Rise (Ilha Grande, Brazil)",Christian J. Sanders and Joseph M. Smoak and A. Sathy Naidu and Sambasiva R. Patchineelam,NA,10.2112/07-0872.1,https://doi.org/10.2112/07-0872.1,2008,mar,Coastal Education and Research Foundation,242,NA,533--536,Journal of Coastal Research,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2008,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2010_ECSS,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2010_EES,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2012_MER,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2014,Sanders_et_al_2014_article,synthesis source,Article,"Elevated rates of organic carbon, nitrogen, and phosphorus accumulation in a highly impacted mangrove wetland",Christian J. Sanders and Bradley D. Eyre and Isaac R. Santos and Wilson Machado and Wanilson Luiz-Silva and Joseph M. Smoak and Joshua L. Breithaupt and Michael E. Ketterer and Luciana Sanders and Humberto Marotta and Emmanoel Silva-Filho,NA,10.1002/2014gl059789,https://doi.org/10.1002/2014gl059789,2014,apr,American Geophysical Union ({AGU}),41,7,2475--2480,Geophysical Research Letters,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2015,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2016_JGR_Biogeoscience,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sitoe_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smoak_et_al_2013,Smoak_et_al_2013_article,synthesis source,Article,Sediment accretion and organic carbon burial relative to sea-level rise and storm events in two mangrove forests in Everglades National Park,Joseph M. Smoak and Joshua L. Breithaupt and Thomas J. Smith and Christian J. Sanders,NA,10.1016/j.catena.2012.10.009,https://doi.org/10.1016/j.catena.2012.10.009,2013,may,Elsevier {BV},104,NA,58--66,{CATENA},NA,NA,NA,NA,NA,NA,NA,NA,NA
Smoak_et_al_2013,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stringer_et_al_2015,Stringer_et_al_2015_article,synthesis source,Article,"Carbon stocks of mangroves within the Zambezi River Delta, Mozambique",Christina E. Stringer and Carl C. Trettin and Stanley J. Zarnoch and Wenwu Tang,NA,10.1016/j.foreco.2015.06.027,https://doi.org/10.1016/j.foreco.2015.06.027,2015,oct,Elsevier {BV},354,NA,139--148,Forest Ecology and Management,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stringer_et_al_2015,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Szczygielski_et_al_2015,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tam_and_Wong_1998,Tam_and_Wong_1998_article,synthesis source,Article,Variations of soil nutrient and organic matter content in a subtropical mangrove ecosystem,"Tam, NFY and Wong, YS",NA,NA,NA,1998,NA,NA,103,NA,NA,"Water, Air, and Soil Pollution",NA,NA,NA,NA,NA,NA,NA,NA,NA
Tam_and_Wong_1998,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thimdee_et_al_2003,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thompson_et_al_2014,Thompson_et_al_2014_article,synthesis source,Article,"Locally assessing the economic viability of blue carbon: A case study from Panay Island, the Philippines",Benjamin S. Thompson and Colin P. Clubbe and Jurgenne H. Primavera and David Curnick and Heather J. Koldewey,NA,10.1016/j.ecoser.2014.03.004,https://doi.org/10.1016/j.ecoser.2014.03.004,2014,jun,Elsevier {BV},8,NA,128--140,Ecosystem Services,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thompson_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tue_et_al_2014,Tue_et_al_2014_article,synthesis source,Article,"Carbon storage of a tropical mangrove forest in Mui Ca Mau National Park, Vietnam",Nguyen Tai Tue and Luu Viet Dung and Mai Trong Nhuan and Koji Omori,NA,10.1016/j.catena.2014.05.008,https://doi.org/10.1016/j.catena.2014.05.008,2014,oct,Elsevier {BV},121,NA,119--126,{CATENA},NA,NA,NA,NA,NA,NA,NA,NA,NA
Tue_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twilley_et_al_1997,Twilley_et_al_1997_article,synthesis source,Article,"Litter dynamics in riverine mangrove forests in the Guayas River estuary, Ecuador",Robert R. Twilley and Mireya Pozo and Victor H. Garcia and Victor H. Rivera-Monroy and Ramon Zambrano and Alejandro Bodero,NA,10.1007/s004420050214,https://doi.org/10.1007/s004420050214,1997,jun,Springer Science and Business Media {LLC},111,1,109--122,Oecologia,NA,NA,NA,NA,NA,NA,NA,NA,NA
