Study ID,Reference,Remarks
Middelburg et al. (1996),"Middelburg, J. J. et al. Sediment biogeochemistry in an East African mangrove forest (Gazi Bay, Kenya). Biogeochemistry 34, 133-155, doi:10.1007/bf00000899 (1996).",
Murdiyarso et al. 2015,"Murdiyarso, D. et al. The potential of Indonesian mangrove forests for global climate change mitigation. Nat. Clim. Chang. 5, 1089-1092, doi:10.1038/NCLIMATE2734 (2015).",
Muzuka And Shunula (2006),"Muzuka, A. N. N. & Shunula, J. P. Stable isotope compositions of organic carbon and nitrogen of two mangrove stands along the Tanzanian coastal zone. Estuar. Coast. Shelf Sci. 66, 447-458, doi:10.1016/j.ecss.2005.10.007 (2006).",
Nóbrega et al. 2016,"Nóbrega, G. N. et al. Edaphic factors controlling summer (rainy season) greenhouse gas emissions (CO2 and CH4) from semiarid mangrove soils (NE-Brazil). Sci. Total Environ. 542, 685-693, doi:10.1016/j.scitotenv.2015.10.108 (2016).",
Nam et al. 2016,"Nam, V. N. et al. Carbon stocks in artificially and naturally regenerated mangrove ecosystems in the Mekong Delta. Wetl. Ecol. Manag. 24, 231-244, doi:10.1007/s11273-015-9479-2 (2016).",
Ntyam (2014 thesis),"Ntyam, S. C. O. Comparative study of the mangrove ecosystems of Douala-Edea Reserve (Cameroon) and Songor Ramsar site (Ghana) using parameters of ecological value. (University of Ghana). (2014).",
Okbah et al. (2005),"Okbah, M. A. et al. Geochemical forms of trace metals in mangrove sediments—Red Sea (Egypt). Chem. Ecol. 21, 23-36, doi:10.1080/02757540512331323953 (2005).",
Ono et al. (2015),"Ono, K. et al. Assessing the carbon compositions and sources of mangrove peat in a tropical mangrove forest on Pohnpei Island, Federated States of Micronesia. Geoderma 245-246, 11-20, doi:10.1016/j.geoderma.2015.01.008 (2015).",
Osland et al. 2012,"Osland, M. J. et al. Ecosystem Development After Mangrove Wetland Creation: Plant–Soil Change Across a 20-Year Chronosequence. Ecosystems 15, 848-866, doi:10.1007/s10021-012-9551-1 (2012).",
Otero et al. (2014),"Otero, X. L. et al. Archaeal diversity and the extent of iron and manganese pyritization in sediments from a tropical mangrove creek (Cardoso Island, Brazil). Estuar. Coast. Shelf Sci. 146, 1-13, doi:10.1016/j.ecss.2014.05.002 (2014).",
Oyo-Ita et al. (2013),"Oyo-Ita, O. E. et al. Anthropogenic PAHs in mangrove sediments of the Calabar River, SE Niger Delta, Nigeria. Appl. Geochem. 28, 212-219, doi:10.1016/j.apgeochem.2012.09.011 (2013).",
Patil et al. (2014),"Patil, V. et al. Estimation of carbon stocks in Avicennia marina stand using allometry, CHN analysis, and GIS methods. Wetlands 34, 379-391, doi:10.1007/s13157-013-0505-y (2014).",
Pazi et al. (2016),"Pazi, A. M. M. et al. Soil pH and carbon at different depth in three sones of mangroves forest in Sarawak, Indonesia. Malaysian For. 79, 164–173 (2016).",
Perera & Amarasinghe 2016,"Perera, K. A. R. S. & Amarasinghe, M. D. Partitioning of system total carbon pool",
Phang et al. (2015),"Phang, V. X. H. et al. Ecosystem carbon stocks across a tropical intertidal habitat mosaic of mangrove forest, seagrass meadow, mudflat and sandbar. Earth Surf. Process. Landforms 40, 1387-1400, doi:10.1002/esp.3745 (2015).",
Pupin & Nahas (2013),"Pupin, B. & Nahas, E. Microbial populations and activities of mangrove, restinga and Atlantic forest soils from Cardoso Island, Brazil. J. Appl. Microbiol. 116, 851-864, doi:10.1111/jam.12413 (2014).",
Rahman et al. (2015),"Mizanur Rahman, M. et al. Carbon stock in the Sundarbans mangrove forest: spatial variations in vegetation types and salinity zones. Wetl. Ecol. Manag. 23, 269-283, doi:10.1007/s11273-014-9379-x (2015).",
Ralison et al. (2008),"Ralison, O. H. et al. Carbon biogeochemistry of the Betsiboka estuary (north-western Madagascar). Org. Geochem. 39, 1649-1658, doi:10.1016/j.orggeochem.2008.01.010 (2008).",
Rambok et al. (2010),"Rambok, E., Gandaseca, S., Ahmed, Q.H., & Majid, N.K.Ab. Comparison of selected soil chemical properties of two different mangrove forests in Sarawak. American Journal of Environmental Sciences, 6(5), 438-441 (2010).",
Ramirez-Elias et al. (2014),"Ramírez-Elías, M. A. et al. Identification of culturable microbial functional groups isolated from the rhizosphere of four species of mangroves and their biotechnological potential. Appl. Soil Ecol. 82, 1-10, doi:10.1016/j.apsoil.2014.05.001 (2014).",
Ranjan et al. (2011),"Ranjan, R. K. et al. Elemental and stable isotope records of organic matter input and its fate in the Pichavaram mangrove–estuarine sediments (Tamil Nadu, India). Mar. Chem. 126, 163-172, doi:10.1016/j.marchem.2011.05.005 (2011).",
Ranjan et al. 2010,"Ranjan, R. K. et al. Bulk organic matter characteristics in the Pichavaram mangrove – estuarine complex, south-eastern India. Appl. Geochem. 25, 1176-1186, doi:10.1016/j.apgeochem.2010.05.003 (2010).",
Ray et al. (2011),"Ray, R. et al. Carbon sequestration and annual increase of carbon stock in a mangrove forest. Atmos. Environ. 45, 5016-5024, doi:10.1016/j.atmosenv.2011.04.074 (2011).",
Ren et al. (2010),"Ren, H. et al. Biomass accumulation and carbon storage of four different aged Sonneratia apetala plantations in Southern China. Plant Soil 327, 279-291, doi:10.1007/s11104-009-0053-7 (2010).",
Rivera-Monroy et al. (2004),"Rivera-Monroy, V. H. et al. Spatial variability of soil nutrients in disturbed riverine mangrove forests at different stages of regeneration in the San Juan River estuary, Venezuela. Estuaries 27, 44-57, doi:10.1007/bf02803559 (2004).",
Ruiz-Fernandez et al. (2011),"Ruiz-Fernández, A. C. et al. 210Pb-derived Sedimentation Rates and Corg Fluxes in Soledad Lagoon (Cispatá Lagoon System, NW Caribbean Coast of Colombia). Estuar. Coast. 34, 1117-1128, doi:10.1007/s12237-011-9394-6 (2011).",
Sahu et al. 2016,"Sahu, S. C. et al. Carbon stocks in natural and planted mangrove forests of Mahanadi Mangrove Wetland, East Coast of India. Curr. Sci. 110, 2253–2260 (2016).",
Saintilan et al. (2013),"Saintilan, N. et al. Allochthonous and autochthonous contributions to carbon accumulation and carbon store in southeastern Australian coastal wetlands. Estuar. Coast. Shelf Sci. 128, 84-92, doi:10.1016/j.ecss.2013.05.010 (2013).",
Sakho et al. (2015),"Sakho, I. et al. A cross-section analysis of sedimentary organic matter in a mangrove ecosystem under dry climate conditions: The Somone estuary, Senegal. J. African Earth Sci. 101, 220-231, doi:10.1016/j.jafrearsci.2014.09.010 (2015).",
Sanders et al. (2008),"Sanders, C. J. et al. Recent sediment accumulation in a mangrove forest and its relevance to local sea-level rise (Ilha Grande, Brazil). J. Coast. Res., 533-536, doi:10.2112/07-0872.1 (2008).",
Sanders et al. (2010),"Sanders, C. J. et al. Mangrove forest sedimentation and its reference to sea level rise, Cananeia, Brazil. Estuar. Coast. Shelf Sci. 60, 1291-1301, doi:10.1007/s12665-009-0269-0 (2010).",
Sanders et al. (2010b),"Sanders, C. J. et al. Organic carbon burial in a mangrove forest, margin and intertidal mud flat. Estuar. Coast. Shelf Sci. 90, 168-172, doi:10.1016/j.ecss.2010.08.013 (2010).",
Sanders et al. (2016),"Sanders CJ et al. Examining 239+240Pu, 210Pb and historical events to determine carbon, nitrogen and phosphorus burial in mangrove sediments of Moreton Bay, Australia. J. Environ. Radioact. 151, 623–629 (2016).",
Sanders et al. unpublished data,,data from Atwood et al. (2017)
Sebastian & Chacko (2006),"Sebastian, R. & Chacko, J. Distribution of organic carbon in tropical mangrove sediments (Cochin, India). Int. J. Environ. 63, 303-311, doi:10.1080/00207230600720498 (2006).",
Serrano et al. (unpublished data),,data from Atwood et al. (2017)
Sharma et al. (2014),"Sharma, S. et al. The role of hydroperiod, soil moisture and distance from the river mouth on soil organic matter in Fukido mangrove forest. Proc. Int. Conf. Adv. Appl. Sci. Environ. Eng., 44-48 (2014).",
Sitoe et al. (2014),"Sitoe, A. A. et al. Biomass and Carbon Stocks of Sofala Bay Mangrove Forests. Forests 5, 1967-1981 (2014).",
Steyer 1988,"Steyer, G. Litter dynamics and nitrogen retranslocation in three types of mangrove",
Stringer et al. (2014),"Stringer, C. E. et al. Final Report: The Zambezi River Delta mangrove carbon project : A pilot baseline assessment for REDD+ reporting and monitoring., (2014).",
Suarez-Abelenda et al. 2014,"Suárez-Abelenda, M. et al. The effect of nutrient-rich effluents from shrimp farming on mangrove soil carbon storage and geochemistry under semi-arid climate conditions in northern Brazil. Geoderma 213, 551-559, doi:10.1016/j.geoderma.2013.08.007 (2014).",
Tateda et al. (2005),"Tateda, Y., Nhan, D. D., Wattayakorn, G., & Toriumi, H. Preliminary evaluation of organic carbon sedimentation rates in Asian mangrove coastal ecosystems estimated by {210} Pb chronology. Radioprotection, 40(1), S527 (2005).",
Thant et al. (2012),"Thant, Y. M. et al. Carbon sequestration by mangrove plantations and a natural regeneration stand in the Ayeyarwady Delta, Myanmar. Tropics 21, 1-10 (2012).",
Thompson et al. (2014),"Thompson, B. S. et al. Locally assessing the economic viability of blue carbon: A case study from Panay Island, the Philippines. Ecosyst. Serv. 8, 128-140, doi:10.1016/j.ecoser.2014.03.004 (2014).",
Tue et al. (2014),"Tue, N. T. et al. Carbon storage of a tropical mangrove forest in Mui Ca Mau National Park, Vietnam. CATENA 121, 119-126, doi:10.1016/j.catena.2014.05.008 (2014).",
Twilley et al. (1997),"Twilley, R. R. et al. Litter dynamics in riverine mangrove forests in the Guayas River estuary, Ecuador. Oecologia 111, 109-122, doi:10.1007/s004420050214 (1997).",
Twilley et al. 1986,"Twilley, R. W. et al. Litter production and turnover in basin mangrove forests in southwest Florida. Oecologia 67, 670-683, doi:10.2307/1937691 (1986).",
Ukpong 1995,"Ukpong, I. E. An ordination study of mangrove swamp communities in West Africa. Vegetatio 116, 147-159, doi:10.1007/bf00045305 (1995).",
Ukpong 2000,"Ukpong, I. E. Ecological classification of Nigerian mangroves using soil nutrient gradient analysis. Wetl. Ecol. Manag. 8, 263-272, doi:10.1023/a:1008452923256 (2000).",
Vasconcelos et al. 2015,"Vasconcelos, M. J. et al. Can blue carbon contribute to clean development in West-Africa? The case of Guinea-Bissau. Mitig. Adapt. Strateg. Glob. Chang. 20, 1361-1383, doi:10.1007/s11027-014-9551-x (2015).",
Vegas-Vilarrubia et al. (2010),"Vegas-Vilarrúbia, T. et al. Tropical histosols of the lower Orinoco Delta, features and preliminary quantification of their carbon storage. Geoderma 155, 280-288, doi:10.1016/j.geoderma.2009.12.011 (2010).",
Wang et al. 2013,"Wang, G. et al. Ecosystem carbon stocks of mangrove forest in Yingluo Bay, Guangdong Province of South China. For. Ecol. Manag. 310, 539-546, doi:10.1016/j.foreco.2013.08.045 (2013).",
Wasserman et al. (2001),"Wasserman, J. C. et al. Elemental composition of sediment cores from a mangrove environment using neutron activation analysis. J. Geochemical Explor. 72, 129-146, doi:10.1016/S0375-6742(01)00158-3 (2001).",
Weiss et al. (2016),"Weiss, C. et al. Soil organic carbon stocks in estuarine and marine mangrove ecosystems are driven by nutrient colimitation of P and N. Ecol. Evol. 6, 5043-5056, doi:10.1002/ece3.2258 (2016).",
Woodroffe (1985),"Woodroffe, C. D. Studies of a mangrove basin, Tuff Crater, New Zealand: I. Mangrove biomass and production of detritus. Estuar. Coast. Shelf Sci. 20, 265-280, doi:10.1016/0272-7714(85)90042-3 (1985).",
Wooller et al. (2003),"Wooller, M. et al. Carbon and nitrogen stable isotopic variation in Laguncularia racemosa (L.) (white mangrove) from Florida and Belize: implications for trophic level studies. Hydrobiologia 499, 13-23, doi:10.1023/a:1026339517242 (2003).",
Xin et al. 2014 ,"Xin, K. et al. Distribution of soil organic carbon in mangrove wetlands of Hainan island and its influencing factors. Acta Pedologica Sinica 5, 1078-1086 (2014).",
Yando et al. 2016,"Yando, E. S. et al. Salt marsh-mangrove ecotones: using structural gradients to investigate the effects of woody plant encroachment on plant–soil interactions and ecosystem carbon pools. J. Ecol. 104, 1020-1031, doi:10.1111/1365-2745.12571 (2016).",
Yang et a. (2013),"Yang, J. et al. Vegetation and sediment characteristics in an expanding mangrove forest in New Zealand. Estuar. Coast. Shelf Sci. 134, 11-18, doi:10.1016/j.ecss.2013.09.017 (2013).",
Zheng et al. 1995 ,"Zheng, W. J. et al. Dynamics of carbon, hydrogen and nitrogen elements in Rhizophora stylosa mangrove community at Yinluo Bay of Guangxi, China. . Chinese Journal of Applied Ecology 6, 17-22 (1995).",
Guan et al. 2018,"Guan, W., Xiong, Y., & Liao, B. Soil inorganic carbon in mangroves of tropical China: patterns and implications. Biology letters, 14(11), 20180483 (2018).",
Bukoski et al 2017,"Bukoski, J. J., Broadhead, J. S., Donato, D. C., Murdiyarso, D., & Gregoire, T. G. (2017). The Use of Mixed Effects Models for Obtaining Low-Cost Ecosystem Carbon Stock Estimates in Mangroves of the Asia-Pacific. PloS one, 12(1), e0169096.",
Gillis et al 2017,"Gillis, L. G., Belshe, F. E., Ziegler, A. D., & Bouma, T. J. (2017). Driving forces of organic carbon spatial distribution in the tropical seascape. Journal of Sea Research, 120, 35-40.",
Gevana and Pampolina 2009,"Gevana, D. T., Pampolina, N. M. (2009). Plant Diversity and Carbon Storage of a Rhizopora Stand in Verde Passage, San Juan, Batangas, Philippines. Journal of Environmental Science and Management, 12 (2), 1-10.",
Otero et al 2009,"Otero, X. L., Ferreira, T. O., Huerta-Diaz, M. A., Partiti, C. S. M., Souza, V., Jr. Vidal-Torrado, P., Macias, F. (2009). Geochemistry of iron and manganese in soils and sediments of a mangrove system, Island of Pai Matos (Cananeia — SP, Brazil). Geoderma, 148, 318-335.",
Lee and Baker 1972,"Lee, B. K. H., Baker, G. E. (1972). An Ecological Study of the Soil Microfungi in a Hawaiian Mangrove Swamp. Pacific Science, 26, 1-9.",
Frusher et al 1994,"Frusher, S. D., Giddins, R. L., Smith, T. J., III. (1994). Distribution and Abundance of Grapsid Crabs (Grapsidae) in a Mangrove Estuary: Effects of Sediment Characteristics, Salinity
Tolerances, and Osmoregulatory Ability. Estuaries, 17 (3), 647-654. ",
Dissanayake and Chandrasekara 2014,"Dissanayake, N., Chandrasekara, U. (2014). Effects of Mangrove Zonation and the Physicochemical Parameters of Soil on the Distribution of Macrobenthic Fauna in Kadolkele Mangrove Forest, a Tropical Mangrove Forest in Sri Lanka. Advances in Ecology, 2014, 564056.",
Zhang et al 2012,"Zhang, J. P., Shen, C. D., Ren, H., Wang, J., Han, W. D. (2012). Estimating Change in Sedimentary Organic Carbon Content During Mangrove Restoration in Southern China
Using Carbon Isotopic Measurements. Pedosphere, 22 (1), 58-66. ",
Naidoo and Raiman 1982,"Naidoo, G., Raiman, F. (1982). Some physical and chemical properties of mangrove soils at Sipingo and Mgeni, Natal. South African Journal of Botany, 1, 85-90.",
Owers et al 2016,"Owers, C. J., Rogers, K., Mazumder, D., Woodroffe, C. D. (2016). Spatial Variation in Carbon Storage: A Case Study for Currambene Creek, NSW, Australia. Journal of Coastal Research, 75, 197-1301. ",
Penha-Lopes et al 2009,"Penha-Lopes, G., Bouillon, S., Mangion, P., Macia, A., Paula, J. (2009). Population structure, density and food sources of Terebralia palustris (Potamididae: Gastropoda) in a low intertidal Avicennia marina mangrove stand (Inhaca Island, Mozambique). Estuarine, Coastal and Shelf Science, 84 (3), 318-325.",
Smoak et al 2013,"Smoak, J. M., Breithaupt, J. L., Smith III, T. J., Sanders, C. J. (2013). Sediment accretion and organic carbon burial relative to sea-level rise and storm events in two mangrove forests in Everglades National Park. Catena, 104, 58-66.",
Szczygielski et al 2015,"Szczygielski, A., Stattegger, K., Schwarzer, K., Aquino da Silva, A. G., Vital, H. Koenig, J. (2015). Evolution of the Parnai?ba Delta (NE Brazil) during the late Holocene. Geo-Marine Letters, 35 (2), 105-117. ",
Lang'at et al 2014,"Lang’at, J. K. S., Kairo, J. G., Mencuccini, M., Bouillon, S., Skov, M. W., Waldron, S., Huxham, M. (2014) Rapid Losses of Surface Elevation following Tree Girdling and Cutting in Tropical Mangroves. PLoS ONE, 9 (9).",
Kelleway et al 2016,"Kelleway, J. J., Saintilan, N., Macreadie, P. I., Skilbeck, C. G., Zawadzki, A., Ralph, P. J. (2016). Seventy years of continuous encroachment substantially increases ‘blue carbon’ capacity as mangroves replace intertidal salt marshes. Global Change Biology, 22, 1097-1109.",
Nsombo et al 2016,"Nsombo, E. N., Bengono, F. A., Etame, J., Din, N., Ajonina, G., Bilong, P. (2016). Effects of vegetation's degradation on carbon stock, morphological, physical and chemical characteristics of soils within the mangrove forest of the Rio del Rey Estuary: Case study – Bamusso (South-West Cameroon). African Journal of Enviornmental Science and Technology, 10 (3), 58-66.",
Gomes et al 2016,"Gomes, F. H., Ker, J. C., Ferreira, T. O., Moreau, A. M. S., Moreau, M. S. (2016). Characterization and pedogenesis of mangrove soils from Ilhe?us-BA, Brazil. Revista Ciencia Agronomica, 47 (4), 599-608. ",
Ukpong 1997,"Ukpong, I. E. Vegetation and its relation to soil nutrient and salinity in the Calabar mangrove swamp, Nigeria. Mangroves and Salt Marshes, 1(4), 211-218 (1997).",
Ceron-Breton et al 2011,"Ceron-Breton, J. G., Ceron, Breton, R. M., Rangel-Marron, M., Muriel-Garcia, M., Cordova-Quiroz, A. V., Estrella-Cahuich, A. (2011). Determination of carbon sequestration rate in soil of a mangrove forest in Campeche, Mexico. WSEAS Transactions on Environment and Development, 2 (7), 54-64. ",
McFadden et al 2016,"McFadden, T. N., Kauffman, J. B., Bhomia, R. K. (2016). Effects of nesting waterbirds on nutrient levels in mangroves, Gulf of Fonseca, Honduras. Wetlands Ecology and Management.",
Xia et al 2015,"Xia, P., Meng, X., Li, Z., Feng, A., Yin, P., Zhang, Y. (2015). Mangrove development and its response to environmental change in Yingluo Bay (SW China) during the last 150 years: Stable carbon isotopes and mangrove pollen. Organic Geochemistry, 85, 32-41.",
Allen et al 2007,"Allen, D. E., Dalal, R. C., Rennenberg, H., Louise Meyer, R. Reeves, S., Schmidt, S. (2007). Spatial and temporal variation of nitrous oxide and methane flux between subtropical mangrove sediments and the atmosphere. Soil Biology & Biochemistry, 39, 622-631. ",
Yuan et al 2014,"Yuan, L., Zhang, J., Shen, C., Ren, H., Liu, H., Liu, K. (2014). Quantification of Soil Organic Carbon Storage and Turnover in Two Mangrove Forests Using Dual Carbon Isotopic Measurements. Mangrove Ecosystems of Asia (textbook), 257-271.",
Gleason and Ewel 2002,"Gleason, S. M., Ewel, K. C. (2002). Organic Matter Dynamics on the Forest Floor of a Micronesian Mangrove Forest: An Investigation of Species Composition Shifts. Biotropica, 34 (2), 190-198.",
Dutta et al 2013,"Dutta, M. K., Chowdhury, C., Jana, T. K., Mukhopadhyay, S. K. (2013). Dynamics and exchange fluxes of methane in the estuarine mangrove environment of the Sundarbans, NE coast of India. Atmospheric Environment, 77, 631-639.",
Banerjee et al 2012,"Banerjee, K., Chowdhury, M. R., Sengupta, K., Sett, S., Mitra, A. (2012). Influence of anthropogenic and natural factors on the mangrove soil of Indian Sundarbans wetland. Archives of Environmental Science, 6, 80-91. ",
Abino et al 2014,"Abino, A. C., Castillo, J. A. A., Lee, Y. J., (2014). Species diversity, biomass, and carbon stock assessments of a natural mangrove forest in Palawan, Phillippines. Pakistan Journal of Botany, 46 (6), 1955-1962. ",
Mao et al 2012,"Mao, Z. L., Yang, X. M., Zhao, Z. Y., Lai, M. D., Yang, D. Y., Wu, C .L., Xu, H. L. (2012). Preliminary study on mangrove ecosystem carbon cycle of Kandelia candel in Futian nature reserve, Shenzhen, China. Ecology and Environmental Sciences, 21, 1189–1199.",
Xu et al 2012,"Xu, F. H., Zhang, J. P., Zhang, Q. M., Lin, K. Y., Lin, G. X. (2012). Carbon storage of three natural mangrove forests in Gaoqiao, Zhanjiang. Value Engineering, 15, 5–6.",
Liu et al 2008,"Liu, M. L., Ye, Y., Cao, C. Q., Tang, F.L. (2008). Fractal characteristics and related affecting factors of particle size distribution in mangrove soil in Dongzhai Harbor of Hainan. Chinese Journal of Ecology, 27, 1557–1561.",
Tam and Wong 1998,"Tam, N. F. Y. Wong, Y. S. (1998). Variations of Soil Nutirent and Organic Matter Content in a Subtropical Mangrove Ecosystem. Water, Air, and Soil Pollution, 103 (1), 245-261. ",
Vasconcelos et al 2014,"Vasconcelos, R. W., Santos Gomes, V. d., Lucena, D. R. d., Silva, O. A. d., Sousa, A. C., D'Andrea, A. F. (2014). Soil organic matter and soil acidity in Mangrove areas in the river Paraiba Estuary, Cabedelo, Paraiba, Brazil. Eurasian Journal of Soil Science, 3, 157-162. ",
Thimdee et al 2003,"Thimdee, W., Deein, G., Sangrugruang, C., Nishioka, J., Matsunaga, K. (2003). Sources and Fate of Organic Matter in Khung Krabaen Bay (Thailand) as Traced by d13C and C/N Atomic Ratios. Wetlands, 23 (4), 729-738. ",
Gnanamorrthy et al 2019,"Gnanamoorthy, P., Selvam, V., Ramasubramanian, R., Nagarajan, R., Chakraborty, S., Burman, P. K. D., & Karipot, A. Diurnal and seasonal patterns of soil CO 2 efflux from the Pichavaram mangroves, India. Environmental monitoring and assessment, 191(4), 258 (2009).",
Schile et al 2017,"Schile, L. M., Kauffman, J. B., Crooks, S., Fourqurean, J. W., Glavan, J., & Megonigal, J. P. Limits on carbon sequestration in arid blue carbon ecosystems. Ecological Applications, 27(3), 859-874 (2017).",
Jacotot et al. 2018,"Jacotot, A., Marchand, C., Rosenheim, B. E., Domack, E. W., & Allenbach, M. (2018). Mangrove sediment carbon stocks along an elevation gradient: Influence of the late Holocene marine regression (New Caledonia). Mar. Geol., 404, 60-70.",
Ochoa-Gomez et al. 2019,"Ochoa-Gómez, J. G., Lluch-Cota, S. E., Rivera-Monroy, V. H., Lluch-Cota, D. B., Troyo-Diéguez, E., Oechel, W., & Serviere-Zaragoza, E. Mangrove wetland productivity and carbon stocks in an arid zone of the Gulf of California (La Paz Bay, Mexico). For. Ecol. Manage., 442, 135-147 (2019).",
Perera & Amarasinghe 2019,"Perera, K. A. R. S., & Amarasinghe, M. D. Carbon sequestration capacity of mangrove soils in micro tidal estuaries and lagoons: A case study from Sri Lanka. Geoderma, 347, 80-89 (2019).",
Sun et al. 2019,"Sun, H., Jiang, J., Cui, L., Feng, W., Wang, Y., & Zhang, J. Soil organic carbon stabilization mechanisms in a subtropical mangrove and salt marsh ecosystems. Sci.Total Environ., 673, 502-510 (2019).",
