study_id,core_id,country,core_latitude,core_longitude,latitude_precision,longitude_precision,core_elevation,salinity_code,vegetation_code,inundation_class,core_length_flag,depth_min,depth_max,Holocene_RSLR,carbon_stock (Mg ha-1),corrected_carbon_stock_using_estimated_conversion_factor (Mg ha-1),carbon_stock_final  (Mg ha-1)?,Included_in_previous_compilations?
Chen et al. (2012),LW-Winter,China,22.5,114.02,1,2,NA,mesohaline,forested to shrub,fringe,0.15,0,0.15,III~V,220.2068188,,220.206819,Yes
Chen et al. (2012),MZ-Spring,China,22.5,114.02,1,2,NA,mesohaline,forested to shrub,fringe,0.15,0,0.15,III~V,232.0439575,,232.043958,Yes
Chen et al. (2012),MZ-Summer,China,22.5,114.02,1,2,NA,mesohaline,forested to shrub,fringe,0.15,0,0.15,III~V,252.3853479,,252.385348,Yes
Chen et al. (2012),MZ-Autum,China,22.5,114.02,1,2,NA,mesohaline,forested to shrub,fringe,0.15,0,0.15,III~V,235.7847759,,235.784776,Yes
Chen et al. (2012),MZ-Winter,China,22.5,114.02,1,2,NA,mesohaline,forested to shrub,fringe,0.15,0,0.15,III~V,228.0685956,,228.068596,Yes
Chen et al. (2012),SW-Spring,China,22.5,114.02,1,2,NA,mesohaline,forested to shrub,fringe,0.15,0,0.15,III~V,209.1543573,,209.154357,Yes
Chen et al. (2012),SW-Summer,China,22.5,114.02,1,2,NA,mesohaline,forested to shrub,fringe,0.15,0,0.15,III~V,205.8383504,,205.83835,Yes
Chen et al. (2012),SW-Autum,China,22.5,114.02,1,2,NA,mesohaline,forested to shrub,fringe,0.15,0,0.15,III~V,200.357821,,200.357821,Yes
Chen et al. (2012),SW-Winter,China,22.5,114.02,1,2,NA,mesohaline,forested to shrub,fringe,0.15,0,0.15,III~V,197.6372553,,197.637255,Yes
Lu et al. (2014),Lu-mix1,China,21.5676,109.7562,4,4,NA,NA,forested to shrub,riverine,0.6,0,0.6,III~V,139.14,,139.14,Yes
Lu et al. (2014),Lu-mono1,China,21.5676,109.7562,4,4,NA,NA,scrub shrub,dwarf,0.6,0,0.6,III~V,116.38,,116.38,Yes
Lunstrum & Chen (2014),K. obovata-6yrs,China,22.5259,114.011,4,3,1.5,NA,scrub shrub,dwarf,1,0,1,III~V,39.95,,39.95,Yes
Lunstrum & Chen (2014),K. obovata-70yrs,China,22.5259,114.011,4,3,1.7,NA,forested,interior,1,0,1,III~V,145.33,,145.33,Yes
Lunstrum & Chen (2014),S. apetala-20yrs,China,22.5259,114.011,4,3,1.4,NA,forested,fringe,1,0,1,III~V,44.02,,44.02,Yes
Lunstrum & Chen (2014),S. apetala-6yrs,China,22.5259,114.011,4,3,1.5,NA,scrub shrub,fringe,1,0,1,III~V,42.96,,42.96,Yes
Luo & Gu (2015),Luo-MG1-dry,China,22.4944,114.0288,4,4,NA,NA,NA,NA,0.02,0,0.02,III~V,268.5566906,,268.556691,Yes
Luo & Gu (2015),Luo-MG1-wet,China,22.4944,114.0288,4,4,NA,NA,NA,NA,0.02,0,0.02,III~V,261.5086003,,261.5086,Yes
Luo & Gu (2015),Luo-MG2-dry,China,22.4988,114.0281,4,4,NA,NA,NA,NA,0.02,0,0.02,III~V,224.3231972,,224.323197,Yes
Luo & Gu (2015),Luo-MG2-wet,China,22.4988,114.0281,4,4,NA,NA,NA,NA,0.02,0,0.02,III~V,215.3882435,,215.388244,Yes
Ren et al. (2010),Sonn-10,China,20.5,109.05,1,2,NA,mesohaline,forested,interior,0.2,0,0.2,III~V,337.5,,337.5,Yes
Ren et al. (2010),Sonn-4,China,20.5,109.05,1,2,NA,mesohaline,forested,interior,0.2,0,0.2,III~V,138.5,,138.5,Yes
Ren et al. (2010),Sonn-5,China,20.5,109.05,1,2,NA,polyhaline,forested,interior,0.2,0,0.2,III~V,172.5,,172.5,Yes
Ren et al. (2010),Sonn-8,China,20.5,109.05,1,2,NA,polyhaline,forested,interior,0.2,0,0.2,III~V,280,,280,Yes
Cardona and Botero (1998),"CAR, Columbia",Colombia,10.9821,-74.5414,4,4,NA,mixoeuhaline to brine,forested,basin,0.4,0,0.4,III~V,588.5544,357.9654661,357.9654661,Yes
Cardona and Botero (1998),"HON, Columbia",Colombia,10.8704,-74.5878,4,4,NA,polyhaline to brine,forested,basin,0.4,0,0.4,III~V,485.056,342.561293,342.561293,Yes
Cardona and Botero (1998),"RIN, Columbia",Colombia,10.9821,-74.5414,4,4,NA,mesohaline to brine,forested,basin,0.4,0,0.4,III~V,510.496,305.658916,305.658916,Yes
Ruiz-Fernandez et al. (2011),Ruiz-Fernandez-a,Colombia,9.336,-75.878,3,3,NA,NA,NA,NA,0.42,0,0.42,III~V,211.6042404,134.81,134.81,Yes
Ajonina et al. (2014),congo-heavy,Congo,-4.4741,11.7152,4,4,NA,NA,forested,NA,1,0,1,III~V,385.2,,385.2,Yes
Ajonina et al. (2014),congo-mod,Congo,-4.4741,11.7152,4,4,NA,NA,forested,NA,1,0,1,III~V,134.9,,134.9,Yes
Ajonina et al. (2014),congo-undistrurbed,Congo,-4.4741,11.7152,4,4,NA,NA,forested,NA,1,0,1,III~V,890.2,,890.2,Yes
Ajonina et al. (2014),DRC-heavy,Democratic Republic of Congo,-5.9348,12.3434,4,4,NA,NA,forested,NA,1,0,1,III~V,907,,907,Yes
Ajonina et al. (2014),DRC-mod,Democratic Republic of Congo,-5.9348,12.3434,4,4,NA,NA,forested,NA,1,0,1,III~V,869,,869,Yes
Ajonina et al. (2014),DRC-undistrurbed,Democratic Republic of Congo,-5.9348,12.3434,4,4,NA,NA,forested,NA,1,0,1,III~V,1031,,1031,Yes
Kauffman et al (2014),Alta 3-Tall,Dominican Republic,19.7011,-71.7093,4,4,NA,polyhaline,forested,fringe/riverine,>1,0,>1,III~V,410.6,,410.6,Yes
Kauffman et al (2014),Bajo final-short,Dominican Republic,19.8763,-71.6514,4,4,NA,saline to brine,scrub shrub,basin,>1,0,>1,III~V,410.12,,410.12,Yes
Kauffman et al (2014),Balsa alta-tall,Dominican Republic,19.7013,-71.72,4,2,NA,polyhaline,forested,fringe/riverine,>1,0,>1,III~V,325.16,,325.16,Yes
Kauffman et al (2014),Granja bajo-short,Dominican Republic,19.882,-17.6473,3,4,NA,saline to brine,scrub shrub,basin,>1,0,>1,III~V,262.22,,262.22,Yes
Kauffman et al (2014),Guinea media-medium,Dominican Republic,19.7077,-71.7232,4,4,NA,mixoeuhaline,forested to shrub,basin,>1,0,>1,III~V,525.46,,525.46,Yes
Kauffman et al (2014),Laguna media-medium,Dominican Republic,19.6909,-71.7155,4,4,NA,mixoeuhaline,forested to shrub,basin,>1,0,>1,III~V,449.46,,449.46,Yes
Kauffman et al (2014),Mediana sur-medium,Dominican Republic,19.6926,-71.7116,4,4,NA,mixoeuhaline,forested to shrub,basin,>1,0,>1,III~V,533.67,,533.67,Yes
Kauffman et al (2014),Morro bajo-short,Dominican Republic,19.842,-17.6419,3,3,NA,saline to brine,scrub shrub,basin,>1,0,>1,III~V,386.96,,386.96,Yes
Kauffman et al (2014),Tapio alta-tall,Dominican Republic,19.7243,-71.7246,4,4,NA,polyhaline,forested,fringe/riverine,>1,0,>1,III~V,468.07,,468.07,Yes
Delvecchia et al. (2014),Aff,Ecuador,0.6167,-80.0261,4,3,NA,NA,NA,overwash,<1,0,<1,III~V,304,,304,Yes
Delvecchia et al. (2014),Nat A,Ecuador,0.6167,-80.0261,4,3,NA,NA,NA,overwash,<1,0,<1,III~V,397,,397,Yes
Delvecchia et al. (2014),Nat B,Ecuador,0.6167,-80.0261,4,3,NA,NA,NA,overwash,<1,0,<1,III~V,356,,356,Yes
Delvecchia et al. (2014),Nat C,Ecuador,0.6167,-80.0261,4,3,NA,NA,NA,overwash,<1,0,<1,III~V,374,,374,Yes
Delvecchia et al. (2014),Res A,Ecuador,0.6167,-80.0261,4,3,NA,NA,NA,overwash,<1,0,<1,III~V,365,,365,Yes
Delvecchia et al. (2014),Res B,Ecuador,0.6167,-80.0261,4,3,NA,NA,NA,overwash,<1,0,<1,III~V,321,,321,Yes
Twilley et al. (1997),"Guayas river estuary, Ecuador",Ecuador,-2.4167,-79.675,4,3,NA,mesohaline,forested,riverine,NA,0,NA,III~V,228.8,,228.8,Yes
Twilley et al. (1997),"Guayas river estuary, Ecuador",Ecuador,-2.4167,-79.675,4,3,NA,mesohaline,forested,riverine,NA,0,NA,III~V,231.2,,231.2,Yes
Twilley et al. (1997),"Guayas river estuary, Ecuador",Ecuador,-2.4167,-79.675,4,3,NA,mesohaline,forested,riverine,NA,0,NA,III~V,255,,255,Yes
Twilley et al. (1997),"Guayas river estuary, Ecuador",Ecuador,-2.4167,-79.675,4,3,NA,mesohaline,forested,riverine,NA,0,NA,III~V,326.4,,326.4,Yes
Twilley et al. (1997),"Guayas river estuary, Ecuador",Ecuador,-2.4167,-79.675,4,3,NA,mesohaline,forested,riverine,NA,0,NA,III~V,374.4,,374.4,Yes
Twilley et al. (1997),"Guayas river estuary, Ecuador",Ecuador,-2.4167,-79.675,4,3,NA,mesohaline,forested,riverine,NA,0,NA,III~V,391.5,,391.5,Yes
Eid & Shaltout (2015),Eid-a,Egypt,27.4,33.6833,1,4,NA,NA,scrub shrub,fringe,0.4,0,0.4,III~V,218.29,88.4,88.4,Yes
Madkour et al. (2014),T10-32,Egypt,25.6991,34.0872,4,4,NA,NA,NA,interior,0.05,0,0.05,III~V,152.0846403,,152.08464,Yes
Madkour et al. (2014),T10-33,Egypt,25.6991,34.0872,4,4,NA,NA,NA,interior,0.05,0,0.05,III~V,194.7123934,,194.712393,Yes
Madkour et al. (2014),T10-34,Egypt,25.6991,34.0872,4,4,NA,NA,NA,interior,0.05,0,0.05,III~V,290.0859406,,290.085941,Yes
Madkour et al. (2014),T1-1,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,152.0846403,,152.08464,Yes
Madkour et al. (2014),T11-35,Egypt,25.8333,34.4333,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,194.7123934,,194.712393,Yes
Madkour et al. (2014),T11-36,Egypt,25.8333,34.4333,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,118.789243,,118.789243,Yes
Madkour et al. (2014),T11-37,Egypt,25.8333,34.4333,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,118.789243,,118.789243,Yes
Madkour et al. (2014),T1-2,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,202.0973718,,202.097372,Yes
Madkour et al. (2014),T12-38,Egypt,25.8333,34.4333,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,130.8975912,,130.897591,Yes
Madkour et al. (2014),T12-39,Egypt,25.8333,34.4333,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,97.63415521,,97.6341552,Yes
Madkour et al. (2014),T12-40,Egypt,25.8333,34.4333,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,118.789243,,118.789243,Yes
Madkour et al. (2014),T1-3,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,183.0374108,,183.037411,Yes
Madkour et al. (2014),T1-4,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,161.5764851,,161.576485,Yes
Madkour et al. (2014),T1-5,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,187.0155709,,187.015571,Yes
Madkour et al. (2014),T2-6,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,235.3689592,,235.368959,Yes
Madkour et al. (2014),T2-7,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,232.2702207,,232.270221,Yes
Madkour et al. (2014),T2-8,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,152.0846403,,152.08464,Yes
Madkour et al. (2014),T3-10,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,105.1922961,,105.192296,Yes
Madkour et al. (2014),T3-11,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,89.39264839,,89.3926484,Yes
Madkour et al. (2014),T3-9,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,156.9071914,,156.907191,Yes
Madkour et al. (2014),T4-12,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,212.6637971,,212.663797,Yes
Madkour et al. (2014),T4-13,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,194.7123934,,194.712393,Yes
Madkour et al. (2014),T4-14,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,174.7906599,,174.79066,Yes
Madkour et al. (2014),T5-15,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,136.5243073,,136.524307,Yes
Madkour et al. (2014),T5-16,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,277.4858427,,277.485843,Yes
Madkour et al. (2014),T5-17,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,297.3731634,,297.373163,Yes
Madkour et al. (2014),T6-18,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,264.2431555,,264.243156,Yes
Madkour et al. (2014),T6-19,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,190.9053901,,190.90539,Yes
Madkour et al. (2014),T6-20,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,272.2712618,,272.271262,Yes
Madkour et al. (2014),T7-21,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,285.1172187,,285.117219,Yes
Madkour et al. (2014),T7-22,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,264.2431555,,264.243156,Yes
Madkour et al. (2014),T7-23,Egypt,25.8675,34.4133,4,4,NA,NA,forested to shrub,fringe,0.05,0,0.05,III~V,170.5073598,,170.50736,Yes
Madkour et al. (2014),T9-29,Egypt,25.6991,34.0872,4,4,NA,NA,NA,interior,0.05,0,0.05,III~V,190.9053901,,190.90539,Yes
Madkour et al. (2014),T9-30,Egypt,25.6991,34.0872,4,4,NA,NA,NA,interior,0.05,0,0.05,III~V,209.2049348,,209.204935,Yes
Madkour et al. (2014),T9-31,Egypt,25.6991,34.0872,4,4,NA,NA,NA,interior,0.05,0,0.05,III~V,225.9364836,,225.936484,Yes
Okbah et al. (2005),I,Egypt,28,34.2,0,1,NA,NA,NA,fringe,NA,0,NA,III~V,165.9765668,87.06895905,87.06895905,Yes
Okbah et al. (2005),Okbah-II,Egypt,28,34.2,0,1,NA,NA,NA,fringe,NA,0,NA,III~V,123.2341545,62.37776111,62.37776111,Yes
Okbah et al. (2005),Okbah-III,Egypt,28,34.2,0,1,NA,NA,NA,fringe,NA,0,NA,III~V,158.0030482,82.39792656,82.39792656,Yes
Okbah et al. (2005),Okbah-IV,Egypt,28,34.2,0,1,NA,NA,NA,fringe,NA,0,NA,III~V,150.2965309,77.91010564,77.91010564,Yes
Okbah et al. (2005),Okbah-V,Egypt,28,34.2,0,1,NA,NA,NA,fringe,NA,0,NA,III~V,164.4584586,86.17750642,86.17750642,Yes
Okbah et al. (2005),Okbah-VI,Egypt,28,34.2,0,1,NA,NA,NA,fringe,NA,0,NA,III~V,157.0904009,81.86505688,81.86505688,Yes
Okbah et al. (2005),Okbah-VII,Egypt,28,34.2,0,1,NA,NA,NA,fringe,NA,0,NA,III~V,166.6226668,87.44865475,87.44865475,Yes
Cormier et al. (2015),Sapwalap-fringe,Fed. States of Micronesia,6.88405,158.295021,5,6,NA,NA,NA,fringe,0.45,0,0.45,III~V,114.68,363.5723988,363.5723988,Yes
Cormier et al. (2015),Sapwalap-Interior,Fed. States of Micronesia,6.88405,158.295021,5,6,NA,NA,NA,interior,0.45,0,0.45,III~V,107.88,339.279984,339.279984,Yes
Cormier et al. (2015),Sapwalap-Riverine,Fed. States of Micronesia,6.88405,158.295021,5,6,NA,NA,NA,riverine,0.45,0,0.45,III~V,241.28,312.1437926,312.1437926,Yes
Cormier et al. (2015),Yela-fringe,Fed. States of Micronesia,5.329316,162.944394,6,6,NA,NA,NA,fringe,0.45,0,0.45,III~V,95.19,142.552559,142.552559,Yes
Cormier et al. (2015),Yela-Interior,Fed. States of Micronesia,5.329316,162.944394,6,6,NA,NA,NA,interior,0.45,0,0.45,III~V,37.84,115.660613,115.660613,Yes
Cormier et al. (2015),Yela-Riverine,Fed. States of Micronesia,5.329316,162.944394,6,6,NA,NA,NA,riverine,0.45,0,0.45,III~V,58.28,170.4077291,170.4077291,Yes
Donato et al. (2011),K1,Fed. States of Micronesia,5.34919,162.96306,5,5,NA,NA,forested,overwash,0.74,0,0.74,III~V,466.7,,466.7,Yes
Donato et al. (2011),K2,Fed. States of Micronesia,5.28219,162.96406,5,5,NA,NA,forested,overwash,2.75,0,2.75,III~V,500.32,,500.32,Yes
Donato et al. (2011),K3,Fed. States of Micronesia,5.32633,162.94497,5,5,NA,NA,forested,overwash,2.99,0,2.99,III~V,291.87,,291.87,Yes
Donato et al. (2011),K4,Fed. States of Micronesia,5.2833,162.9105,4,4,NA,NA,forested,overwash,1.55,0,1.55,III~V,513.52,,513.52,Yes
Donato et al. (2011),Y1,Fed. States of Micronesia,9.5563,138.1798,4,3,NA,NA,scrub shrub,overwash,1.44,0,1.44,III~V,417.24,,417.24,Yes
Donato et al. (2011),Y2,Fed. States of Micronesia,9.5145,138.1493,4,4,NA,NA,forested to shrub,overwash,1.24,0,1.24,III~V,502,,502,Yes
Donato et al. (2011),Y3,Fed. States of Micronesia,9.5528,138.0998,4,4,NA,NA,forested,overwash,1.74,0,1.74,III~V,512.56,,512.56,Yes
Donato et al. (2011),Y4,Fed. States of Micronesia,9.5425,138.0907,4,4,NA,NA,forested,overwash,1.44,0,1.44,III~V,415.52,,415.52,Yes
Donato et al. (2011),Y5,Fed. States of Micronesia,9.5884,138.1275,4,4,NA,NA,forested,overwash,2.23,0,2.23,III~V,520.8,,520.8,Yes
Donato et al. (2012),YM1,Fed. States of Micronesia,9.5426,138.0907,4,4,NA,NA,forested,overwash,1~3,0,1~3,III~V,631.6,,631.6,Yes
Donato et al. (2012),YM2,Fed. States of Micronesia,9.5563,138.1798,4,3,NA,NA,forested,overwash,1~3,0,1~3,III~V,602.6,,602.6,Yes
Donato et al. (2012),YM3,Fed. States of Micronesia,9.5145,138.1493,4,4,NA,NA,forested,overwash,1~3,0,1~3,III~V,582.7,,582.7,Yes
Donato et al. (2012),YM4,Fed. States of Micronesia,9.5528,138.0998,4,4,NA,NA,forested,overwash,1~3,0,1~3,III~V,874.9,,874.9,Yes
Donato et al. (2012),YM5,Fed. States of Micronesia,9.5884,138.1274,4,4,NA,NA,forested,overwash,1~3,0,1~3,III~V,1077.6,,1077.6,Yes
Fujimoto et al. (1999),B1-Fujimoto,Fed. States of Micronesia,6.8583,158.2941,4,4,NA,NA,NA,fringe,3.65,0,3.65,III~V,653.4,,653.4,Yes
Fujimoto et al. (1999),B2-Fujimoto,Fed. States of Micronesia,6.8583,158.2941,4,4,NA,NA,NA,interior,3.47,0,3.47,III~V,541.82,,541.82,Yes
Fujimoto et al. (1999),P1-Fujimoto,Fed. States of Micronesia,6.8583,158.2941,4,4,NA,NA,NA,interior,1.1,0,1.1,III~V,681.53,,681.53,Yes
Kauffman et al. (2011),Yap-interior,Fed. States of Micronesia,9.5879,138.1277,4,4,0.52,NA,NA,overwash,1.59,0,1.59,III~V,341.115,,341.115,Yes
Kauffman et al. (2011),Yap-Lanward,Fed. States of Micronesia,9.5879,138.1277,4,4,1.34,NA,NA,overwash,2.31,0,2.31,III~V,499.305,,499.305,Yes
Kauffman et al. (2011),Yap-seaward,Fed. States of Micronesia,9.5879,138.1277,4,4,0.04,NA,NA,overwash,1.48,0,1.48,III~V,413.83,,413.83,Yes
Ono et al. (2015),Ono-1,Fed. States of Micronesia,6.8756,158.3339,4,4,0.3,NA,NA,interior,0.8,0,0.8,III~V,542.4280144,,542.428014,Yes
Marchand et al. (2003),C1-01-FG,French Guiana/Guadeloupe,5.349,-52.8449,3,4,NA,NA,forested,fringe,1.8,0,1.8,III~V,190.1891686,,190.189169,Yes
Marchand et al. (2003),C12-French Guiana,French Guiana/Guadeloupe,5.3612,-52.8879,4,4,NA,NA,forested,interior,1.8,0,1.8,III~V,58.97962311,,58.9796231,Yes
Marchand et al. (2003),C2-French Guiana,French Guiana/Guadeloupe,5.4441,-52.9951,4,4,NA,NA,scrub shrub,dwarf,1.8,0,1.8,III~V,126.02301,,126.02301,Yes
Marchand et al. (2003),C8-French Guiana,French Guiana/Guadeloupe,5.4439,-52.8417,4,4,NA,NA,forested,fringe,1.8,0,1.8,III~V,124.7682999,,124.7683,Yes
Marchand et al. (2004),C1-01-march2004-French Guiana,French Guiana/Guadeloupe,5.349,-52.8449,3,4,NA,NA,forested,fringe,1,0,1,III~V,124.956,,124.956,Yes
Marchand et al. (2004),C11-00-FG,French Guiana/Guadeloupe,5.4447,-52.995,4,3,NA,mesohaline,scrub shrub,fringe,1,0,1,III~V,110.8,,110.8,Yes
Marchand et al. (2004),C12-01-FG,French Guiana/Guadeloupe,5.3612,-52.8879,4,4,NA,oligohaline,forested,interior,1,0,1,III~V,165.135,,165.135,Yes
Marchand et al. (2004),C14-01-FG,French Guiana/Guadeloupe,5.3613,-52.886,4,3,NA,oligohaline,forested,interior,1,0,1,III~V,169.9,,169.9,Yes
Marchand et al. (2004),C15-01-FG,French Guiana/Guadeloupe,5.3613,-52.8867,4,4,NA,oligohaline,forested,interior,1,0,1,III~V,192.1,,192.1,Yes
Marchand et al. (2004),C17-01-FG,French Guiana/Guadeloupe,5.3577,-52.8449,4,4,NA,polyhaline,forested,interior,1,0,1,III~V,119.54,,119.54,Yes
Marchand et al. (2004),C18-01-FG,French Guiana/Guadeloupe,5.4444,-52.995,4,3,NA,mesohaline,forested,riverine,1,0,1,III~V,113.21,,113.21,Yes
Marchand et al. (2004),C20-02-FG,French Guiana/Guadeloupe,5.3798,-52.9208,4,4,NA,mesohaline,forested,interior,1,0,1,III~V,207.2,,207.2,Yes
Marchand et al. (2004),C2-01-FG,French Guiana/Guadeloupe,5.4441,-52.9951,4,4,NA,mesohaline,scrub shrub,dwarf,1,0,1,III~V,177.5,,177.5,Yes
Marchand et al. (2004),C21-02-FG,French Guiana/Guadeloupe,5.4217,-53.0035,4,4,NA,mesohaline,forested,riverine,1,0,1,III~V,169.5,,169.5,Yes
Marchand et al. (2004),C22-02-FG,French Guiana/Guadeloupe,4.7907,-52.1301,4,4,NA,polyhaline,forested,fringe,1,0,1,III~V,111.02,,111.02,Yes
Marchand et al. (2004),C23-02-FG,French Guiana/Guadeloupe,4.7898,-52.1325,4,4,NA,mesohaline,forested,fringe,1,0,1,III~V,107.23,,107.23,Yes
Marchand et al. (2004),C24-02-FG,French Guiana/Guadeloupe,4.7889,-52.1349,4,4,NA,mesohaline,forested,fringe,1,0,1,III~V,110.33,,110.33,Yes
Marchand et al. (2004),C25-02-FG,French Guiana/Guadeloupe,4.7928,-52.1331,4,4,NA,mesohaline,forested,fringe,1,0,1,III~V,175.85,,175.85,Yes
Marchand et al. (2004),C26-02-FG,French Guiana/Guadeloupe,4.7834,-52.1321,4,4,NA,NA,forested,fringe,1,0,1,III~V,121,,121,Yes
Marchand et al. (2004),C27-02-FG,French Guiana/Guadeloupe,4.7723,-52.1313,4,4,NA,mesohaline,forested,riverine,1,0,1,III~V,155.32,,155.32,Yes
Marchand et al. (2004),C28-02-FG,French Guiana/Guadeloupe,4.7722,-52.1311,4,4,NA,mesohaline,forested,riverine,1,0,1,III~V,169.04,,169.04,Yes
Marchand et al. (2004),C8-00-FG,French Guiana/Guadeloupe,5.3477,-52.8437,4,4,NA,NA,forested,fringe,1,0,1,III~V,119.5,,119.5,Yes
Marchand et al. (2005),mature-FG,French Guiana/Guadeloupe,5.3798,-52.9208,4,4,NA,NA,forested,interior,0.8,0,0.8,III~V,193.4566753,,193.456675,Yes
Marchand et al. (2005),recolonized-FG,French Guiana/Guadeloupe,5.4441,-52.9951,4,4,NA,NA,scrub shrub,dwarf,1,0,1,III~V,184.5643387,,184.564339,Yes
Marchand et al. (2005),Rhizoph-FG,French Guiana/Guadeloupe,4.7838,-52.1331,4,4,NA,NA,forested,fringe,0.9,0,0.9,III~V,152.5072972,,152.507297,Yes
Marchand et al. (2005),senesced-FG,French Guiana/Guadeloupe,5.3612,-52.8879,4,4,NA,NA,forested,interior,0.7,0,0.7,III~V,329.148755,,329.148755,Yes
Marchand et al. (2005),young mature-FG,French Guiana/Guadeloupe,5.349,-52.8449,3,4,NA,NA,forested,fringe,0.8,0,0.8,III~V,116.5886172,,116.588617,Yes
Marchand et al. (2008),C1-01-FG,French Guiana/Guadeloupe,5.349,-52.8449,3,4,NA,NA,forested,fringe,1.6,0,1.6,III~V,112.7718692,,112.771869,Yes
Marchand et al. (2008),C12-01-FG,French Guiana/Guadeloupe,5.3612,-52.8879,4,4,NA,NA,forested,interior,0.7,0,0.7,III~V,290.8338198,,290.83382,Yes
Lallier-Verges et al. (1998),Laguncularia zone-GU,French Guiana/Guadeloupe,16.2808,-61.555,4,3,,mesohaline to polyhaline,NA,interior,1,0,1,III~V,589.49,,589.49,Yes
Lallier-Verges et al. (1998),Rhizophora zone-GU,French Guiana/Guadeloupe,16.2808,-61.555,4,3,,saline,NA,fringe,1.4,0,1.4,III~V,657.53,,657.53,Yes
Ajonina et al. (2014),Gabon-heavy,Gabon,-2.2397,9.5594,4,4,NA,NA,forested,NA,1,0,1,III~V,660,,660,Yes
Ajonina et al. (2014),Gabon-mod,Gabon,-2.2397,9.5594,4,4,NA,NA,forested,NA,1,0,1,III~V,593.3,,593.3,Yes
Ajonina et al. (2014),Gabon-undistrubed,Gabon,-2.2397,9.5594,4,4,NA,NA,forested,NA,1,0,1,III~V,954.9,,954.9,Yes
Ntyam (2014 thesis),Ghana Avicennia,Ghana,6.2083,-0.5,4,1,NA,NA,NA,NA,NA,NA,NA,III~V,202.0973718,,202.097372,Yes
Ntyam (2014 thesis),Ghana mix,Ghana,6.2083,-0.5,4,1,NA,NA,NA,NA,NA,NA,NA,III~V,280.3097686,,280.309769,Yes
Ntyam (2014 thesis),Ghana Rhizophora,Ghana,6.2083,-0.5,4,1,NA,NA,NA,NA,NA,NA,NA,III~V,253.6842479,,253.684248,Yes
Andreetta et al. (2016),Blaftchur Oio,Guinea-Bissau,11.9,-16.2037,1,4,NA,NA,NA,NA,0.8,0,0.8,III~V,85.7,,85.7,Yes
Andreetta et al. (2016),Tande Cheu,Guinea-Bissau,12.27,-15.292633,2,5,NA,NA,NA,NA,0.8,0,0.8,III~V,165.4,,165.4,Yes
Bhomia et al. (2016),Chismuyo,Honduras,13.4276,-87.61,4,2,NA,polyhaline,forested,fringe,2.7,0,2.7,III~V,336.3,,336.3,Yes
Bhomia et al. (2016),Isla de Pajaros,Honduras,13.3669,-87.47,4,2,NA,mixoeuhaline,forested to shrub,fringe,1.82,0,1.82,III~V,295.9,,295.9,Yes
Bhomia et al. (2016),San Bernardo,Honduras,13.0978,-87.18,4,2,NA,brine,forested,fringe,>2,0,>2,III~V,125,,125,Yes
