Authors,title,Year,Source Title,Included
"Shipley, ON; Gallagher, AJ; Shiffman, DS; Kaufman, L; Hammerschlag, N",Diverse resource-use strategies in a large-bodied marine predator guild: evidence from differential use of resource subsidies and intraspecific isotopic variation,2019,MARINE ECOLOGY PROGRESS SERIES,no
"Sichum, S; Tantichodok, P; Jutagate, T",DIVERSITY AND ASSEMBLAGE PATTERNS OF JUVENILE AND SMALL SIZED FISHES IN THE NEARSHORE HABITATS OF THE GULF OF THAILAND,2013,RAFFLES BULLETIN OF ZOOLOGY,no
"Hantanirina, JMO; Benbow, S",Diversity and coverage of seagrass ecosystems in south-west Madagascar,2013,AFRICAN JOURNAL OF MARINE SCIENCE,no
"Lim, LJW; Loh, JBY; Lim, AJS; Tan, BYX; Ip, YCA; Neo, ML; Tan, R; Huang, DW",Diversity and distribution of intertidal marine species in Singapore,2020,RAFFLES BULLETIN OF ZOOLOGY,no
"Bandeira, S","Diversity and distribution of seagrasses around Inhaca Island, southern Mozambique",2002,SOUTH AFRICAN JOURNAL OF BOTANY,no
"Tan, HS; Rahim, AA","Diversity of coastal mysids from Pulau Tinggi, Sultan Iskandar Marine Park, Malaysia",2018,NAUPLIUS,no
"Chilvers, BL; Delean, S; Gales, NJ; Holley, DK; Lawler, IR; Marsh, H; Preen, AR","Diving behaviour of dugongs, Dugong dugon",2004,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,no
"Darcy, MC; Eggleston, DB",Do habitat corridors influence animal dispersal and colonization in estuarine systems?,2005,LANDSCAPE ECOLOGY,no
"Hajisamae, S; Yeesin, P","Do habitat, month and environmental parameters affect shrimp assemblage in a shallow semi-enclosed tropical bay, Thailand?",2014,RAFFLES BULLETIN OF ZOOLOGY,no
"W Ahmed, Y Wu, S Kidwai, X Li, T Mahmood…","Do Indus Delta mangroves and Indus River contribute to organic carbon in deltaic creeks and coastal waters (Northwest Indian Ocean, Pakistan)?",2021,Continental Shelf …,yes
"Kristensen, E; Rabenhorst, MC","Do marine rooted plants grow in sediment or soil? A critical appraisal on definitions, methodology and communication",2015,EARTH-SCIENCE REVIEWS,no
"Nagelkerken, I; van der Velde, G",Do non-estuarine mangroves harbour higher densities of juvenile fish than adjacent shallow-water and coral reef habitats in Curacao (Netherlands Antilles)?,2002,MARINE ECOLOGY PROGRESS SERIES,no
"Sales, ND; Baeta, ASBV; de Lima, LG; Pessanha, ALM",Do the shallow-water habitats of a hypersaline tropical estuary act as nursery grounds for fishes?,2018,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,no
"Conrad, S; Brown, DR; Alvarez, PG; Bates, B; Ibrahim, N; Reid, A; Monteiro, LS; Silva, DA; Mamo, LT; Bowtell, JR; Lin, HA; Tolentino, NL; Sanders, CJ",Does Regional Development Influence Sedimentary Blue Carbon Stocks? A Case Study From Three Australian Estuaries,2019,FRONTIERS IN MARINE SCIENCE,yes
"Q Xu, B Liu, Y Zhou","Does the eelgrass meadow influence the macrobenthic community structure in Swan Lake, Northern China?",2018,Marine Biodiversity,no
"Pazzaglia, J; Santillan-Sarmiento, A; Helber, SB; Ruocco, M; Terlizzi, A; Marin-Guirao, L; Procaccini, G",Does Warming Enhance the Effects of Eutrophication in the Seagrass Posidonia oceanica?,2020,FRONTIERS IN MARINE SCIENCE,no
"Lewis, CJE; Young, MA; Ierodiaconou, D; Baldock, JA; Hawke, B; Sanderman, J; Carnell, PE; Macreadie, PI",Drivers and modelling of blue carbon stock variability in sediments of southeastern Australia,2020,BIOGEOSCIENCES,yes
RO Ismail,"Drivers of carbon sink function in tropical seagrass beds: influence of carbon import, plant composition, seascape configuration and human activities",2021,NA,yes
"Macklin, PA; Suryaputra, IGNA; Maher, DT; Murdiyarso, D; Santos, IR",Drivers of CO2 along a mangrove-seagrass transect in a tropical bay: Delayed groundwater seepage and seagrass uptake,2019,CONTINENTAL SHELF RESEARCH,yes
"Gillis, LG; Belshe, FE; Ziegler, AD; Bouma, TJ",Driving forces of organic carbon spatial distribution in the tropical seascape,2017,JOURNAL OF SEA RESEARCH,yes
"Cleguer, C; Garrigue, C; Marsh, H",Dugong (Dugong dugon) movements and habitat use in a coral reef lagoonal ecosystem,2020,ENDANGERED SPECIES RESEARCH,no
"HEINSOHN, GE; WAKE, J; MARSH, H; SPAIN, AV",DUGONG (DUGONG-DUGON (MULLER)) IN SEAGRASS SYSTEM,1977,AQUACULTURE,no
"Aragones, LV; Lawler, IR; Foley, WJ; Marsh, H",Dugong grazing and turtle cropping: grazing optimization in tropical seagrass systems?,2006,OECOLOGIA,no
"Sheppard, JK; Marsh, H; Jones, RE; Lawler, IR","Dugong habitat use in relation to seagrass nutrients, tides, and diel cycles",2010,MARINE MAMMAL SCIENCE,no
"Johansen, K; Dunne, AF; Tu, YH; Almashharawi, S; Jones, BH; McCabe, MF",Dye tracing and concentration mapping in coastal waters using unmanned aerial vehicles,2022,SCIENTIFIC REPORTS,no
"F Daniel, F Sidik",Dynamic Sedimentary Environments of Mangrove Coasts,2020,NA,no
"Buzzelli, CP; Wetzel, RL; Meyers, MB",Dynamic simulation of littoral zone habitats in lower Chesapeake Bay. II. Seagrass habitat primary production and water quality relationships,1998,ESTUARIES,no
"Asplund, ME; Dahl, M; Ismail, RO; Arias-Ortiz, A; Deyanova, D; Franco, JN; Hammar, L; Hoamby, AI; Linderholm, HW; Lyimo, LD; Perry, D; Rasmusson, LM; Ridgway, SN; Gispert, GS; D'Agata, S; Glass, L; Mahafina, JA; Ramahery, V; Masque, P; Bjork, M; Gullstrom, M",Dynamics and fate of blue carbon in a mangrove-seagrass seascape: influence of landscape configuration and land-use change,2021,LANDSCAPE ECOLOGY,yes
J Samper Villarreal,Dynamics of carbon storage in subtropical seagrass meadows,2015,NA,yes
"Arai, H; Inubushi, K; Chiu, CY",Dynamics of Methane in Mangrove Forest: Will It Worsen with Decreasing Mangrove Forests?,2021,FORESTS,no
"Bouillon, S; Dehairs, F; Velimirov, B; Abril, G; Borges, AV","Dynamics of organic and inorganic carbon across contiguous mangrove and seagrass systems (Gazi Bay, Kenya)",2007,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,yes
SM Trevathan-Tackett,Dynamics of refractory carbon in seagrass meadows,2016,NA,yes
"Rakocinski, CF; McCall, DD","Early blue crab recruitment to alternative nursery habitats in Mississippi, USA",2005,JOURNAL OF SHELLFISH RESEARCH,no
"Scully, NM; Maie, N; Dailey, SK; Boyer, JN; Jones, RD; Jaffe, R","Early diagenesis of plant-derived dissolved organic matter along a wetland, mangrove, estuary ecotone",2004,LIMNOLOGY AND OCEANOGRAPHY,no
"Lindley, ID","Echinoids of the Kairuku Formation (Lower Pliocene), Yule Island, Papua New Guinea: Regularia",2003,PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,no
S Bhowmik,Ecological and economic importance of wetlands and their vulnerability: a review,2020,Current State and Future Impacts of Climate Change …,no
"Lee, WK; Ho, CL",Ecological and evolutionary diversification of sulphated polysaccharides in diverse photosynthetic lineages: A review,2022,CARBOHYDRATE POLYMERS,no
"HERNANDEZALCANTARA, P; SOLISWEISS, V","ECOLOGICAL ASPECTS OF THE POLYCHAETE POPULATIONS ASSOCIATED WITH THE RED MANGROVE RHIZOPHORA-MANGLE AT LAGUNA DE TERMINOS, SOUTHERN PART OF THE GULF OF MEXICO",1991,OPHELIA,no
"Harty, C; Cheng, D","Ecological assessment and strategies for the management of mangroves in Brisbane water - Gosford, New South Wales, Australia",2003,LANDSCAPE AND URBAN PLANNING,no
"Berkstrom, C; Jorgensen, TL; Hellstrom, M",Ecological connectivity and niche differentiation between two closely related fish species in the mangrove-seagrass-coral reef continuum,2013,MARINE ECOLOGY PROGRESS SERIES,no
"AK Mishra, D Apte, SH Farooq",Ecological connectivity of seagrasses with mangroves increases the carbon storage of tropical seagrass meadows of an island ecosystem,2021,NA,yes
"Mishra, AK; Apte, D",Ecological connectivity with mangroves influences tropical seagrass population longevity and meadow traits within an island ecosystem,2020,MARINE ECOLOGY PROGRESS SERIES,no
"C Boström, SJ Pittman, C Simenstad",Ecological consequences of seagrass and salt-marsh seascape patterning on marine fauna,2017,Seascape Ecology,no
"Ren, GB; Zhao, YJ; Wang, JB; Wu, PQ; Ma, Y",Ecological effects analysis of Spartina alterniflora invasion within Yellow River delta using long time series remote sensing imagery,2021,ESTUARINE COASTAL AND SHELF SCIENCE,no
"Andrade, H; Santos, J; Ixquiac, MJ",Ecological linkages in a Caribbean estuary bay,2015,MARINE ECOLOGY PROGRESS SERIES,no
"Collin, R",Ecological monitoring and biodiversity surveys at the Smithsonian Tropical Research Institute's Bocas del Toro Research Station,2005,CARIBBEAN JOURNAL OF SCIENCE,no
"Ferraro, SP; Cole, FA",Ecological periodic tables for nekton usage of four US Pacific Northwest estuarine habitats,2010,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,no
SM Bilodeau,Ecological process in pattern generation in tropical coral-seagrass reefscapes,2019,NA,no
"RH Day, ST Allen, J Brenner, K Goodin…",Ecological resilience indicators for mangrove ecosystems,2018,… Indicators for Five …,no
"VM Congdon, KH Dunton, J Brenner, KL Goodin…",Ecological Resilience Indicators for Seagrass Ecosystems,NA,natureserve.org,no
"D Sinha, S Datta, V Chaudhary, D Banerjee…",Ecological Succession of Wetlands: A Review of the Current Scenario,2022,… of Research on …,no
"H Asmus, D Kneer, C Pogoreutz, S Blankenhorn…",Ecology of seagrass beds in Sulawesi—Multifunctional key habitats at the risk of destruction,2022,Science for the …,yes
"De Grave, S; Barnes, DKA","Ecology of tropical hermit crabs (Crustacea Decapoda) at Quirimba Island, Mozambique: a multivariate assemblage perspective",2001,TROPICAL ZOOLOGY,no
"Unsworth, RKF; Cullen, LC; Pretty, JN; Smith, DJ; Bell, JJ",Economic and subsistence values of the standing stocks of seagrass fisheries: Potential benefits of no-fishing marine protected area management,2010,OCEAN & COASTAL MANAGEMENT,no
"M Maanan, H Kacem, Y Bouroubi, Y Khomalli…",Economic Benefit of Coastal 'Blue Carbon'Stocks in Moroccan Lagoon Ecosystem: A Case Study From Moulay Bousselham lagoon,2022,NA,yes
"Samonte-Tan, GPB; White, AT; Tercero, MA; Diviva, J; Tabara, E; Caballes, C","Economic valuation of coastal and marine resources: Bohol Marine Triangle, Philippines",2007,COASTAL MANAGEMENT,no
CMT dos Santos,Economic Value of Blue Carbon: Challenges and Opportunities for Portuguese Coastal Habitats,2018,NA,yes
"ND Crossman, N Stoeckl, KK Sangha…",Economic Values of the Northern Territory Marine and Coastal Environments,2018,Australian Marine …,no
"K Sangha, R Costanza","Economic Values of the Northern Territory Marine and Coastal Environments Neville D. Crossman1, Natalie Stoeckl2, Kamaljit",2018,NA,no
"X Dong, Y Wang, L Moss, N Kraft",Economic Viability of Blue Carbon Offsets in Coastal North Carolina & Louisiana,2013,NA,yes
"Torres-Pulliza, D; Wilson, JR; Darmawan, A; Campbell, SJ; Andrefouet, S",Ecoregional scale seagrass mapping: A tool to support resilient MPA network design in the Coral Triangle,2013,OCEAN & COASTAL MANAGEMENT,no
"S Sreelekshmi, M Harikrishnan, SB Nandan, VS Kaimal…","Ecosystem Carbon Stock and Stable Isotopic Signatures of Soil Organic Carbon Sources Across the Mangrove Ecosystems of Kerala, Southern India",2022,Wetlands,yes
"Chen, SY; Chen, B; Sastrosuwondo, P; Dharmawan, IWE; Ou, DY; Yin, XJ; Yu, WW; Chen, GC","Ecosystem carbon stock of a tropical mangrove forest in North Sulawesi, Indonesia",2018,ACTA OCEANOLOGICA SINICA,yes
"Phang, VXH; Chou, LM; Friess, DA","Ecosystem carbon stocks across a tropical intertidal habitat mosaic of mangrove forest, seagrass meadow, mudflat and sandbar",2015,EARTH SURFACE PROCESSES AND LANDFORMS,yes
PXINHUI VALERIE,"Ecosystem carbon stocks of intertidal habitats at Chek Jawa, Singapore",2015,NA,yes
"RK Bhomia, JB Kauffman, TN McFadden",Ecosystem carbon stocks of mangrove forests along the Pacific and Caribbean coasts of Honduras,2016,Wetlands ecology and …,yes
"JB Kauffman, RK Bhomia",Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: global and regional comparisons,2017,PloS one,yes
"Kauffman, JB; Heider, C; Cole, TG; Dwire, KA; Donato, DC",Ecosystem Carbon Stocks of Micronesian Mangrove Forests,2011,WETLANDS,yes
"H Westphal, GN Murphy, SS Doo, T Mann, A Petrovic…",Ecosystem design as an avenue for improving services provided by carbonate producing marine ecosystems,2022,PeerJ,no
"Bouma, TJ; Olenin, S; Reise, K; Ysebaert, T",Ecosystem engineering and biodiversity in coastal sediments: posing hypotheses,2009,HELGOLAND MARINE RESEARCH,no
"Gutierrez, JL",Ecosystem Engineers in the World Coasts: Case Studies and Conceptual Linkages,2020,DIVERSITY-BASEL,no
"Sheaves, M",Ecosystem equivalence and the ability to generalise: insights from global consistencies in mangrove fish assemblages,2012,MARINE ECOLOGY PROGRESS SERIES,no
"Yanez-Arancibia, A; Day, JW; Sanchez-Gil, P; Day, JN; Lane, RR; Zarate-Lomeli, D; Vasquez, HA; Rojas-Galaviz, JL; Ramirez-Gordillo, J","Ecosystem functioning: The basis for restoration and management of a tropical coastal lagoon, Pacific coast of Mexico",2014,ECOLOGICAL ENGINEERING,no
"Osorio-Cano, JD; Osorio, AF; Pelaez-Zapata, DS",Ecosystem management tools to study natural habitats as wave damping structures and coastal protection mechanisms,2019,ECOLOGICAL ENGINEERING,no
"Wallace, RB; Peterson, BJ; Gobler, CJ",Ecosystem Metabolism Modulates the Dynamics of Hypoxia and Acidification Across Temperate Coastal Habitat Types,2021,FRONTIERS IN MARINE SCIENCE,no
"A Buosi, Y Tomio, AS Juhmani, A Sfriso","Ecosystem Organic Carbon Stock Estimations in the Sile River, North Eastern Italy",2020,Water,no
"AD Guerry, ML Plummer…",Ecosystem service assessments for marine conservation,2011,… capital: Theory and …,yes
"Caro, C; Marques, JC; Cunha, PP; Teixeira, Z",Ecosystem services as a resilience descriptor in habitat risk assessment using the InVEST model,2020,ECOLOGICAL INDICATORS,no
H Almahasheer,Ecosystem services of Avicennia marina in the Red Sea,2016,NA,yes
"Moberg, F; Ronnback, P","Ecosystem services of the tropical seascape: interactions, substitutions and restoration",2003,OCEAN & COASTAL MANAGEMENT,no
"R Kumar, AK Pattnaik, CM Finlayson",Ecosystem services: implications for managing Chilika,2020,"Ecology, Conservation, and …",no
A Hejnowicz,Ecosystem Services–Theories and Applications: Opportunities for Humanity to Regain Paradise,2015,NA,no
"Trevathan-Tackett, SM; Kepfer-Rojas, S; Engelen, AH; York, PH; Ola, A; Li, JQ; Kelleway, JJ; Jinks, KI; Jackson, EL; Adame, MF; Pendall, E; Lovelock, CE; Connolly, R; Watson, A; Visby, I; Trethowan, A; Taylor, B; Roberts, TNB; Petch, J; Farrington, L; Djukic, I; Macreadie, PI",Ecosystem type drives tea litter decomposition and associated prokaryotic microbiome communities in freshwater and coastal wetlands at a continental scale,2021,SCIENCE OF THE TOTAL ENVIRONMENT,no
"Peters, EC; Gassman, NJ; Firman, JC; Richmond, RH; Power, EA",Ecotoxicology of tropical marine ecosystems,1997,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,no
"Richir, J; Bouillon, S; Gobert, S; Skov, MW; Borges, AV","Editorial: Structure, Functioning and Conservation of Coastal Vegetated Wetlands",2020,FRONTIERS IN ECOLOGY AND EVOLUTION,no
"J Doyle, B Johnson, P Dostie",Eelgrass Bed Carbon Storage in Casco Bay,2018,NA,no
"K Sherman, LA DeBruyckere",Eelgrass habitats on the US West Coast,2018,State of the Knowledge of …,no
"Gorman, AM; Gregory, RS; Schneider, DC",Eelgrass patch size and proximity to the patch edge affect predation risk of recently settled age 0 cod (Gadus),2009,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,no
"Satumanatpan, S; Keough, MJ",Effect of barnacles on the survival and growth of temperate mangrove seedlings,1999,MARINE ECOLOGY PROGRESS SERIES,no
"Forward, RB; Tankersley, RA; Smith, KA; Welch, JM","Effect of chemical cues on orientation of blue crab, Callinectes sapidus megalopae in flow: implications for location of nursery areas",2003,MARINE BIOLOGY,no
"P Williamson, VA Guinder",Effect of climate change on marine ecosystems,2021,The Impacts of Climate Change,no
"HM Romero-Uribe, J López-Portillo…",Effect of degradation of a black mangrove forest on seasonal greenhouse gas emissions,2022,… Science and Pollution …,yes
"Scheffel, WA; Heck, KL; Rozas, LP",EFFECT OF HABITAT COMPLEXITY ON PREDATOR-PREY RELATIONSHIPS: IMPLICATIONS FOR BLACK MANGROVE RANGE EXPANSION INTO NORTHERN GULF OF MEXICO SALT MARSHES,2017,JOURNAL OF SHELLFISH RESEARCH,no
"Frost, MT; Rowden, AA; Attrill, MJ",Effect of habitat fragmentation on the macroinvertebrate infaunal communities associated with the seagrass Zostera marina L.,1999,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,no
"SD Sasmito, P Taillardat, JN Clendenning…",Effect of land‐use and land‐cover change on mangrove blue carbon: A systematic review,2019,Global Change …,no
"Brusati, ED; Grosholz, ED","Effect of native and invasive cordgrass on Macoma petalum density, growth, and isotopic signatures",2007,ESTUARINE COASTAL AND SHELF SCIENCE,no
"Nardin, W; Lera, S; Nienhuis, J",Effect of offshore waves and vegetation on the sediment budget in the Virginia Coast Reserve (VA),2020,EARTH SURFACE PROCESSES AND LANDFORMS,no
"Meynecke, JO; Lee, SY; Duke, NC; Warnken, J","Effect of rainfall as a component of climate change on estuarine fish production in Queensland, Australia",2006,ESTUARINE COASTAL AND SHELF SCIENCE,no
"LV Perdomo-Trujillo, JE Mancera-Pineda…","Effect of Restoration Actions on Organic Carbon Pools in the Lagoon—Delta Ciénaga Grande de Santa Marta, Colombian Caribbean",2021,Water,yes
"Marinho, CC; Campos, EA; Guimaraes, JRD; Esteves, FA","Effect of sediment composition on methane concentration and production in the transition zone of a mangrove (Sepetiba Bay, Rio de Janeiro, Brazil)",2012,BRAZILIAN JOURNAL OF BIOLOGY,YES
"Pujol, D; Colomer, J; Serra, T; Casamitjana, X",Effect of submerged aquatic vegetation on turbulence induced by an oscillating grid,2010,CONTINENTAL SHELF RESEARCH,NO
"MM Palacios, SM Trevathan-Tackett, ME Malerba…",Effects of a nutrient enrichment pulse on blue carbon ecosystems,2021,Marine Pollution …,YES
"Welch, JM; Rittschof, D; Bullock, TM; Forward, RB",Effects of chemical cues on settlement behavior of blue crab Callinectes sapidus postlarvae,1997,MARINE ECOLOGY PROGRESS SERIES,NO
"G Brodie, A N'Yeurt",Effects of climate change on seagrasses and seagrass habitats relevant to the Pacific Islands,2018,Science Review,NO
"Gladstone-Gallagher, RV; Lohrer, AM; Lundquist, CJ; Pilditch, CA",Effects of Detrital Subsidies on Soft-Sediment Ecosystem Function Are Transient and Source-Dependent,2016,PLOS ONE,no
"BB Hanggara, D Murdiyarso, YRS Ginting…","Effects of diverse mangrove management practices on forest structure, carbon dynamics and sedimentation in North Sumatra, Indonesia",2021,"Estuarine, Coastal and …",no
"Forward, RB; DeVries, MC; Rittschof, D; Frankel, DAZ; Bischoff, JP; Fisher, CM; Welch, JM",Effects of environmental cues on metamorphosis of the blue crab Callinectes sapidus,1996,MARINE ECOLOGY PROGRESS SERIES,no
"Micheli, F",Effects of experience on crab foraging in a mobile and a sedentary species,1997,ANIMAL BEHAVIOUR,no
"Dunbar, K; Baker, R; Sheaves, M",Effects of forest width on fish use of fringing mangroves in a highly urbanised tropical estuary,2017,MARINE AND FRESHWATER RESEARCH,no
"Hearne, EL; Johnson, RA; Gulick, AG; Candelmo, A; Bolten, AB; Bjorndal, KA",Effects of green turtle grazing on seagrass and macroalgae diversity vary spatially among seagrass meadows,2019,AQUATIC BOTANY,no
"Y Guan, J Bai, J Wang, W Wang, X Wang, L Zhang…",Effects of groundwater tables and salinity levels on soil organic carbon and total nitrogen accumulation in coastal wetlands with different plant cover types in a …,2021,Ecological …,yes
"Engel, DW; Thayer, GW",Effects of habitat alteration on blue crabs,1998,JOURNAL OF SHELLFISH RESEARCH,no
"Horinouchi, M; Tongnunui, P; Furumitsu, K; Kon, K; Nakamura, Y; Kanou, K; Yamaguchi, A; Seto, K; Okamoto, K; Sano, M","Effects of habitat change from a bare sand/mud area to a short seagrass Halophila ovalis bed on fish assemblage structure: a case study in an intertidal bay in Trang, southern Thailand",2016,ICHTHYOLOGICAL RESEARCH,no
"Lara, M; Peralta, G; Alonso, JJ; Morris, EP; Gonzalez-Ortiz, V; Rueda-Marquez, JJ; Perez-Llorens, JL",Effects of intertidal seagrass habitat fragmentation on turbulent diffusion and retention time of solutes,2012,MARINE POLLUTION BULLETIN,no
"R Aitali, M Snoussi, AS Kolker, B Oujidi…",Effects of Land Use/Land Cover Changes on Carbon Storage in North African Coastal Wetlands,2022,Journal of Marine …,yes
"Ziegler, SL; Grabowski, JH; Baillie, CJ; Fodrie, FJ",Effects of landscape setting on oyster reef structure and function largely persist more than a decade post-restoration,2018,RESTORATION ECOLOGY,no
"Meyer, DL; Posey, MH",Effects of Life History Strategy on Fish Distribution and Use of Estuarine Salt Marsh and Shallow-Water Flat Habitats,2009,ESTUARIES AND COASTS,no
"Shinnaka, T; Sano, M; Ikejima, K; Tongnunui, P; Horinouchi, M; Kurokura, H","Effects of mangrove deforestation on fish assemblage at Pak Phanang Bay, southern Thailand",2007,FISHERIES SCIENCE,no
"Nanjo, K; Kohno, H; Nakamura, Y; Horinouchi, M; Sano, M",Effects of mangrove structure on fish distribution patterns and predation risks,2014,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,no
"Nagelkerken, I; Grol, MGG; Mumby, PJ",Effects of Marine Reserves versus Nursery Habitat Availability on Structure of Reef Fish Communities,2012,PLOS ONE,no
"Alford, SB; Rozas, LP","Effects of Nonnative Eurasian Watermilfoil, Myriophyllum spicatum, on Nekton Habitat Quality in a Louisiana Oligohaline Estuary",2019,ESTUARIES AND COASTS,no
"FELLER, IC",EFFECTS OF NUTRIENT ENRICHMENT ON GROWTH AND HERBIVORY OF DWARF RED MANGROVE (RHIZOPHORA MANGLE),1995,ECOLOGICAL MONOGRAPHS,no
"Bucolo, P; Sullivan, MJ; Zimba, PV",Effects of nutrient enrichment on primary production and biomass of sediment microalgae in a subtropical seagrass bed,2008,JOURNAL OF PHYCOLOGY,no
"Ortodossi, NL; Gilby, BL; Schlacher, TA; Connolly, RM; Yabsley, NA; Henderson, CJ; Olds, AD",Effects of seascape connectivity on reserve performance along exposed coastlines,2019,CONSERVATION BIOLOGY,no
"Wicks, EC; Koch, EW; O'Neil, JM; Elliston, K",Effects of sediment organic content and hydrodynamic conditions on the growth and distribution of Zostera marina,2009,MARINE ECOLOGY PROGRESS SERIES,no
"M Dahl, D Deyanova, LD Lyimo, J Näslund…",Effects of shading and simulated grazing on carbon sequestration in a tropical seagrass meadow,2016,Journal of …,yes
"Bouma, TJ; Friedrichs, M; Klaassen, P; van Wesenbeeck, BK; Brun, FG; Temmerman, S; van Katwijk, MM; Graf, G; Herman, PMJ","Effects of shoot stiffness, shoot size and current velocity on scouring sediment from around seedlings and propagules",2009,MARINE ECOLOGY PROGRESS SERIES,no
"SM Trevathan‐Tackett, C Wessel…","Effects of small‐scale, shading‐induced seagrass loss on blue carbon storage: Implications for management of degraded seagrass ecosystems",2018,Journal of applied …,yes
"Ellis, J; Nicholls, P; Craggs, R; Hofstra, D; Hewitt, J",Effects of terrigenous sedimentation on mangrove physiology and associated macrobenthic communities,2004,MARINE ECOLOGY PROGRESS SERIES,no
"Sheppard, JK; Jones, RE; Marsh, H; Lawler, IR",Effects of Tidal and Diel Cycles on Dugong Habitat Use,2009,JOURNAL OF WILDLIFE MANAGEMENT,no
"Gonzalez-Ortiz, V; Alcazar, P; Vergara, JJ; Perez-Llorens, JL; Brun, FG",Effects of two antagonistic ecosystem engineers on infaunal diversity,2014,ESTUARINE COASTAL AND SHELF SCIENCE,no
"Rey, JR; O'Connell, SM",Effects of water discharges from impounded mangrove forests upon seagrasses and light attenuation in the adjoining estuary,2003,INTERCIENCIA,no
"Wu, WC; Cox, DT",Effects of wave steepness and relative water depth on wave attenuation by emergent vegetation,2015,ESTUARINE COASTAL AND SHELF SCIENCE,no
"Poli, A; Bovio, E; Verkley, G; Prigione, V; Varese, GC","Elbamycella rosea gen. et sp. nov. (Juncigenaceae, Torpedosporales) isolated from the Mediterranean Sea",2019,MYCOKEYS,no
"Machas, R; Santos, R; Peterson, B",Elemental and stable isotope composition of Zostera noltii (Horneman) leaves during the early phases of decay in a temperate mesotidal lagoon,2006,ESTUARINE COASTAL AND SHELF SCIENCE,yes
"Boyer, KE; Fong, P; Armitage, AR; Cohen, RA","Elevated nutrient content of tropical macroalgae increases rates of herbivory in coral, seagrass, and mangrove habitats",2004,CORAL REEFS,no
"Valiela, I; Mazzilli, S; Bowen, JL; Kroeger, KD; Cole, ML; Tomasky, G; Isaji, T","ELM, an estuarine nitrogen loading model: Formulation and verification of predicted concentrations of dissolved inorganic nitrogen",2004,WATER AIR AND SOIL POLLUTION,no
"Arkema, KK; Verutes, GM; Wood, SA; Clarke-Samuels, C; Rosado, S; Canto, M; Rosenthal, A; Ruckelshaus, M; Guannel, G; Toft, J; Faries, J; Silver, JM; Griffin, R; Guerry, AD",Embedding ecosystem services in coastal planning leads to better outcomes for people and nature,2015,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,no
"Liu, C; Liu, GY; Yang, Q; Luo, TY; He, P; Franzese, PP; Lombardi, GV",Emergy-based evaluation of world coastal ecosystem services,2021,WATER RESEARCH,no
"Clausen, KK; Clausen, P; Faelled, CC; Mouritsen, KN",Energetic consequences of a major change in habitat use: endangered Brent Geese Branta bernicla hrota losing their main food resource,2012,IBIS,no
"Kirwan, ML; Blum, LK",Enhanced decomposition offsets enhanced productivity and soil carbon accumulation in coastal wetlands responding to climate change,2011,BIOGEOSCIENCES,no
"L Chen, H Fan, Z Su, Q Lin…",Enhancing carbon storage in mangrove ecosystems of China through sustainable restoration and aquaculture actions,2021,Wetland Carbon and …,yes
"PLA Erftemeijer, ML Cambridge, BA Price, S Ito…",Enhancing growth of mangrove seedlings in the environmentally extreme Arabian Gulf using treated sewage sludge,2021,Marine Pollution …,no
"E Northrop, S Ruffo, G Taraska, LS Murray, E Pidgeon…",Enhancing Nationally Determined Contributions: Opportunities for Ocean-Based Climate Action,2021,NA,yes
"Chee, SY; Firth, LB; Then, AYH; Yee, JC; Mujahid, A; Affendi, YA; Amir, AA; Lau, CM; Ooi, JLS; Quek, YA; Tan, CE; Yap, TK; Yeap, CA; McQuatters-Gollop, A",Enhancing Uptake of Nature-Based Solutions for Informing Coastal Sustainable Development Policy and Planning: A Malaysia Case Study,2021,FRONTIERS IN ECOLOGY AND EVOLUTION,no
"Clifton, J; Cullen, LC; Haapkyla, J; Unsworth, RKF",Ensuring appropriate and proportionate responses to environmental threats: A response to Caras and Pasternak,2010,OCEAN & COASTAL MANAGEMENT,no
"Ragavan, P; Kathiresan, K; Mohan, PM; Ravichandran, K; Jayaraj, RSC; Rana, TS",Ensuring the adaptive potential of Coastal wetlands of India- the need of the hour for sustainable management,2021,WETLANDS ECOLOGY AND MANAGEMENT,no
"GILMORE, RG",ENVIRONMENTAL AND BIOGEOGRAPHIC FACTORS INFLUENCING ICHTHYOFAUNAL DIVERSITY - INDIAN-RIVER LAGOON,1995,BULLETIN OF MARINE SCIENCE,no
"CC Pricillia, H Herdiansyah, MP Patria","Environmental conditions to support blue carbon storage in mangrove forest: A case study in the mangrove forest, Nusa Lembongan, Bali, Indonesia",2021,Biodiversitas Journal of Biological …,yes
