bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issue,issn,eprint,article-number
Patrick_and_DeLaune_1990_article,associated source,Article,Subsidence. accretion. and sea level rise in south San Francisco Bay marshes,Wm. H. Patrick and DeLaune {R. D.},NA,10.4319/lo.1990.35.6.1389,http://dx.doi.org/10.4319/lo.1990.35.6.1389,1990,sep,Wiley,35,6,1389–1395,Limnology and Oceanography,NA,NA,NA,NA,NA,NA,NA,1939-5590,NA,NA
Peer_et_al_2018,associated source,Article,Latitudinal gradients and poleward expansion of mangrove ecosystems in South Africa: 50 years after Macnae’s first assessment,"N Peer, A Rajkaran, NAF Miranda, RH Taylor, B Newman, F Porri, JL Raw, SP Mbense, JB Adams & R Perissinotto",NA,https://doi.org/10.2989/1814232X.2018.1466728,https://doi.org/10.2989/1814232X.2018.1466728,2018,NA,NA,NA,NA,NA,African Journal of Marine Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011_article,associated source,Misc,Geomorphic and ecological effects of Hurricanes Katrina and Rita on coastal Louisiana marsh communities,Sarai C. Piazza and Gregory D. Steyer and Kari F. Cretini and Charles E. Sasser and Jenneke M. Visser and Guerry O. Holm and Leigh A. Sharp and D. Elaine Evers and John R. Meriwether,NA,10.3133/ofr20111094,https://doi.org/10.3133/ofr20111094,2011,NA,{US} Geological Survey,NA,NA,i--126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011_data,primary dataset,Misc,Geomorphic and ecological effects of Hurricanes Katrina and Rita on coastal Louisiana marsh communities,Sarai Piazza and Gregory D Steyer and Kari F Cretini and Charles E Sasser and Jenneke M Visser and Guerry O Holm and Leigh A Sharp and Elaine Evers and John R Meriwether,NA,10.5066/P9D8WTQW,https://www.sciencebase.gov/catalog/item/5f7e18d382ce1d74e7dda178,2020,NA,U.S. Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pollman_et_al_2021_article,associated source,Article,Young soils of a temperate barrier island under the impact of formation and resetting by tides and wind,Thomas Pollmann and Michael E. Böttcher and Luise Giani,NA,10.1016/j.catena.2021.105275,http://dx.doi.org/10.1016/j.catena.2021.105275,2021,jul,Elsevier BV,202,NA,105275,CATENA,NA,NA,NA,NA,NA,NA,NA,0341-8162,NA,NA
Radabaugh_et_al_2018_article,synthesis source,Article,"Coastal Blue Carbon Assessment of Mangroves, Salt Marshes, and Salt Barrens in Tampa Bay, Florida, {USA}",Kara R. Radabaugh and Ryan P. Moyer and Amanda R. Chappel and Christina E. Powell and Ioana Bociu and Barbara C. Clark and Joseph M. Smoak,NA,10.1007/s12237-017-0362-7,https://doi.org/10.1007/s12237-017-0362-7,2017,dec,Springer Science and Business Media {LLC},41,5,1496--1510,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Radabaugh_et_al_2021_article,synthesis source,Article,"Early indicators of stress in mangrove forests with altered hydrology in Tampa Bay, Florida, USA",Kara R. Radabaugh and Emma E. Dontis and Amanda R. Chappel and Christine E. Russo and Ryan P. Moyer,NA,10.1016/j.ecss.2021.107324,https://doi.org/10.1016/j.ecss.2021.107324,2021,jun,NA,254,107324,NA,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Radabaugh_et_al_2023_article,synthesis source,Article,A spatial model comparing above- and belowground blue carbon stocks in Southwest Florida mangroves and salt marshes,Kara R. Radabaugh and Ryan P. Moyer and Amanda R. Chappel and Joshua L. Breithaupt and David Lagomasino and Emma E. Dontis and Christine E. Russo and Brad E. Rosenheim and Lisa G. Chambers and Elitsa I. Peneva-Reed and Joseph M. Smoak,NA,10.1007/s12237-023-01217-7,https://doi.org/10.1007/s12237-023-01217-7,2023,NA,Springer Science and Business Media {LLC},NA,NA,NA,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rajkaran_and_Adams_2011,associated source,Misc,A status assessment of mangrove forests in South Africa and the utilization of mangroves at Mngazana Estuary (PhD Disseration),Anusha Rajkaran,NA,NA,NA,2011,NA,NA,NA,NA,NA,Standard Theses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rautenbach_2015,associated source,Misc,PRESENT STATE OF MACROPHYTES AND RESPONSES TO MANAGEMENT SCENARIOS AT THE ST. LUCIA AND MFOLOZI ESTUARIES,Kelly Rautenbach,NA,NA,NA,2015,NA,NA,NA,NA,NA,Standard Theses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raw_et_al_2019,associated source,Article,A comparison of soil carbon pools across a mangrove-salt marsh ecotone at the southern African warm-temperate range limit,"J.L. Raw, C.L. Julie, J.B. Adams",NA,https://doi.org/10.1016/j.sajb.2019.11.005,https://doi.org/10.1016/j.sajb.2019.11.005,2019,NA,NA,NA,NA,NA,South African Journal of Botany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raw_et_al_2020_article,associated source,Article,"Salt marsh elevation and responses to future sea-level rise in the Knysna Estuary, South Africa",JL Raw and T Riddin and J Wasserman and TWK Lehman and TG Bornman and JB Adams,NA,10.2989/16085914.2019.1662763,http://dx.doi.org/10.2989/16085914.2019.1662763,2020,feb,National Inquiry Services Center (NISC),45,1–2,49–64,African Journal of Aquatic Science,NA,NA,NA,NA,NA,NA,NA,1727-9364,NA,NA
Rogers_et_al_2019_article,associated source,Article,Wetland carbon storage controlled by millennial-scale variation in relative sea-level rise,Kerrylee Rogers and Jeffrey J. Kelleway and Neil Saintilan and J. Patrick Megonigal and Janine B. Adams and James R. Holmquist and Meng Lu and Lisa Schile-Beers and Atun Zawadzki and Debashish Mazumder and Colin D. Woodroffe,NA,10.1038/s41586-019-0951-7,https://doi.org/10.1038/s41586-019-0951-7,2019,mar,Springer Science and Business Media {LLC},567,7746,91--95,Nature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roman_et_al_1997_article,associated source,Article,"Accretion of a New England (U.S.A.) Salt Marsh in Response to Inlet Migration, Storms, and Sea-level Rise",C.T. Roman and J.A. Peck and J.R. Allen and J.W. King and P.G. Appleby,NA,10.1006/ecss.1997.0236,http://dx.doi.org/10.1006/ecss.1997.0236,1997,dec,Elsevier BV,45,6,717–727,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,0272-7714,NA,NA
Rovai_et_al_2018,associated source,Article,Global controls on carbon storage in mangrove soils,"André S. Rovai, Robert R. Twilley, Edward Castañeda-Moya, Pablo Riul, Miguel Cifuentes-Jara, 
                                     Marilyn Manrow-Villalobos, Paulo A. Horta, José C. Simonassi, Alessandra L. Fonseca & Paulo R. Pagliosa",NA,https://doi.org/10.1038/s41558-018-0162-5,https://www.nature.com/articles/s41558-018-0162-5#Abs1,2018,NA,NA,NA,NA,NA,Nature Climate Change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rovai_et_al_2022,primary dataset,Misc,Dataset: Global controls on carbon storage in mangrove soils,"Andre Rovai, Robert Twilley, Edward Castaneda-Moya, Pablo Riul, Miguel Cifuentes-Jara,
                             Marilyn Manrow-Villalobos, Paulo A. Horta, Jose C. Simonassi, Alessandra L. Fonseca, 
                             Paulo R. Pagliosa, Danillo Torres",NA,https://doi.org/10.25573/serc.21295713.v1,https://smithsonian.figshare.com/articles/dataset/Dataset_Global_controls_on_carbon_storage_in_mangrove_soils/21295713,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruranska_et_al_2020_data,primary dataset,Misc,"Dry bulk density, loss on ignition and organic carbon content of surficial soils from Scottish salt marshes, 2018-2019",P. Ruranska and L.C. Miller and C. Hindle and C.J.T. Ladd and C. Smeaton and M.W. Skov and W.E.N. Austin,NA,10.5285/81A1301F-E5E2-44F9-AFE0-0EA5BB08010F,https://catalogue.ceh.ac.uk/id/81a1301f-e5e2-44f9-afe0-0ea5bb08010f,2020,NA,NERC Environmental Information Data Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruranska_et_al_2022_data,primary dataset,Misc,"Dry bulk density, loss on ignition and organic carbon content of surficial soils from English and Welsh salt marshes 2019",P. Ruranska and C.J.T. Ladd and C. Smeaton and M.W. Skov and W.E.N. Austin,NA,10.5285/E5554B83-910F-4030-8F4E-81967DC7047C,https://catalogue.ceh.ac.uk/id/e5554b83-910f-4030-8f4e-81967dc7047c,2022,NA,NERC EDS Environmental Information Data Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell_et_al_2023_article,associated source,Article,Determining Environmental Drivers of Fine-Scale Variability in Blue Carbon Soil Stocks,S. K. Russell and B. M. Gillanders and S. Detmar and D. Fotheringham and A. R. Jones,NA,10.1007/s12237-023-01260-4,http://dx.doi.org/10.1007/s12237-023-01260-4,2023,aug,Springer Science and Business Media LLC,47,1,48–59,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,1559-2731,NA,NA
Rybczyk_and_Cahoon_2002_article,associated source,Article,Estimating the potential for submergence for two wetlands in the Mississippi River Delta,J. M. Rybczyk and D. R. Cahoon,NA,10.1007/bf02691346,http://dx.doi.org/10.1007/BF02691346,2002,oct,Springer Science and Business Media LLC,25,5,985–998,Estuaries,NA,NA,NA,NA,NA,NA,NA,0160-8347,NA,NA
SWAMP_Data_Soil_carbon_Acarau_Boca_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Acarau Boca-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00171,http://dx.doi.org/10.17528/cifor/data.00171,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Acarau Boca-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Arguni_Bay_West_Papua_2015_Indonesia_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-West Papua-2019,Sasmito S.D. and Silanpää M. and Hayes M.A. and Bachri S. and Saragi-Sasmito M.F. and Sidik F. and Hanggara B. and Mofu W.Y. and Rumbiak V.I. and Hendri V.I. and Rumbiak M.I. and Taberima S. and Suhaemi S. and Nugroho J.D. and Pattiasina T.F. and Widagti N. and Barakalla N. and Rahajoe J.S. and Hartantri H. and Nikijuluw V. and Jowey R.N. and Heatunubun C. and Ermgassen P.z. and Worthington T.A. and Howard J. and Lovelock C.E. and Friess D.A. and Hutley L.B. and Murdiyarso D.,NA,10.17528/cifor/data.00192,http://dx.doi.org/10.17528/cifor/data.00192,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-West Papua-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_BRM10_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Liberia-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00216,http://dx.doi.org/10.17528/cifor/data.00216,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Liberia-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Baouth_2014_Senegal_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Baouth-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00155,http://dx.doi.org/10.17528/cifor/data.00155,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Baouth-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Barreto_2017_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Barreto-2017,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00169,http://dx.doi.org/10.17528/cifor/data.00169,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Barreto-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019_data,primary dataset,Misc,SWAMP Dataset-Soil-Demak-2019,Ardhani T.S.P. and Murdiyarso D. and Kusmana C,NA,10.17528/cifor/data.00282,http://dx.doi.org/10.17528/cifor/data.00282,2021,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Soil-Demak-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Bhitakarnika_2013_India_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Bhitakarnika-2013,Bhomia R.K. and MacKenzie R.A. and Murdiyarso D. and Sasmito S.D. and Purbopuspito J.,NA,10.17528/cifor/data.00151,http://dx.doi.org/10.17528/cifor/data.00151,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Bhitakarnika-2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Bintuni_Bay_West_Papua_2018_Indonesia_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-West Papua-2019,Sasmito S.D. and Silanpää M. and Hayes M.A. and Bachri S. and Saragi-Sasmito M.F. and Sidik F. and Hanggara B. and Mofu W.Y. and Rumbiak V.I. and Hendri V.I. and Rumbiak M.I. and Taberima S. and Suhaemi S. and Nugroho J.D. and Pattiasina T.F. and Widagti N. and Barakalla N. and Rahajoe J.S. and Hartantri H. and Nikijuluw V. and Jowey R.N. and Heatunubun C. and Ermgassen P.z. and Worthington T.A. and Howard J. and Lovelock C.E. and Friess D.A. and Hutley L.B. and Murdiyarso D.,NA,10.17528/cifor/data.00192,http://dx.doi.org/10.17528/cifor/data.00192,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-West Papua-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Boca_Grande_2017_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Boca Grande-2017,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00162,http://dx.doi.org/10.17528/cifor/data.00162,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Boca Grande-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Bunaken_2011_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Bunaken-2011,Murdiyarso D. and Purbopuspito J. and Kauffman J.B. and Warren M.W. and Sasmito S.D. and Manuri S. and Krisnawati H. and Taberima S. and Kurnianto S.,NA,10.17528/cifor/data.00141,http://dx.doi.org/10.17528/cifor/data.00141,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Bunaken-2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Buruway_West_Papua_2016_Indonesia_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-West Papua-2019,Sasmito S.D. and Silanpää M. and Hayes M.A. and Bachri S. and Saragi-Sasmito M.F. and Sidik F. and Hanggara B. and Mofu W.Y. and Rumbiak V.I. and Hendri V.I. and Rumbiak M.I. and Taberima S. and Suhaemi S. and Nugroho J.D. and Pattiasina T.F. and Widagti N. and Barakalla N. and Rahajoe J.S. and Hartantri H. and Nikijuluw V. and Jowey R.N. and Heatunubun C. and Ermgassen P.z. and Worthington T.A. and Howard J. and Lovelock C.E. and Friess D.A. and Hutley L.B. and Murdiyarso D.,NA,10.17528/cifor/data.00192,http://dx.doi.org/10.17528/cifor/data.00192,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-West Papua-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Ca_Mau_2012_Vietnam_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Ca Mau-2012,Vien N.N. and Sasmito S.D. and Murdiyarso D. and Purbopuspito J. and MacKenzie R.A.,NA,10.17528/cifor/data.00149,http://dx.doi.org/10.17528/cifor/data.00149,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Ca Mau-2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Caetano_2017_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Caetano-2017,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00163,http://dx.doi.org/10.17528/cifor/data.00163,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Caetano-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Caete_2017_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Caeté -2017,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00164,http://dx.doi.org/10.17528/cifor/data.00164,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Caeté -2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_CanGio_2012_Vietnam_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Can Gio-2012,Vien N.N. and Sasmito S.D. and Murdiyarso D. S.D. and Purbopuspito J. and MacKenzie R.A.,NA,10.17528/cifor/data.00148,http://dx.doi.org/10.17528/cifor/data.00148,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Can Gio-2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Case_Shell_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cauassu_Leste_Shrimp_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Cauassu Leste Shrimp-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00172,http://dx.doi.org/10.17528/cifor/data.00172,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Cauassu Leste Shrimp-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cauassu_Oeste_Shrimp_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Cauassu Oeste Shrimp-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00173,http://dx.doi.org/10.17528/cifor/data.00173,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Cauassu Oeste Shrimp-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cilacap_2011_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Cilacap-2011,Murdiyarso D. and Purbopuspito J. and Kauffman J.B. and Warren M.W. and Sasmito S.D. and Manuri S. and Krisnawati H. and Taberima S. and Kurnianto S.,NA,10.17528/cifor/data.00142,http://dx.doi.org/10.17528/cifor/data.00142,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Cilacap-2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cumbe_Leste_Camaro_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Cumbe Leste Camaro-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00174,http://dx.doi.org/10.17528/cifor/data.00174,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Cumbe Leste Camaro-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cumbe_norte_Camarao_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Manggrove soil carbon-Cumbe Norte Camarao-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00175,http://dx.doi.org/10.17528/cifor/data.00175,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Manggrove soil carbon-Cumbe Norte Camarao-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Diamniadio_2014_Senegal_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Diamniadio-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00156,http://dx.doi.org/10.17528/cifor/data.00156,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Diamniadio-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Djirnda_2014_Senegal_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Djirnda-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00154,http://dx.doi.org/10.17528/cifor/data.00154,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Djirnda-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Etna_Bay_West_Papua_2017_Indonesia_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-West Papua-2019,Sasmito S.D. and Silanpää M. and Hayes M.A. and Bachri S. and Saragi-Sasmito M.F. and Sidik F. and Hanggara B. and Mofu W.Y. and Rumbiak V.I. and Hendri V.I. and Rumbiak M.I. and Taberima S. and Suhaemi S. and Nugroho J.D. and Pattiasina T.F. and Widagti N. and Barakalla N. and Rahajoe J.S. and Hartantri H. and Nikijuluw V. and Jowey R.N. and Heatunubun C. and Ermgassen P.z. and Worthington T.A. and Howard J. and Lovelock C.E. and Friess D.A. and Hutley L.B. and Murdiyarso D.,NA,10.17528/cifor/data.00192,http://dx.doi.org/10.17528/cifor/data.00192,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-West Papua-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Fambine_2014_Senegal_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Fambine-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00153,http://dx.doi.org/10.17528/cifor/data.00153,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Fambine-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Furo_Grande_2017_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Furo Grande-2017,"Kauffman, J.B. and Bernardino, A.F. and Ferreira, T.O. and Giovannoni, L.R. and de O. Gomes, L.E. and Romero, D.J. and Jimenez, L.C.Z. and Ruiz, F.",NA,10.17528/CIFOR/DATA.00166,https://doi.org/10.17528/CIFOR/DATA.00166,2019,NA,Center for International Forestry Research (CIFOR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Furo_de_Chato_2017_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Furo do Chato-2017,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00165,http://dx.doi.org/10.17528/cifor/data.00165,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Furo do Chato-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Jardin_Du_Elephant_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
