study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,method_id,compaction_notes,cs137_activity,cs137_unit,depth_interval_notes
CRMS_Database,CRMS0163,CRMS0163_1,8,12,0.4300000000000001,0.1018,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_1,12,16,0.6,0.0895,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_1,16,20,0.51,0.091,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_1,20,24,0.37,0.1018,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_2,0,4,0.42,0.0928,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_2,4,8,0.5700000000000001,0.07780000000000001,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_2,8,12,0.44,0.0952,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_2,12,16,0.4,0.1103,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_2,16,20,0.33999999999999997,0.1256,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_2,20,24,0.65,0.1027,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_3,0,4,0.44,0.0988,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_3,4,8,0.74,0.0703,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_3,8,12,0.5,0.07450000000000001,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_3,12,16,0.36,0.15240000000000004,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_3,16,20,0.31,0.14420000000000002,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0163,CRMS0163_3,20,24,0.36,0.1157,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_1,0,4,0.55,0.08710000000000001,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_1,4,8,0.5,0.102,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_1,8,12,0.36,0.1731,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_1,12,16,0.36,0.195,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_1,16,20,0.42,0.1685,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_1,20,24,0.47,0.13770000000000002,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_2,0,4,0.36,0.102,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_2,4,8,0.4,0.1111,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_2,8,12,0.41,0.14220000000000002,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_2,12,16,0.32,0.1623,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_2,16,20,0.28,0.15680000000000002,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_2,20,24,0.32,0.15840000000000004,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_3,0,4,0.5700000000000001,0.0562,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_3,4,8,0.9,0.1264,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_3,8,12,0.6799999999999999,0.1346,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_3,12,16,0.42,0.17470000000000002,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_3,16,20,0.48,0.1636,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0171,CRMS0171_3,20,24,0.48,0.1443,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_1,0,4,0.4300000000000001,0.1413,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_1,4,8,0.59,0.17340000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_1,8,12,0.42,0.1683,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_1,12,16,0.38,0.17970000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_1,16,20,0.4300000000000001,0.2105,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_1,20,24,0.2,0.186,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_2,0,4,0.33999999999999997,0.1257,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_2,4,8,0.4,0.15670000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_2,8,12,0.35,0.17890000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_2,12,16,0.37,0.2055,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_2,16,20,0.41,0.1948,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_2,20,24,0.21,0.1909,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_3,0,4,0.44,0.1526,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_3,4,8,0.44,0.15350000000000005,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_3,8,12,0.32,0.188,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_3,12,16,0.31,0.1824,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_3,16,20,0.35,0.1889,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0172,CRMS0172_3,20,24,0.36,0.1865,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_1,0,4,0.24,0.2113,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_1,4,8,0.16,0.43650000000000005,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_1,8,12,0.11,0.5043,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_1,12,16,0.12,0.4829000000000001,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_1,16,20,0.11,0.4767,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_1,20,24,0.11,0.5075,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_2,0,4,0.26,0.21650000000000005,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_2,4,8,0.17,0.3707,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_2,8,12,0.17,0.35259999999999997,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_2,12,16,0.13,0.4794000000000001,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_2,16,20,0.11,0.47180000000000005,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_2,20,24,0.09,0.495,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_3,0,4,0.3,0.2232,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_3,4,8,0.22,0.3333,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_3,8,12,0.12,0.4923,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_3,12,16,0.18,0.3639,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_3,16,20,0.2,0.3672,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0173,CRMS0173_3,20,24,0.19,0.34149999999999997,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_1,0,4,0.28,0.23640000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_1,4,8,0.32,0.1919,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_1,8,12,0.29000000000000004,0.2274,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_1,12,16,0.23,0.2537,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_1,16,20,0.26,0.2304,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_1,20,24,0.2,0.2488,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_2,0,4,0.32999999999999996,0.15920000000000004,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_2,4,8,0.35,0.1908,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_2,8,12,0.32,0.202,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_2,12,16,0.27,0.2115,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_2,16,20,0.25,0.2108,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_2,20,24,0.31,0.1939,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_3,0,4,0.3,0.1902,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_3,4,8,0.31,0.2178,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_3,8,12,0.37,0.1802,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_3,12,16,0.32999999999999996,0.2038,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_3,16,20,0.35,0.1915,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0174,CRMS0174_3,20,24,0.3,0.2071,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_1,0,4,0.21,0.2537,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_1,4,8,0.21,0.3966,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_1,8,12,0.22,0.3399,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_1,12,16,0.25,0.3254,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_1,16,20,0.33999999999999997,0.2506,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_1,20,24,0.29000000000000004,0.24040000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_2,0,4,0.19,0.2289,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_2,4,8,0.21,0.3676,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_2,8,12,0.18,0.3857,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_2,12,16,0.21,0.316,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_2,16,20,0.28,0.2261,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_2,20,24,0.3,0.2294,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_3,0,4,0.36,0.1921,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_3,4,8,0.15000000000000002,0.408,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_3,8,12,0.23,0.3168,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_3,12,16,0.26,0.2672,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_3,16,20,0.3,0.2365,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0176,CRMS0176_3,20,24,0.29000000000000004,0.2488,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_1,0,4,0.32,0.2133,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_1,4,8,0.33999999999999997,0.2295,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_1,8,12,0.31,0.2294,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_1,12,16,0.27,0.24,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_1,16,20,0.28,0.269,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_1,20,24,0.25,0.3418,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_2,0,4,0.38,0.2386,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_2,4,8,0.33999999999999997,0.2357,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_2,8,12,0.35,0.2277,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_2,12,16,0.32999999999999996,0.27,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_2,16,20,0.38,0.20790000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_2,20,24,0.28,0.2872,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_3,0,4,0.6799999999999999,0.116,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_3,4,8,0.41,0.2178,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_3,8,12,0.32999999999999996,0.2451,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_3,12,16,0.33999999999999997,0.2309,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_3,16,20,0.29000000000000004,0.26830000000000004,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0179,CRMS0179_3,20,24,0.27,0.29630000000000006,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_1,0,4,0.51,0.1607,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_1,4,8,0.33999999999999997,0.2026,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_1,8,12,0.35,0.2131,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_1,12,16,0.33999999999999997,0.1925,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_1,16,20,0.29000000000000004,0.1986,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_1,20,24,0.27,0.1936,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_2,0,4,0.44,0.127,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_2,4,8,0.51,0.13870000000000002,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_2,8,12,0.27,0.2063,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_2,12,16,0.39,0.1901,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_2,16,20,0.33999999999999997,0.1825,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_2,20,24,0.41,0.1796,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_3,0,4,0.4300000000000001,0.15530000000000002,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_3,4,8,0.39,0.1903,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_3,8,12,0.39,0.17370000000000002,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_3,12,16,0.4,0.16890000000000002,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_3,16,20,0.37,0.17450000000000002,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0181,CRMS0181_3,20,24,0.32999999999999996,0.1941,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_1,0,4,0.23,0.2977,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_1,4,8,0.25,0.25730000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_1,8,12,0.13,0.4017,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_1,12,16,0.14,0.3765,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_1,16,20,0.17,0.33699999999999997,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_1,20,24,0.14,0.4421,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_2,0,4,0.31,0.2148,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_2,4,8,0.14,0.3333,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_2,8,12,0.14,0.4545,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_2,12,16,0.13,0.412,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_2,16,20,0.14,0.4267,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_2,20,24,0.12,0.4156,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_3,0,4,0.27,0.221,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_3,4,8,0.2,0.273,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_3,8,12,0.16,0.3619,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_3,12,16,0.16,0.3867,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_3,16,20,0.17,0.32880000000000004,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0209,CRMS0209_3,20,24,0.16,0.3429,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_1,0,4,0.29000000000000004,0.2306,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_1,4,8,0.32,0.1953,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_1,8,12,0.24,0.303,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_1,12,16,0.21,0.3662,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_1,16,20,0.17,0.3856,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_1,20,24,0.14,0.4114,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_2,0,4,0.29000000000000004,0.2005,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_2,4,8,0.33999999999999997,0.1668,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_2,8,12,0.17,0.375,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_2,12,16,0.16,0.4172,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_2,16,20,0.19,0.3642,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_2,20,24,0.17,0.3704,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_3,0,4,0.23,0.227,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_3,4,8,0.33999999999999997,0.1978,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_3,8,12,0.22,0.3083,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_3,12,16,0.17,0.3576,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_3,16,20,0.17,0.3529,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0224,CRMS0224_3,20,24,0.17,0.3444,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_1,0,4,0.27,0.2351,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_1,4,8,0.21,0.2615,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_1,8,12,0.21,0.28780000000000006,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_1,12,16,0.2,0.28890000000000005,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_1,16,20,0.2,0.27590000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_1,20,24,0.18,0.3,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_2,0,4,0.25,0.1746,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_2,4,8,0.23,0.2339,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_2,8,12,0.2,0.29410000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_2,12,16,0.18,0.2987,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_2,16,20,0.21,0.26830000000000004,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_2,20,24,0.2,0.3065,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_3,0,4,0.29000000000000004,0.1805,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_3,4,8,0.22,0.2642,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_3,8,12,0.25,0.2391,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_3,12,16,0.23,0.25930000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_3,16,20,0.26,0.23640000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0226,CRMS0226_3,20,24,0.25,0.2403,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_1,0,4,0.17,0.27680000000000005,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_1,4,8,0.22,0.312,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_1,8,12,0.22,0.27380000000000004,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_1,12,16,0.2,0.2692,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_1,16,20,0.18,0.24700000000000005,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_1,20,24,0.23,0.2752,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_2,0,4,0.18,0.26180000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_2,4,8,0.18,0.34709999999999996,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_2,8,12,0.15000000000000002,0.3986,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_2,12,16,0.18,0.3843,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_2,16,20,0.17,0.3508,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_2,20,24,0.16,0.3005,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_3,0,4,0.07,0.1862,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_3,4,8,0.21,0.2857,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_3,8,12,0.19,0.2781,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_3,12,16,0.25,0.21970000000000003,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_3,16,20,0.22,0.2292,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0237,CRMS0237_3,20,24,0.27,0.21650000000000005,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0258,CRMS0258_1,0,16,0.96,0.0973,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0258,CRMS0258_2,0,16,0.93,0.1221,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0258,CRMS0258_3,0,16,0.59,0.1139,NA,single set of methods,< 10-20%,NA,NA,NA
CRMS_Database,CRMS0260,CRMS0260_1,0,4,0.23,0.3508,NA,single set of methods,< 10-20%,NA,NA,NA
