study_id,site_id,core_id,method_id,depth_min,depth_max,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit
Stevens_et_al_2024,CB,CB_W,single set of methods,26,28,0.21,NA,NA,NA,114.73,10.49,133.23,9.22,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,28,30,NA,NA,NA,NA,120.74,10.84,139.24,9.62,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,30,32,NA,NA,NA,NA,121.23,10.55,139.73,9.29,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,36,38,NA,NA,NA,NA,118.79,10.71,137.29,9.47,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,42,44,NA,NA,NA,NA,114.08,10.38,132.58,9.1,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,46,48,NA,NA,NA,NA,95.9,11.18,114.4,10,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,48,50,0.2,NA,NA,NA,92.93,9.2,111.43,7.72,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,52,54,NA,NA,NA,NA,79.01,9.43,97.51,7.99,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,56,58,NA,NA,NA,NA,72.54,9.03,91.04,7.52,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,64,66,NA,NA,NA,NA,40.02,7.17,58.52,5.14,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,76,78,NA,NA,NA,NA,49.18,8.15,67.68,6.44,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,88,90,NA,NA,NA,NA,35.6,6.83,54.1,4.65,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,0,2,NA,NA,NA,NA,109.91,10.43,128.41,9.16,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,2,4,NA,NA,NA,NA,77.93,8.42,96.43,6.77,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,4,6,NA,NA,NA,NA,47.33,7.31,65.83,5.34,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,6,8,NA,NA,NA,NA,28.61,6.22,47.11,3.7,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,8,10,NA,NA,NA,NA,27.97,6.62,46.47,4.34,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,10,12,0.17,0.89,1.59,disintegrationsPerMinutePerGram,24.88,6.22,43.38,3.7,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,12,14,NA,0.72,1.18,disintegrationsPerMinutePerGram,17.57,5.89,36.07,3.11,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,14,16,0.15,0.84,0.72,disintegrationsPerMinutePerGram,10.1,6.09,28.6,3.48,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,16,18,NA,0.26,0.42,disintegrationsPerMinutePerGram,5.17,5.83,23.67,2.99,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,18,20,0.2,0.36,1.28,disintegrationsPerMinutePerGram,2.06,5.43,20.56,2.11,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,20,22,NA,NA,NA,NA,4.4,5.7,22.9,2.73,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,22,24,NA,NA,NA,NA,-0.05,5.53,18.45,2.36,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,24,26,0.15,NA,NA,NA,-1.46,5.38,17.04,1.97,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,28,30,NA,NA,NA,NA,-0.93,5.42,17.57,2.09,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,30,32,NA,NA,NA,NA,-5.34,5.19,13.16,1.38,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,36,38,NA,NA,NA,NA,-5.24,5.22,13.26,1.51,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,42,44,NA,NA,NA,NA,5.88,5.4,24.38,2.04,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_M,single set of methods,48,50,0.18,NA,NA,NA,7.29,5.44,25.79,2.14,disintegrationsPerMinutePerGram,1.11,4.94,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_H,single set of methods,0,2,0.05,0.12,0.46,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,2,4,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,4,6,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,6,8,NA,1.27,0.97,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,8,10,0.03,0.51,0.58,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,10,12,NA,2.32,0.84,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,12,14,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,14,16,NA,0.75,0.87,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,16,18,0.02,0.21,0.32,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,18,20,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,20,22,NA,0.46,0.84,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,22,24,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,24,26,0.02,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,26,28,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,28,30,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,30,32,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,32,34,0.02,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,34,36,NA,0.31,0.74,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,36,38,NA,0.85,0.69,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,38,40,NA,0.64,0.8,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,40,42,0.01,0.59,0.8,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,42,44,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,44,46,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,46,48,NA,0.37,0.69,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_H,single set of methods,48,50,0.01,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_W,single set of methods,0,2,0.33,2.63,1.95,disintegrationsPerMinutePerGram,98.66,7.6,116.83,4.44,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,2,4,NA,6.36,2.65,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_W,single set of methods,4,6,NA,2.99,2.09,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_W,single set of methods,6,8,NA,5.61,1.01,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_W,single set of methods,8,10,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_W,single set of methods,10,12,NA,2.81,1.79,disintegrationsPerMinutePerGram,79.35,7.33,97.52,3.95,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,12,14,NA,2.33,1.5,disintegrationsPerMinutePerGram,25.65,6.58,43.82,2.29,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,14,16,NA,7.41,1.61,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_W,single set of methods,16,18,0.22,4.19,2,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_W,single set of methods,18,20,NA,6.7,1.07,disintegrationsPerMinutePerGram,60.14,7.03,78.3,3.37,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,24,26,0.22,NA,NA,NA,57.02,7.22,75.18,3.75,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,30,32,NA,NA,NA,NA,44.61,7.16,62.77,3.64,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,36,38,NA,NA,NA,NA,41.77,7.16,59.94,3.63,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,42,44,NA,NA,NA,NA,46.41,7.35,64.57,4,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,46,48,0.21,NA,NA,NA,44.33,7.59,62.5,4.43,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,48,50,NA,NA,NA,NA,41.65,7.03,59.82,3.38,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,52,54,NA,NA,NA,NA,42.07,7.76,60.24,4.71,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,56,58,NA,NA,NA,NA,40.13,7.61,58.3,4.45,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,64,66,NA,NA,NA,NA,31.04,7.26,49.21,3.83,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,76,78,NA,NA,NA,NA,39.94,8.2,58.1,5.4,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_W,single set of methods,88,90,NA,NA,NA,NA,24.6,7.31,42.77,3.92,disintegrationsPerMinutePerGram,1.09,6.17,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_M,single set of methods,0,2,0.31,4.55,0.83,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,2,4,NA,6.9,1.49,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,4,6,NA,8.25,1.49,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,6,8,NA,9.7,1.62,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,8,10,0.27,14.55,1.69,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,10,12,NA,16.05,1.53,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,12,14,NA,14.78,0.51,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,14,16,NA,13.31,1.44,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,16,18,0.26,9.21,1.47,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,18,20,NA,7.03,1.45,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,20,22,NA,7.72,0.52,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,22,24,NA,5.29,0.73,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,24,26,0.22,2.25,0.64,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,26,28,NA,1.7,0.28,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,28,30,NA,2.54,0.75,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,30,32,NA,4.69,1.33,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,32,34,0.24,2.97,1.33,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,34,36,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,36,38,NA,1.11,1.35,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,38,40,NA,2.92,0.99,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,40,42,NA,3.42,1.22,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,42,44,NA,3.11,1.35,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,44,46,NA,1.73,0.81,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,46,48,NA,0.97,0.71,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_M,single set of methods,48,50,0.25,0.45,1.12,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_H,single set of methods,0,2,0.35,NA,NA,NA,290.2,20.7,308.36,19.76,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,2,4,NA,NA,NA,NA,220.9,16.58,239.06,15.39,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,4,6,NA,NA,NA,NA,133.82,11.67,151.98,9.9,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,6,8,NA,NA,NA,NA,119.2,10.93,137.37,9.02,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,10,12,NA,68.23,1.09,disintegrationsPerMinutePerGram,85.37,9.84,103.54,7.67,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,12,14,NA,45.65,1.49,disintegrationsPerMinutePerGram,58.91,8.4,77.07,5.71,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,14,16,NA,13.91,1,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_H,single set of methods,16,18,0.19,5.04,0.9,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_H,single set of methods,18,20,NA,4.1,0.89,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_H,single set of methods,20,22,NA,1.92,0.54,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_H,single set of methods,22,24,NA,0.94,0.64,disintegrationsPerMinutePerGram,35.06,7.73,53.23,4.66,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,24,26,0.22,1.25,0.74,disintegrationsPerMinutePerGram,17.41,7.13,35.57,3.58,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,26,28,NA,1.21,0.61,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_H,single set of methods,28,30,NA,0.98,0.35,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,RB,RB_H,single set of methods,30,32,NA,NA,NA,NA,5.04,6.7,23.21,2.62,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,36,38,NA,NA,NA,NA,4.5,6.6,22.66,2.35,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,42,44,NA,NA,NA,NA,-1.63,6.46,16.53,1.93,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,RB,RB_H,single set of methods,48,50,0.31,NA,NA,NA,-8.04,6.35,10.13,1.51,disintegrationsPerMinutePerGram,1.09,6.14,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,0,2,0.23,0.89,1.47,disintegrationsPerMinutePerGram,16.3,2.54,24.47,2.26,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,2,4,NA,1.22,0.7,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,4,6,NA,1.82,1.45,disintegrationsPerMinutePerGram,10.22,2.7,18.38,2.43,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,6,8,NA,0.57,1.52,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,8,10,0.23,1.46,1.4,disintegrationsPerMinutePerGram,0.61,2.19,8.78,1.85,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,10,12,NA,0.86,1.48,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,12,14,NA,0,0,disintegrationsPerMinutePerGram,0.44,2.1,8.61,1.75,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,14,16,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,16,18,0.2,0,0,disintegrationsPerMinutePerGram,1.24,2.23,9.41,1.9,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,18,20,NA,0.54,2.09,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,20,22,NA,0,0,disintegrationsPerMinutePerGram,-2.05,2.04,6.12,1.67,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,22,24,NA,3.59,1.72,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,24,26,0.19,1.02,1.38,disintegrationsPerMinutePerGram,-0.48,2.32,7.69,2,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,26,28,NA,1.97,1.67,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,28,30,NA,0,0,disintegrationsPerMinutePerGram,0.11,2.09,8.27,1.73,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,30,32,NA,1.34,1.87,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,32,34,0.2,0.24,0.79,disintegrationsPerMinutePerGram,-0.95,2.21,7.22,1.87,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,34,36,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,36,38,NA,0,0,disintegrationsPerMinutePerGram,-1.42,2.18,6.74,1.84,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,38,40,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,40,42,0.18,0,0,disintegrationsPerMinutePerGram,0.73,2.76,8.89,2.5,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,42,44,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,44,46,NA,2.07,1.76,disintegrationsPerMinutePerGram,0.01,2.48,8.18,2.19,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_W,single set of methods,46,48,NA,3.96,1.76,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_W,single set of methods,48,50,0.17,1.14,1.03,disintegrationsPerMinutePerGram,1.62,4.7,9.79,4.55,disintegrationsPerMinutePerGram,0.49,1.12,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_M,single set of methods,0,2,0.2,NA,NA,NA,109.41,9.38,117.58,8.63,disintegrationsPerMinutePerGram,0.49,3.67,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_M,single set of methods,6,8,NA,NA,NA,NA,86.01,8.06,94.17,7.17,disintegrationsPerMinutePerGram,0.49,3.67,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_M,single set of methods,10,12,NA,5.17,1.82,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_M,single set of methods,12,14,NA,3.22,1.47,disintegrationsPerMinutePerGram,51.45,6.38,59.62,5.22,disintegrationsPerMinutePerGram,0.49,3.67,disintegrationsPerMinutePerGram
Stevens_et_al_2024,PG,PG_M,single set of methods,14,16,NA,3.85,1.57,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_M,single set of methods,16,18,0.21,3.3,1.34,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PG,PG_M,single set of methods,18,20,0.21,2.05,1.51,disintegrationsPerMinutePerGram,41.03,5.64,49.2,4.28,disintegrationsPerMinutePerGram,0.49,3.67,disintegrationsPerMinutePerGram
